.HEADER
..NAMES
Time,V U5.L7
.DATA
9.0220e-009,1.0110
9.0587e-009,1.0162
9.0954e-009,1.0210
9.1321e-009,1.0261
9.1688e-009,1.0332
9.2054e-009,1.0439
9.2421e-009,1.0584
9.2788e-009,1.0743
9.3154e-009,1.0877
9.3521e-009,1.0951
9.3888e-009,1.0959
9.4255e-009,1.0923
9.4622e-009,1.0879
9.4988e-009,1.0860
9.5355e-009,1.0881
9.5722e-009,1.0932
9.6088e-009,1.0993
9.6455e-009,1.1037
9.6822e-009,1.1051
9.7189e-009,1.1034
9.7556e-009,1.1000
9.7922e-009,1.0968
9.8289e-009,1.0953
9.8656e-009,1.0957
9.9022e-009,1.0969
9.9389e-009,1.0974
9.9756e-009,1.0965
1.00123e-008,1.0942
1.00490e-008,1.0915
1.00856e-008,1.0890
1.01223e-008,1.0873
1.01590e-008,1.0866
1.01956e-008,1.0870
1.02323e-008,1.0885
1.02690e-008,1.0909
1.03057e-008,1.0934
1.03424e-008,1.0953
1.03790e-008,1.0957
1.04157e-008,1.0946
1.04524e-008,1.0926
1.04890e-008,1.0908
1.05257e-008,1.0899
1.05624e-008,1.0903
1.05991e-008,1.0918
1.06358e-008,1.0936
1.06724e-008,1.0948
1.07091e-008,1.0948
1.07458e-008,1.0936
1.07824e-008,1.0920
1.08191e-008,1.0909
1.08558e-008,1.0917
1.08925e-008,1.0945
1.09292e-008,1.0963
1.09658e-008,1.0893
1.10025e-008,1.0604
1.10392e-008,0.9983
1.10758e-008,0.9035
1.11125e-008,0.7882
1.11492e-008,0.6722
1.11859e-008,0.5766
1.12226e-008,0.5140
1.12592e-008,0.4830
1.12959e-008,0.4734
1.13326e-008,0.4729
1.13693e-008,0.4713
1.14059e-008,0.4641
1.14426e-008,0.4524
1.14793e-008,0.4406
1.15159e-008,0.4327
1.15526e-008,0.4303
1.15893e-008,0.4322
1.16260e-008,0.4354
1.16627e-008,0.4371
1.16993e-008,0.4356
1.17360e-008,0.4314
1.17727e-008,0.4260
1.18093e-008,0.4226
1.18460e-008,0.4263
1.18827e-008,0.4478
1.19194e-008,0.4997
1.19561e-008,0.5865
1.19927e-008,0.6978
1.20294e-008,0.8074
1.20661e-008,0.8905
1.21027e-008,0.9341
1.21394e-008,0.9420
1.21761e-008,0.9314
1.22128e-008,0.9227
1.22495e-008,0.9263
1.22861e-008,0.9419
1.23228e-008,0.9627
1.23595e-008,0.9802
1.23961e-008,0.9882
1.24328e-008,0.9857
1.24695e-008,0.9766
1.25062e-008,0.9675
