.HEADER
..NAMES
Time,V U3.R3
.DATA
9.0220e-009,1.0850
9.0587e-009,1.0821
9.0954e-009,1.0817
9.1321e-009,1.0837
9.1688e-009,1.0874
9.2054e-009,1.0915
9.2421e-009,1.0950
9.2788e-009,1.0968
9.3154e-009,1.0967
9.3521e-009,1.0949
9.3888e-009,1.0921
9.4255e-009,1.0893
9.4622e-009,1.0871
9.4988e-009,1.0860
9.5355e-009,1.0863
9.5722e-009,1.0875
9.6088e-009,1.0894
9.6455e-009,1.0914
9.6822e-009,1.0928
9.7189e-009,1.0933
9.7556e-009,1.0929
9.7922e-009,1.0919
9.8289e-009,1.0904
9.8656e-009,1.0892
9.9022e-009,1.0884
9.9389e-009,1.0883
9.9756e-009,1.0888
1.00123e-008,1.0898
1.00490e-008,1.0909
1.00856e-008,1.0918
1.01223e-008,1.0924
1.01590e-008,1.0925
1.01956e-008,1.0920
1.02323e-008,1.0913
1.02690e-008,1.0904
1.03057e-008,1.0897
1.03424e-008,1.0893
1.03790e-008,1.0893
1.04157e-008,1.0898
1.04524e-008,1.0905
1.04890e-008,1.0913
1.05257e-008,1.0919
1.05624e-008,1.0922
1.05991e-008,1.0920
1.06358e-008,1.0915
1.06724e-008,1.0908
1.07091e-008,1.0901
1.07458e-008,1.0896
1.07824e-008,1.0894
1.08191e-008,1.0897
1.08558e-008,1.0902
1.08925e-008,1.0909
1.09292e-008,1.0916
1.09658e-008,1.0921
1.10025e-008,1.0923
1.10392e-008,1.0923
1.10758e-008,1.0924
1.11125e-008,1.0926
1.11492e-008,1.0915
1.11859e-008,1.0855
1.12226e-008,1.0695
1.12592e-008,1.0392
1.12959e-008,0.9923
1.13326e-008,0.9280
1.13693e-008,0.8465
1.14059e-008,0.7530
1.14426e-008,0.6566
1.14793e-008,0.5665
1.15159e-008,0.4913
1.15526e-008,0.4387
1.15893e-008,0.4123
1.16260e-008,0.4091
1.16627e-008,0.4220
1.16993e-008,0.4411
1.17360e-008,0.4560
1.17727e-008,0.4595
1.18093e-008,0.4483
1.18460e-008,0.4234
1.18827e-008,0.3892
1.19194e-008,0.3531
1.19561e-008,0.3232
1.19927e-008,0.3057
1.20294e-008,0.3046
1.20661e-008,0.3216
1.21027e-008,0.3566
1.21394e-008,0.4075
1.21761e-008,0.4706
1.22128e-008,0.5412
1.22495e-008,0.6160
1.22861e-008,0.6935
1.23228e-008,0.7714
1.23595e-008,0.8444
1.23961e-008,0.9064
1.24328e-008,0.9538
1.24695e-008,0.9841
1.25062e-008,0.9962
1.25429e-008,0.9933
1.25795e-008,0.9826
1.26162e-008,0.9713
1.26529e-008,0.9658
1.26895e-008,0.9702
1.27262e-008,0.9856
1.27629e-008,1.0107
1.27996e-008,1.0416
1.28363e-008,1.0722
1.28729e-008,1.0953
1.29096e-008,1.1061
1.29463e-008,1.1036
1.29829e-008,1.0906
1.30196e-008,1.0727
1.30563e-008,1.0565
1.30930e-008,1.0477
1.31297e-008,1.0487
1.31663e-008,1.0587
1.32030e-008,1.0743
1.32397e-008,1.0914
1.32763e-008,1.1059
1.33130e-008,1.1145
1.33497e-008,1.1156
1.33864e-008,1.1098
1.34231e-008,1.0997
1.34597e-008,1.0892
1.34964e-008,1.0820
1.35331e-008,1.0807
1.35697e-008,1.0854
1.36064e-008,1.0941
1.36431e-008,1.1036
1.36798e-008,1.1108
1.37165e-008,1.1137
1.37531e-008,1.1121
1.37898e-008,1.1072
1.38265e-008,1.1009
1.38631e-008,1.0953
1.38998e-008,1.0921
1.39365e-008,1.0912
1.39732e-008,1.0900
1.40099e-008,1.0829
1.40465e-008,1.0637
1.40832e-008,1.0276
1.41199e-008,0.9725
1.41565e-008,0.8976
1.41932e-008,0.8060
1.42299e-008,0.7066
1.42666e-008,0.6107
1.43033e-008,0.5273
1.43399e-008,0.4645
1.43766e-008,0.4276
1.44133e-008,0.4158
1.44499e-008,0.4227
1.44866e-008,0.4393
1.45233e-008,0.4553
1.45600e-008,0.4621
1.45967e-008,0.4553
1.46333e-008,0.4344
1.46700e-008,0.4027
1.47067e-008,0.3665
1.47433e-008,0.3340
1.47800e-008,0.3120
1.48167e-008,0.3039
1.48534e-008,0.3096
1.48901e-008,0.3255
1.49267e-008,0.3455
1.49634e-008,0.3626
1.50001e-008,0.3716
1.50368e-008,0.3706
1.50734e-008,0.3608
1.51101e-008,0.3457
