.HEADER
..NAMES
Time,V U5.T3
.DATA
9.0220e-009,0.3258
9.0587e-009,0.3267
9.0954e-009,0.3266
9.1321e-009,0.3262
9.1688e-009,0.3260
9.2054e-009,0.3266
9.2421e-009,0.3279
9.2788e-009,0.3298
9.3154e-009,0.3318
9.3521e-009,0.3330
9.3888e-009,0.3328
9.4255e-009,0.3307
9.4622e-009,0.3272
9.4988e-009,0.3236
9.5355e-009,0.3210
9.5722e-009,0.3202
9.6088e-009,0.3214
9.6455e-009,0.3240
9.6822e-009,0.3269
9.7189e-009,0.3288
9.7556e-009,0.3290
9.7922e-009,0.3277
9.8289e-009,0.3257
9.8656e-009,0.3239
9.9022e-009,0.3231
9.9389e-009,0.3236
9.9756e-009,0.3250
1.00123e-008,0.3267
1.00490e-008,0.3280
1.00856e-008,0.3286
1.01223e-008,0.3283
1.01590e-008,0.3276
1.01956e-008,0.3268
1.02323e-008,0.3262
1.02690e-008,0.3260
1.03057e-008,0.3263
1.03424e-008,0.3270
1.03790e-008,0.3278
1.04157e-008,0.3284
1.04524e-008,0.3285
1.04890e-008,0.3280
1.05257e-008,0.3272
1.05624e-008,0.3263
1.05991e-008,0.3258
1.06358e-008,0.3258
1.06724e-008,0.3262
1.07091e-008,0.3270
1.07458e-008,0.3278
1.07824e-008,0.3283
1.08191e-008,0.3282
1.08558e-008,0.3286
1.08925e-008,0.3327
1.09292e-008,0.3470
1.09658e-008,0.3814
1.10025e-008,0.4421
1.10392e-008,0.5279
1.10758e-008,0.6274
1.11125e-008,0.7244
1.11492e-008,0.8070
1.11859e-008,0.8679
1.12226e-008,0.9040
1.12592e-008,0.9199
1.12959e-008,0.9260
1.13326e-008,0.9319
1.13693e-008,0.9416
1.14059e-008,0.9546
1.14426e-008,0.9678
1.14793e-008,0.9781
1.15159e-008,0.9840
1.15526e-008,0.9855
1.15893e-008,0.9843
1.16260e-008,0.9824
1.16627e-008,0.9820
1.16993e-008,0.9838
1.17360e-008,0.9880
1.17727e-008,0.9942
1.18093e-008,1.0021
1.18460e-008,1.0101
1.18827e-008,1.0166
1.19194e-008,1.0207
1.19561e-008,1.0232
1.19927e-008,1.0264
1.20294e-008,1.0326
1.20661e-008,1.0429
1.21027e-008,1.0572
1.21394e-008,1.0731
1.21761e-008,1.0873
1.22128e-008,1.0969
1.22495e-008,1.1005
1.22861e-008,1.0985
1.23228e-008,1.0933
1.23595e-008,1.0882
1.23961e-008,1.0864
1.24328e-008,1.0889
1.24695e-008,1.0943
1.25062e-008,1.1002
1.25429e-008,1.1045
1.25795e-008,1.1064
1.26162e-008,1.1056
1.26529e-008,1.1027
1.26895e-008,1.0989
1.27262e-008,1.0953
1.27629e-008,1.0929
1.27996e-008,1.0920
1.28363e-008,1.0921
1.28729e-008,1.0925
1.29096e-008,1.0927
1.29463e-008,1.0921
1.29829e-008,1.0906
1.30196e-008,1.0887
1.30563e-008,1.0870
1.30930e-008,1.0863
1.31297e-008,1.0871
1.31663e-008,1.0895
1.32030e-008,1.0926
1.32397e-008,1.0955
1.32763e-008,1.0971
1.33130e-008,1.0968
1.33497e-008,1.0950
1.33864e-008,1.0925
1.34231e-008,1.0904
1.34597e-008,1.0894
1.34964e-008,1.0899
1.35331e-008,1.0915
1.35697e-008,1.0933
1.36064e-008,1.0946
1.36431e-008,1.0949
1.36798e-008,1.0942
1.37165e-008,1.0928
1.37531e-008,1.0912
1.37898e-008,1.0901
1.38265e-008,1.0897
1.38631e-008,1.0900
1.38998e-008,1.0907
1.39365e-008,1.0914
1.39732e-008,1.0920
1.40099e-008,1.0921
1.40465e-008,1.0917
1.40832e-008,1.0909
1.41199e-008,1.0901
1.41565e-008,1.0897
1.41932e-008,1.0898
1.42299e-008,1.0903
1.42666e-008,1.0912
1.43033e-008,1.0919
1.43399e-008,1.0922
1.43766e-008,1.0921
1.44133e-008,1.0915
1.44499e-008,1.0908
1.44866e-008,1.0902
1.45233e-008,1.0900
1.45600e-008,1.0903
1.45967e-008,1.0910
1.46333e-008,1.0917
1.46700e-008,1.0922
1.47067e-008,1.0923
1.47433e-008,1.0920
1.47800e-008,1.0914
1.48167e-008,1.0909
1.48534e-008,1.0906
1.48901e-008,1.0905
1.49267e-008,1.0907
1.49634e-008,1.0911
1.50001e-008,1.0914
1.50368e-008,1.0916
1.50734e-008,1.0916
1.51101e-008,1.0914
1.51468e-008,1.0911
1.51834e-008,1.0908
1.52201e-008,1.0907
1.52568e-008,1.0908
1.52935e-008,1.0910
1.53301e-008,1.0913
1.53668e-008,1.0915
1.54035e-008,1.0916
1.54402e-008,1.0915
1.54769e-008,1.0914
1.55135e-008,1.0917
1.55502e-008,1.0928
1.55869e-008,1.0951
1.56236e-008,1.0956
1.56602e-008,1.0873
1.56969e-008,1.0584
1.57336e-008,0.9993
1.57703e-008,0.9121
1.58069e-008,0.8070
1.58436e-008,0.6971
1.58803e-008,0.5983
1.59169e-008,0.5256
1.59536e-008,0.4841
1.59903e-008,0.4685
1.60270e-008,0.4681
1.60636e-008,0.4717
1.61003e-008,0.4712
1.61370e-008,0.4642
1.61737e-008,0.4527
1.62104e-008,0.4407
1.62470e-008,0.4320
1.62837e-008,0.4285
1.63204e-008,0.4294
1.63571e-008,0.4323
1.63937e-008,0.4348
