.HEADER
..NAMES
Time,V U3.C7&B7
.DATA
9.4509e-009,0.9599
9.4895e-009,1.0162
9.5280e-009,1.0573
9.5666e-009,1.0960
9.6052e-009,1.1432
9.6437e-009,1.1647
9.6823e-009,1.1721
9.7209e-009,1.1505
9.7595e-009,1.0768
9.7981e-009,0.9610
9.8366e-009,0.8394
9.8752e-009,0.7126
9.9138e-009,0.5994
9.9524e-009,0.5120
9.9909e-009,0.4502
1.00295e-008,0.4074
1.00681e-008,0.3721
1.01066e-008,0.3617
1.01452e-008,0.3747
1.01838e-008,0.4213
1.02224e-008,0.5068
1.02610e-008,0.6310
1.02995e-008,0.7508
1.03381e-008,0.8524
1.03767e-008,0.9375
1.04152e-008,1.0006
1.04538e-008,1.0450
1.04924e-008,1.0829
1.05310e-008,1.1299
1.05695e-008,1.1603
1.06081e-008,1.1719
1.06467e-008,1.1617
1.06853e-008,1.1069
1.07239e-008,0.9988
1.07624e-008,0.8787
1.08010e-008,0.7523
1.08396e-008,0.6326
1.08781e-008,0.5366
1.09167e-008,0.4673
1.09553e-008,0.4196
1.09939e-008,0.3818
1.10324e-008,0.3619
1.10710e-008,0.3676
1.11096e-008,0.4027
1.11482e-008,0.4746
1.11868e-008,0.5901
1.12253e-008,0.7152
1.12639e-008,0.8218
1.13025e-008,0.9129
1.13410e-008,0.9831
1.13796e-008,1.0322
1.14182e-008,1.0710
1.14568e-008,1.1144
1.14953e-008,1.1544
1.15339e-008,1.1695
1.15725e-008,1.1687
1.16111e-008,1.1310
1.16497e-008,1.0359
1.16882e-008,0.9171
1.17268e-008,0.7927
1.17654e-008,0.6683
1.18039e-008,0.5641
1.18425e-008,0.4866
1.18811e-008,0.4328
1.19197e-008,0.3932
1.19583e-008,0.3644
1.19968e-008,0.3635
1.20354e-008,0.3875
1.20740e-008,0.4472
1.21126e-008,0.5500
1.21511e-008,0.6775
1.21897e-008,0.7898
1.22283e-008,0.8861
1.22668e-008,0.9633
1.23054e-008,1.0185
1.23440e-008,1.0591
1.23826e-008,1.0976
1.24212e-008,1.1442
1.24597e-008,1.1650
1.24983e-008,1.1715
1.25369e-008,1.1480
1.25755e-008,1.0715
1.26140e-008,0.9547
1.26526e-008,0.8328
1.26912e-008,0.7062
1.27297e-008,0.5942
1.27683e-008,0.5083
1.28069e-008,0.4476
1.28455e-008,0.4051
1.28841e-008,0.3704
1.29226e-008,0.3617
1.29612e-008,0.3759
1.29998e-008,0.4245
1.30383e-008,0.5125
1.30769e-008,0.6375
1.31155e-008,0.7563
1.31541e-008,0.8573
1.31926e-008,0.9412
1.32312e-008,1.0033
1.32698e-008,1.0470
1.33084e-008,1.0846
1.33470e-008,1.1310
1.33855e-008,1.1608
1.34241e-008,1.1717
1.34627e-008,1.1599
1.35012e-008,1.1024
1.35398e-008,0.9926
1.35784e-008,0.8722
1.36170e-008,0.7457
1.36555e-008,0.6270
1.36941e-008,0.5325
1.37327e-008,0.4644
1.37713e-008,0.4174
1.38099e-008,0.3794
1.38484e-008,0.3616
1.38870e-008,0.3681
1.39256e-008,0.4053
1.39641e-008,0.4794
1.40027e-008,0.5966
1.40413e-008,0.7210
1.40799e-008,0.8269
1.41185e-008,0.9170
1.41570e-008,0.9861
1.41956e-008,1.0343
1.42342e-008,1.0728
1.42728e-008,1.1158
1.43113e-008,1.1552
1.43499e-008,1.1696
1.43885e-008,1.1676
1.44270e-008,1.1274
1.44656e-008,1.0300
1.45042e-008,0.9108
1.45428e-008,0.7860
1.45814e-008,0.6624
1.46199e-008,0.5594
1.46585e-008,0.4833
1.46971e-008,0.4305
1.47357e-008,0.3918
1.47742e-008,0.3641
1.48128e-008,0.3643
1.48514e-008,0.3899
1.48899e-008,0.4516
1.49285e-008,0.5561
1.49671e-008,0.6838
1.50057e-008,0.7950
1.50443e-008,0.8905
1.50828e-008,0.9667
1.51214e-008,1.0208
1.51600e-008,1.0611
1.51985e-008,1.1006
1.52371e-008,1.1467
1.52757e-008,1.1660
1.53143e-008,1.1715
1.53528e-008,1.1459
1.53914e-008,1.0659
1.54300e-008,0.9488
1.54686e-008,0.8264
1.55071e-008,0.7000
1.55457e-008,0.5892
1.55843e-008,0.5045
1.56229e-008,0.4451
1.56615e-008,0.4035
1.57000e-008,0.3696
1.57386e-008,0.3621
1.57772e-008,0.3778
1.58158e-008,0.4281
1.58543e-008,0.5182
1.58929e-008,0.6441
1.59315e-008,0.7618
1.59701e-008,0.8620
1.60086e-008,0.9450
1.60472e-008,1.0058
1.60858e-008,1.0490
1.61243e-008,1.0870
1.61629e-008,1.1346
1.62015e-008,1.1618
1.62401e-008,1.1723
1.62786e-008,1.1586
1.63172e-008,1.0977
1.63558e-008,0.9865
1.63944e-008,0.8661
1.64329e-008,0.7393
1.64715e-008,0.6216
1.65101e-008,0.5283
1.65487e-008,0.4615
1.65873e-008,0.4155
1.66258e-008,0.3784
1.66644e-008,0.3616
1.67030e-008,0.3695
1.67416e-008,0.4083
1.67801e-008,0.4845
1.68187e-008,0.6033
1.68573e-008,0.7269
1.68959e-008,0.8319
1.69344e-008,0.9211
1.69730e-008,0.9890
1.70116e-008,1.0364
1.70501e-008,1.0748
1.70887e-008,1.1195
1.71273e-008,1.1566
1.71659e-008,1.1705
1.72044e-008,1.1669
1.72430e-008,1.1239
1.72816e-008,1.0240
1.73202e-008,0.9048
1.73588e-008,0.7795
1.73973e-008,0.6565
1.74359e-008,0.5549
1.74745e-008,0.4801
1.75131e-008,0.4284
1.75516e-008,0.3894
1.75902e-008,0.3633
1.76288e-008,0.3645
1.76674e-008,0.3920
1.77059e-008,0.4556
1.77445e-008,0.5628
1.77831e-008,0.6899
1.78216e-008,0.8003
1.78602e-008,0.8950
1.78988e-008,0.9700
1.79374e-008,1.0230
1.79759e-008,1.0630
1.80145e-008,1.1022
1.80531e-008,1.1477
1.80917e-008,1.1663
1.81302e-008,1.1708
1.81688e-008,1.1431
1.82074e-008,1.0604
1.82460e-008,0.9425
1.82846e-008,0.8198
1.83231e-008,0.6937
1.83617e-008,0.5841
1.84003e-008,0.5010
1.84389e-008,0.4426
1.84774e-008,0.4012
1.85160e-008,0.3681
1.85546e-008,0.3620
1.85932e-008,0.3793
1.86317e-008,0.4315
1.86703e-008,0.5241
1.87089e-008,0.6506
1.87474e-008,0.7672
1.87860e-008,0.8667
1.88246e-008,0.9486
1.88632e-008,1.0084
1.89017e-008,1.0509
1.89403e-008,1.0887
1.89789e-008,1.1357
1.90175e-008,1.1623
1.90560e-008,1.1720
1.90946e-008,1.1566
1.91332e-008,1.0930
1.91718e-008,0.9804
1.92104e-008,0.8595
1.92489e-008,0.7328
1.92875e-008,0.6161
1.93261e-008,0.5243
1.93647e-008,0.4587
1.94032e-008,0.4134
1.94418e-008,0.3762
1.94804e-008,0.3615
1.95190e-008,0.3702
1.95575e-008,0.4111
1.95961e-008,0.4896
1.96347e-008,0.6099
1.96732e-008,0.7326
1.97118e-008,0.8369
1.97504e-008,0.9251
1.97890e-008,0.9919
1.98275e-008,1.0385
1.98661e-008,1.0766
1.99047e-008,1.1209
1.99433e-008,1.1573
1.99819e-008,1.1705
2.00204e-008,1.1655
2.00590e-008,1.1200
2.00976e-008,1.0180
2.01362e-008,0.8984
2.01747e-008,0.7729
2.02133e-008,0.6507
2.02519e-008,0.5504
2.02905e-008,0.4769
2.03290e-008,0.4261
2.03676e-008,0.3868
2.04062e-008,0.3627
2.04447e-008,0.3647
2.04833e-008,0.3942
2.05219e-008,0.4597
2.05605e-008,0.5692
2.05990e-008,0.6959
2.06376e-008,0.8055
2.06762e-008,0.8993
2.07148e-008,0.9732
2.07533e-008,1.0253
2.07919e-008,1.0648
2.08305e-008,1.1055
2.08691e-008,1.1500
2.09077e-008,1.1673
2.09462e-008,1.1707
2.09848e-008,1.1407
2.10234e-008,1.0545
2.10620e-008,0.9364
2.11005e-008,0.8133
2.11391e-008,0.6876
2.11777e-008,0.5792
2.12163e-008,0.4974
2.12548e-008,0.4402
2.12934e-008,0.3997
2.13320e-008,0.3674
2.13705e-008,0.3626
2.14091e-008,0.3813
2.14477e-008,0.4352
2.14863e-008,0.5301
2.15248e-008,0.6572
2.15634e-008,0.7727
