.HEADER
..NAMES
Time,V U4.M2
.DATA
9.0220e-009,0.4278
9.0587e-009,0.4206
9.0954e-009,0.4076
9.1321e-009,0.3930
9.1688e-009,0.3863
9.2054e-009,0.4009
9.2421e-009,0.4469
9.2788e-009,0.5257
9.3154e-009,0.6281
9.3521e-009,0.7392
9.3888e-009,0.8414
9.4255e-009,0.9175
9.4622e-009,0.9577
9.4988e-009,0.9657
9.5355e-009,0.9543
9.5722e-009,0.9377
9.6088e-009,0.9270
9.6455e-009,0.9287
9.6822e-009,0.9426
9.7189e-009,0.9624
9.7556e-009,0.9794
9.7922e-009,0.9882
9.8289e-009,0.9879
9.8656e-009,0.9826
9.9022e-009,0.9782
9.9389e-009,0.9802
9.9756e-009,0.9918
1.00123e-008,1.0129
1.00490e-008,1.0401
1.00856e-008,1.0672
1.01223e-008,1.0877
1.01590e-008,1.0974
1.01956e-008,1.0961
1.02323e-008,1.0872
1.02690e-008,1.0760
1.03057e-008,1.0679
1.03424e-008,1.0670
1.03790e-008,1.0742
1.04157e-008,1.0870
1.04524e-008,1.1002
1.04890e-008,1.1090
1.05257e-008,1.1107
1.05624e-008,1.1057
1.05991e-008,1.0970
1.06358e-008,1.0888
1.06724e-008,1.0849
1.07091e-008,1.0868
1.07458e-008,1.0937
1.07824e-008,1.1024
1.08191e-008,1.1094
1.08558e-008,1.1121
1.08925e-008,1.1102
1.09292e-008,1.1049
1.09658e-008,1.0981
1.10025e-008,1.0922
1.10392e-008,1.0890
1.10758e-008,1.0888
1.11125e-008,1.0909
1.11492e-008,1.0936
1.11859e-008,1.0953
1.12226e-008,1.0954
1.12592e-008,1.0940
1.12959e-008,1.0916
1.13326e-008,1.0895
1.13693e-008,1.0886
1.14059e-008,1.0895
1.14426e-008,1.0920
1.14793e-008,1.0951
1.15159e-008,1.0977
1.15526e-008,1.0987
1.15893e-008,1.0977
1.16260e-008,1.0951
1.16627e-008,1.0920
1.16993e-008,1.0896
1.17360e-008,1.0887
1.17727e-008,1.0894
1.18093e-008,1.0914
1.18460e-008,1.0935
1.18827e-008,1.0953
1.19194e-008,1.0965
1.19561e-008,1.0964
1.19927e-008,1.0928
1.20294e-008,1.0799
1.20661e-008,1.0498
1.21027e-008,0.9971
1.21394e-008,0.9213
1.21761e-008,0.8263
1.22128e-008,0.7214
1.22495e-008,0.6212
1.22861e-008,0.5400
1.23228e-008,0.4855
1.23595e-008,0.4578
1.23961e-008,0.4517
1.24328e-008,0.4580
1.24695e-008,0.4665
1.25062e-008,0.4699
1.25429e-008,0.4658
1.25795e-008,0.4562
1.26162e-008,0.4451
1.26529e-008,0.4361
1.26895e-008,0.4310
1.27262e-008,0.4289
1.27629e-008,0.4273
1.27996e-008,0.4229
1.28363e-008,0.4135
1.28729e-008,0.4009
1.29096e-008,0.3916
1.29463e-008,0.3975
1.29829e-008,0.4305
1.30196e-008,0.4961
1.30563e-008,0.5894
1.30930e-008,0.6979
1.31297e-008,0.8052
1.31663e-008,0.8937
1.32030e-008,0.9491
1.32397e-008,0.9693
1.32763e-008,0.9639
1.33130e-008,0.9472
1.33497e-008,0.9316
1.33864e-008,0.9264
1.34231e-008,0.9347
1.34597e-008,0.9524
1.34964e-008,0.9716
1.35331e-008,0.9850
1.35697e-008,0.9893
1.36064e-008,0.9864
1.36431e-008,0.9815
1.36798e-008,0.9803
1.37165e-008,0.9875
1.37531e-008,1.0047
1.37898e-008,1.0303
1.38265e-008,1.0592
1.38631e-008,1.0821
1.38998e-008,1.0869
1.39365e-008,1.0620
1.39732e-008,1.0033
1.40099e-008,0.9154
1.40465e-008,0.8081
1.40832e-008,0.6957
1.41199e-008,0.5960
1.41565e-008,0.5240
1.41932e-008,0.4831
1.42299e-008,0.4674
1.42666e-008,0.4672
1.43033e-008,0.4723
1.43399e-008,0.4741
1.43766e-008,0.4687
1.44133e-008,0.4580
1.44499e-008,0.4473
1.44866e-008,0.4413
1.45233e-008,0.4415
1.45600e-008,0.4456
1.45967e-008,0.4496
1.46333e-008,0.4489
1.46700e-008,0.4406
1.47067e-008,0.4238
1.47433e-008,0.3998
1.47800e-008,0.3729
1.48167e-008,0.3484
1.48534e-008,0.3312
1.48901e-008,0.3234
1.49267e-008,0.3245
1.49634e-008,0.3320
1.50001e-008,0.3418
1.50368e-008,0.3493
1.50734e-008,0.3512
1.51101e-008,0.3465
1.51468e-008,0.3372
1.51834e-008,0.3272
1.52201e-008,0.3200
1.52568e-008,0.3174
1.52935e-008,0.3196
1.53301e-008,0.3244
1.53668e-008,0.3292
1.54035e-008,0.3312
1.54402e-008,0.3294
1.54769e-008,0.3248
1.55135e-008,0.3193
1.55502e-008,0.3151
1.55869e-008,0.3136
1.56236e-008,0.3152
1.56602e-008,0.3208
1.56969e-008,0.3326
1.57336e-008,0.3557
1.57703e-008,0.3963
1.58069e-008,0.4580
1.58436e-008,0.5394
1.58803e-008,0.6329
1.59169e-008,0.7281
1.59536e-008,0.8131
1.59903e-008,0.8777
1.60270e-008,0.9172
1.60636e-008,0.9350
1.61003e-008,0.9394
1.61370e-008,0.9385
1.61737e-008,0.9387
1.62104e-008,0.9438
1.62470e-008,0.9541
1.62837e-008,0.9664
1.63204e-008,0.9770
1.63571e-008,0.9838
1.63937e-008,0.9872
1.64304e-008,0.9894
1.64671e-008,0.9931
1.65037e-008,1.0008
1.65404e-008,1.0138
1.65771e-008,1.0319
1.66138e-008,1.0526
1.66504e-008,1.0720
1.66871e-008,1.0859
1.67238e-008,1.0920
1.67605e-008,1.0904
1.67972e-008,1.0836
1.68338e-008,1.0755
1.68705e-008,1.0701
1.69072e-008,1.0705
1.69439e-008,1.0771
1.69805e-008,1.0877
1.70172e-008,1.0985
1.70539e-008,1.1059
1.70905e-008,1.1079
1.71272e-008,1.1050
1.71639e-008,1.0994
1.72006e-008,1.0940
1.72372e-008,1.0913
1.72739e-008,1.0926
1.73106e-008,1.0972
1.73473e-008,1.1028
1.73840e-008,1.1074
1.74206e-008,1.1092
1.74573e-008,1.1082
1.74940e-008,1.1050
1.75307e-008,1.1011
1.75673e-008,1.0978
1.76040e-008,1.0941
1.76407e-008,1.0847
1.76773e-008,1.0610
1.77140e-008,1.0152
1.77507e-008,0.9453
1.77874e-008,0.8543
1.78240e-008,0.7501
1.78607e-008,0.6464
1.78974e-008,0.5592
1.79341e-008,0.4985
1.79708e-008,0.4657
1.80074e-008,0.4563
1.80441e-008,0.4615
1.80808e-008,0.4706
1.81175e-008,0.4748
1.81541e-008,0.4708
1.81908e-008,0.4601
1.82275e-008,0.4473
1.82641e-008,0.4367
1.83008e-008,0.4310
1.83375e-008,0.4294
1.83742e-008,0.4293
1.84108e-008,0.4266
1.84475e-008,0.4182
1.84842e-008,0.4044
1.85209e-008,0.3904
1.85576e-008,0.3874
1.85942e-008,0.4083
1.86309e-008,0.4621
1.86676e-008,0.5473
1.87043e-008,0.6531
1.87409e-008,0.7637
1.87776e-008,0.8614
1.88143e-008,0.9297
1.88509e-008,0.9617
1.88876e-008,0.9639
1.89243e-008,0.9502
1.89610e-008,0.9340
1.89976e-008,0.9258
1.90343e-008,0.9306
1.90710e-008,0.9467
1.91077e-008,0.9666
1.91444e-008,0.9821
1.91810e-008,0.9887
1.92177e-008,0.9868
1.92544e-008,0.9811
1.92911e-008,0.9776
1.93277e-008,0.9816
1.93644e-008,0.9958
1.94011e-008,1.0196
1.94377e-008,1.0489
1.94744e-008,1.0759
1.95111e-008,1.0894
1.95478e-008,1.0776
1.95844e-008,1.0328
1.96211e-008,0.9564
1.96578e-008,0.8565
1.96945e-008,0.7452
1.97312e-008,0.6386
1.97678e-008,0.5539
1.98045e-008,0.4996
1.98412e-008,0.4732
1.98779e-008,0.4663
1.99145e-008,0.4692
1.99512e-008,0.4726
1.99879e-008,0.4705
2.00245e-008,0.4622
2.00612e-008,0.4517
2.00979e-008,0.4441
2.01346e-008,0.4421
2.01712e-008,0.4448
2.02079e-008,0.4489
2.02446e-008,0.4500
2.02813e-008,0.4448
2.03179e-008,0.4314
2.03546e-008,0.4110
2.03913e-008,0.3894
2.04280e-008,0.3770
2.04647e-008,0.3870
2.05013e-008,0.4297
2.05380e-008,0.5064
2.05747e-008,0.6075
2.06114e-008,0.7189
2.06480e-008,0.8237
2.06847e-008,0.9045
2.07214e-008,0.9501
2.07580e-008,0.9632
2.07947e-008,0.9562
2.08314e-008,0.9426
2.08681e-008,0.9331
2.09047e-008,0.9343
2.09414e-008,0.9466
2.09781e-008,0.9641
2.10148e-008,0.9791
2.10515e-008,0.9863
2.10881e-008,0.9853
2.11248e-008,0.9801
2.11615e-008,0.9764
2.11982e-008,0.9791
2.12348e-008,0.9909
2.12715e-008,1.0119
2.13082e-008,1.0393
2.13448e-008,1.0666
2.13815e-008,1.0840
2.14182e-008,1.0792
2.14549e-008,1.0427
2.14915e-008,0.9733
2.15282e-008,0.8775
2.15649e-008,0.7664
2.16016e-008,0.6554
2.16383e-008,0.5630
2.16749e-008,0.5014
2.17116e-008,0.4704
2.17483e-008,0.4622
2.17850e-008,0.4664
2.18216e-008,0.4728
2.18583e-008,0.4737
2.18950e-008,0.4668
2.19316e-008,0.4556
2.19683e-008,0.4456
2.20050e-008,0.4409
2.20417e-008,0.4419
2.20783e-008,0.4459
2.21150e-008,0.4484
2.21517e-008,0.4456
2.21884e-008,0.4350
2.22251e-008,0.4167
2.22617e-008,0.3951
2.22984e-008,0.3797
2.23351e-008,0.3840
2.23718e-008,0.4196
2.24084e-008,0.4900
2.24451e-008,0.5876
2.24818e-008,0.6987
2.25184e-008,0.8067
2.25551e-008,0.8937
2.25918e-008,0.9462
2.26285e-008,0.9641
2.26651e-008,0.9589
2.27018e-008,0.9447
2.27385e-008,0.9331
2.27752e-008,0.9320
2.28119e-008,0.9428
2.28485e-008,0.9607
2.28852e-008,0.9775
2.29219e-008,0.9868
2.29586e-008,0.9872
2.29952e-008,0.9819
2.30319e-008,0.9770
2.30686e-008,0.9777
2.31052e-008,0.9874
2.31419e-008,1.0063
2.31786e-008,1.0318
2.32153e-008,1.0588
2.32519e-008,1.0809
2.32886e-008,1.0937
2.33253e-008,1.0959
2.33620e-008,1.0901
2.33987e-008,1.0806
