.HEADER
..NAMES
Time,V U3.F8
.DATA
0.0e+000,1.1781
3.86e-011,1.1781
7.72e-011,1.1781
1.157e-010,1.1781
1.543e-010,1.1781
1.929e-010,1.1781
2.314e-010,1.1781
2.700e-010,1.1781
3.086e-010,1.1781
3.472e-010,1.1781
3.857e-010,1.1781
4.243e-010,1.1786
4.629e-010,1.1810
5.015e-010,1.1835
5.401e-010,1.1768
5.786e-010,1.1440
6.172e-010,1.0692
6.558e-010,0.9593
6.944e-010,0.8390
7.329e-010,0.7252
7.715e-010,0.6243
8.101e-010,0.5403
8.486e-010,0.4745
8.872e-010,0.4264
9.258e-010,0.3882
9.644e-010,0.3657
1.0029e-009,0.3723
1.0415e-009,0.4187
1.0801e-009,0.5068
1.1187e-009,0.6249
1.1572e-009,0.7451
1.1958e-009,0.8450
1.2344e-009,0.9224
1.2730e-009,0.9818
1.3115e-009,1.0304
1.3501e-009,1.0725
1.3887e-009,1.1173
1.4273e-009,1.1535
1.4658e-009,1.1700
1.5044e-009,1.1557
1.5430e-009,1.0979
1.5816e-009,0.9960
1.6202e-009,0.8734
1.6587e-009,0.7521
1.6973e-009,0.6432
1.7359e-009,0.5549
1.7745e-009,0.4856
1.8130e-009,0.4337
1.8516e-009,0.3946
1.8902e-009,0.3681
1.9288e-009,0.3634
1.9673e-009,0.3955
2.0059e-009,0.4685
2.0445e-009,0.5803
2.0830e-009,0.7060
2.1216e-009,0.8155
2.1602e-009,0.9000
2.1988e-009,0.9648
2.2374e-009,1.0162
2.2759e-009,1.0591
2.3145e-009,1.0923
2.3531e-009,1.1154
2.3916e-009,1.1327
2.4302e-009,1.1448
2.4688e-009,1.1527
2.5074e-009,1.1598
2.5459e-009,1.1662
2.5845e-009,1.1698
2.6231e-009,1.1701
2.6617e-009,1.1685
2.7003e-009,1.1677
2.7388e-009,1.1695
2.7774e-009,1.1719
2.8160e-009,1.1734
2.8545e-009,1.1744
2.8931e-009,1.1751
2.9317e-009,1.1753
2.9703e-009,1.1754
3.0089e-009,1.1758
3.0474e-009,1.1766
3.0860e-009,1.1774
3.1246e-009,1.1775
3.1631e-009,1.1772
3.2017e-009,1.1774
3.2403e-009,1.1784
3.2789e-009,1.1811
3.3175e-009,1.1834
3.3560e-009,1.1757
3.3946e-009,1.1410
3.4332e-009,1.0640
3.4717e-009,0.9530
3.5103e-009,0.8328
3.5489e-009,0.7197
3.5875e-009,0.6196
3.6260e-009,0.5363
3.6646e-009,0.4714
3.7032e-009,0.4238
3.7418e-009,0.3860
3.7803e-009,0.3648
3.8189e-009,0.3736
3.8575e-009,0.4221
3.8961e-009,0.5123
3.9346e-009,0.6313
3.9732e-009,0.7507
4.0118e-009,0.8496
4.0504e-009,0.9258
4.0890e-009,0.9844
4.1275e-009,1.0327
4.1661e-009,1.0743
4.2047e-009,1.1185
4.2433e-009,1.1542
4.2818e-009,1.1699
4.3204e-009,1.1539
4.3590e-009,1.0936
4.3975e-009,0.9899
4.4361e-009,0.8669
4.4747e-009,0.7461
4.5133e-009,0.6380
4.5519e-009,0.5508
4.5904e-009,0.4825
4.6290e-009,0.4319
4.6676e-009,0.3983
4.7062e-009,0.3733
4.7447e-009,0.3532
4.7833e-009,0.3399
4.8219e-009,0.3305
4.8604e-009,0.3231
4.8990e-009,0.3188
4.9376e-009,0.3172
4.9762e-009,0.3187
5.0147e-009,0.3221
5.0533e-009,0.3241
5.0919e-009,0.3245
5.1305e-009,0.3249
5.1691e-009,0.3246
5.2076e-009,0.3236
5.2462e-009,0.3228
5.2848e-009,0.3223
5.3234e-009,0.3222
5.3619e-009,0.3222
5.4005e-009,0.3217
5.4391e-009,0.3212
5.4776e-009,0.3211
5.5162e-009,0.3210
5.5548e-009,0.3206
5.5934e-009,0.3210
5.6320e-009,0.3254
5.6705e-009,0.3412
5.7091e-009,0.3807
5.7477e-009,0.4548
5.7863e-009,0.5626
5.8248e-009,0.6846
5.8634e-009,0.7924
5.9020e-009,0.8745
5.9405e-009,0.9390
5.9791e-009,0.9936
6.0177e-009,1.0402
6.0563e-009,1.0772
6.0948e-009,1.1044
6.1334e-009,1.1242
6.1720e-009,1.1386
6.2106e-009,1.1478
6.2492e-009,1.1552
6.2877e-009,1.1626
6.3263e-009,1.1677
6.3649e-009,1.1688
6.4035e-009,1.1676
6.4420e-009,1.1672
6.4806e-009,1.1691
6.5192e-009,1.1717
6.5577e-009,1.1732
6.5963e-009,1.1740
6.6349e-009,1.1747
6.6735e-009,1.1750
6.7121e-009,1.1751
6.7506e-009,1.1754
6.7892e-009,1.1763
6.8278e-009,1.1772
6.8664e-009,1.1774
6.9049e-009,1.1771
6.9435e-009,1.1772
6.9821e-009,1.1777
7.0206e-009,1.1780
7.0592e-009,1.1779
7.0978e-009,1.1778
7.1364e-009,1.1777
7.1749e-009,1.1778
7.2135e-009,1.1777
7.2521e-009,1.1777
7.2907e-009,1.1779
7.3293e-009,1.1780
7.3678e-009,1.1779
7.4064e-009,1.1778
7.4450e-009,1.1778
7.4835e-009,1.1779
7.5221e-009,1.1780
7.5607e-009,1.1779
7.5993e-009,1.1779
7.6379e-009,1.1779
7.6764e-009,1.1780
7.7150e-009,1.1779
7.7536e-009,1.1779
7.7922e-009,1.1780
7.8307e-009,1.1780
7.8693e-009,1.1780
7.9079e-009,1.1779
7.9464e-009,1.1780
7.9850e-009,1.1780
8.0236e-009,1.1780
8.0622e-009,1.1780
8.1008e-009,1.1780
8.1393e-009,1.1780
