.HEADER
..NAMES
Time,V U4.C3
.DATA
9.4895e-009,1.1391
9.5280e-009,1.0581
9.5666e-009,0.9470
9.6052e-009,0.8362
9.6437e-009,0.7260
9.6823e-009,0.6218
9.7209e-009,0.5342
9.7595e-009,0.4685
9.7981e-009,0.4229
9.8366e-009,0.3917
9.8752e-009,0.3700
9.9138e-009,0.3545
9.9524e-009,0.3411
9.9909e-009,0.3281
1.00295e-008,0.3207
1.00681e-008,0.3196
1.01066e-008,0.3195
1.01452e-008,0.3195
1.01838e-008,0.3210
1.02224e-008,0.3231
1.02610e-008,0.3246
1.02995e-008,0.3250
1.03381e-008,0.3246
1.03767e-008,0.3239
1.04152e-008,0.3228
1.04538e-008,0.3218
1.04924e-008,0.3221
1.05310e-008,0.3228
1.05695e-008,0.3225
1.06081e-008,0.3217
1.06467e-008,0.3215
1.06853e-008,0.3214
1.07239e-008,0.3211
1.07624e-008,0.3209
1.08010e-008,0.3208
1.08396e-008,0.3207
1.08781e-008,0.3206
1.09167e-008,0.3207
1.09553e-008,0.3209
1.09939e-008,0.3210
1.10324e-008,0.3208
1.10710e-008,0.3206
1.11096e-008,0.3207
1.11482e-008,0.3208
1.11868e-008,0.3207
1.12253e-008,0.3207
1.12639e-008,0.3208
1.13025e-008,0.3207
1.13410e-008,0.3207
1.13796e-008,0.3208
1.14182e-008,0.3208
1.14568e-008,0.3207
1.14953e-008,0.3207
1.15339e-008,0.3207
1.15725e-008,0.3208
1.16111e-008,0.3207
1.16497e-008,0.3207
1.16882e-008,0.3207
1.17268e-008,0.3207
1.17654e-008,0.3207
1.18039e-008,0.3207
1.18425e-008,0.3207
1.18811e-008,0.3207
1.19197e-008,0.3207
1.19583e-008,0.3207
1.19968e-008,0.3207
1.20354e-008,0.3207
1.20740e-008,0.3207
1.21126e-008,0.3207
1.21511e-008,0.3207
1.21897e-008,0.3207
1.22283e-008,0.3207
1.22668e-008,0.3207
1.23054e-008,0.3207
1.23440e-008,0.3207
1.23826e-008,0.3207
1.24212e-008,0.3207
1.24597e-008,0.3207
1.24983e-008,0.3207
1.25369e-008,0.3207
1.25755e-008,0.3207
1.26140e-008,0.3207
1.26526e-008,0.3207
1.26912e-008,0.3207
1.27297e-008,0.3207
1.27683e-008,0.3207
1.28069e-008,0.3207
1.28455e-008,0.3207
1.28841e-008,0.3207
1.29226e-008,0.3207
1.29612e-008,0.3207
1.29998e-008,0.3207
1.30383e-008,0.3207
1.30769e-008,0.3207
1.31155e-008,0.3207
1.31541e-008,0.3207
1.31926e-008,0.3207
