.HEADER
..NAMES
Time,V U3.H8
.DATA
0.0e+000,0.3205
3.86e-011,0.3205
7.72e-011,0.3205
1.157e-010,0.3205
1.543e-010,0.3205
1.929e-010,0.3205
2.314e-010,0.3205
2.700e-010,0.3205
3.086e-010,0.3205
3.472e-010,0.3205
3.857e-010,0.3205
4.243e-010,0.3208
4.629e-010,0.3236
5.015e-010,0.3346
5.401e-010,0.3648
5.786e-010,0.4268
6.172e-010,0.5238
6.558e-010,0.6428
6.944e-010,0.7558
7.329e-010,0.8452
7.715e-010,0.9151
8.101e-010,0.9748
8.486e-010,1.0260
8.872e-010,1.0664
9.258e-010,1.0959
9.644e-010,1.1169
1.0029e-009,1.1332
1.0415e-009,1.1455
1.0801e-009,1.1541
1.1187e-009,1.1614
1.1572e-009,1.1665
1.1958e-009,1.1679
1.2344e-009,1.1669
1.2730e-009,1.1666
1.3115e-009,1.1682
1.3501e-009,1.1709
1.3887e-009,1.1726
1.4273e-009,1.1731
1.4658e-009,1.1735
1.5044e-009,1.1743
1.5430e-009,1.1748
1.5816e-009,1.1752
1.6202e-009,1.1757
1.6587e-009,1.1763
1.6973e-009,1.1767
1.7359e-009,1.1768
1.7745e-009,1.1769
1.8130e-009,1.1774
1.8516e-009,1.1791
1.8902e-009,1.1820
1.9288e-009,1.1817
1.9673e-009,1.1654
2.0059e-009,1.1146
2.0445e-009,1.0221
2.0830e-009,0.9063
2.1216e-009,0.7901
2.1602e-009,0.6831
2.1988e-009,0.5883
2.2374e-009,0.5106
2.2759e-009,0.4520
2.3145e-009,0.4118
2.3531e-009,0.3835
2.3916e-009,0.3612
2.4302e-009,0.3454
2.4688e-009,0.3353
2.5074e-009,0.3272
2.5459e-009,0.3208
2.5845e-009,0.3182
2.6231e-009,0.3194
2.6617e-009,0.3224
2.7003e-009,0.3245
2.7388e-009,0.3249
2.7774e-009,0.3257
2.8160e-009,0.3296
2.8545e-009,0.3431
2.8931e-009,0.3787
2.9317e-009,0.4485
2.9703e-009,0.5526
3.0089e-009,0.6727
3.0474e-009,0.7805
3.0860e-009,0.8637
3.1246e-009,0.9305
3.1631e-009,0.9880
3.2017e-009,1.0365
3.2403e-009,1.0785
3.2789e-009,1.1228
3.3175e-009,1.1567
3.3560e-009,1.1646
3.3946e-009,1.1404
3.4332e-009,1.0682
3.4717e-009,0.9581
3.5103e-009,0.8368
