.HEADER
..NAMES
Time,V U5.C2
.DATA
9.4895e-009,0.4140
9.5280e-009,0.5056
9.5666e-009,0.6269
9.6052e-009,0.7474
9.6437e-009,0.8415
9.6823e-009,0.9103
9.7209e-009,0.9682
9.7595e-009,1.0175
9.7981e-009,1.0573
9.8366e-009,1.0877
9.8752e-009,1.1103
9.9138e-009,1.1273
9.9524e-009,1.1403
9.9909e-009,1.1490
1.00295e-008,1.1561
1.00681e-008,1.1644
1.01066e-008,1.1708
1.01452e-008,1.1715
1.01838e-008,1.1689
1.02224e-008,1.1679
1.02610e-008,1.1697
1.02995e-008,1.1720
1.03381e-008,1.1735
1.03767e-008,1.1742
1.04152e-008,1.1749
1.04538e-008,1.1757
1.04924e-008,1.1759
1.05310e-008,1.1756
1.05695e-008,1.1762
1.06081e-008,1.1776
1.06467e-008,1.1779
1.06853e-008,1.1772
1.07239e-008,1.1769
1.07624e-008,1.1775
1.08010e-008,1.1781
1.08396e-008,1.1783
1.08781e-008,1.1780
1.09167e-008,1.1778
1.09553e-008,1.1780
1.09939e-008,1.1781
1.10324e-008,1.1778
1.10710e-008,1.1778
1.11096e-008,1.1781
1.11482e-008,1.1783
1.11868e-008,1.1781
1.12253e-008,1.1784
1.12639e-008,1.1811
1.13025e-008,1.1840
1.13410e-008,1.1767
1.13796e-008,1.1407
1.14182e-008,1.0606
1.14568e-008,0.9458
1.14953e-008,0.8241
1.15339e-008,0.7122
1.15725e-008,0.6130
1.16111e-008,0.5312
1.16497e-008,0.4699
1.16882e-008,0.4272
1.17268e-008,0.3970
1.17654e-008,0.3737
1.18039e-008,0.3551
1.18425e-008,0.3434
1.18811e-008,0.3363
1.19197e-008,0.3291
1.19583e-008,0.3216
1.19968e-008,0.3180
1.20354e-008,0.3192
1.20740e-008,0.3220
1.21126e-008,0.3237
1.21511e-008,0.3246
1.21897e-008,0.3256
1.22283e-008,0.3261
1.22668e-008,0.3254
1.23054e-008,0.3238
1.23440e-008,0.3230
1.23826e-008,0.3233
1.24212e-008,0.3235
1.24597e-008,0.3226
1.24983e-008,0.3217
1.25369e-008,0.3219
1.25755e-008,0.3223
1.26140e-008,0.3221
1.26526e-008,0.3215
1.26912e-008,0.3212
1.27297e-008,0.3213
1.27683e-008,0.3213
1.28069e-008,0.3210
1.28455e-008,0.3209
1.28841e-008,0.3211
1.29226e-008,0.3214
1.29612e-008,0.3213
1.29998e-008,0.3210
1.30383e-008,0.3210
1.30769e-008,0.3212
1.31155e-008,0.3212
1.31541e-008,0.3211
1.31926e-008,0.3210
1.32312e-008,0.3210
1.32698e-008,0.3211
1.33084e-008,0.3211
1.33470e-008,0.3209
1.33855e-008,0.3210
1.34241e-008,0.3211
1.34627e-008,0.3210
1.35012e-008,0.3209
1.35398e-008,0.3209
1.35784e-008,0.3216
1.36170e-008,0.3262
1.36555e-008,0.3422
1.36941e-008,0.3827
1.37327e-008,0.4593
1.37713e-008,0.5703
1.38099e-008,0.6945
1.38484e-008,0.8018
1.38870e-008,0.8809
1.39256e-008,0.9427
1.39641e-008,0.9960
1.40027e-008,1.0405
1.40413e-008,1.0751
1.40799e-008,1.1012
1.41185e-008,1.1205
1.41570e-008,1.1353
1.41956e-008,1.1456
1.42342e-008,1.1531
1.42728e-008,1.1609
1.43113e-008,1.1685
1.43499e-008,1.1716
1.43885e-008,1.1701
1.44270e-008,1.1680
1.44656e-008,1.1687
1.45042e-008,1.1715
1.45428e-008,1.1770
1.45814e-008,1.1818
1.46199e-008,1.1765
1.46585e-008,1.1444
1.46971e-008,1.0686
1.47357e-008,0.9551
