.HEADER
..NAMES
Time,V U5.B8
.DATA
0.0e+000,0.3210
3.86e-011,0.3210
7.72e-011,0.3210
1.157e-010,0.3210
1.543e-010,0.3210
1.929e-010,0.3210
2.314e-010,0.3210
2.700e-010,0.3210
3.086e-010,0.3210
3.472e-010,0.3210
3.857e-010,0.3210
4.243e-010,0.3210
4.629e-010,0.3219
5.015e-010,0.3273
5.401e-010,0.3461
5.786e-010,0.3927
6.172e-010,0.4786
6.558e-010,0.5997
6.944e-010,0.7294
7.329e-010,0.8347
7.715e-010,0.9072
8.101e-010,0.9617
8.486e-010,1.0093
8.872e-010,1.0472
9.258e-010,1.0757
9.644e-010,1.0988
1.0029e-009,1.1193
1.0415e-009,1.1333
1.0801e-009,1.1404
1.1187e-009,1.1452
1.1572e-009,1.1535
1.1958e-009,1.1639
1.2344e-009,1.1719
1.2730e-009,1.1731
1.3115e-009,1.1698
1.3501e-009,1.1677
1.3887e-009,1.1697
1.4273e-009,1.1751
1.4658e-009,1.1793
1.5044e-009,1.1728
1.5430e-009,1.1363
1.5816e-009,1.0513
1.6202e-009,0.9266
1.6587e-009,0.7975
1.6973e-009,0.6853
1.7359e-009,0.5904
1.7745e-009,0.5122
1.8130e-009,0.4571
1.8516e-009,0.4225
1.8902e-009,0.3981
1.9288e-009,0.3755
1.9673e-009,0.3575
2.0059e-009,0.3474
2.0445e-009,0.3429
2.0830e-009,0.3382
2.1216e-009,0.3305
2.1602e-009,0.3217
2.1988e-009,0.3178
2.2374e-009,0.3193
2.2759e-009,0.3214
2.3145e-009,0.3220
2.3531e-009,0.3237
2.3916e-009,0.3267
2.4302e-009,0.3277
2.4688e-009,0.3253
2.5074e-009,0.3227
2.5459e-009,0.3229
2.5845e-009,0.3242
2.6231e-009,0.3240
2.6617e-009,0.3225
2.7003e-009,0.3214
2.7388e-009,0.3217
2.7774e-009,0.3226
2.8160e-009,0.3226
2.8545e-009,0.3220
2.8931e-009,0.3219
2.9317e-009,0.3225
2.9703e-009,0.3225
3.0089e-009,0.3215
3.0474e-009,0.3209
3.0860e-009,0.3214
3.1246e-009,0.3222
3.1631e-009,0.3220
3.2017e-009,0.3214
3.2403e-009,0.3214
3.2789e-009,0.3227
3.3175e-009,0.3288
3.3560e-009,0.3483
3.3946e-009,0.3964
3.4332e-009,0.4844
3.4717e-009,0.6070
3.5103e-009,0.7360
3.5489e-009,0.8392
3.5875e-009,0.9103
3.6260e-009,0.9648
3.6646e-009,1.0122
3.7032e-009,1.0493
3.7418e-009,1.0878
3.7803e-009,1.1318
3.8189e-009,1.1625
3.8575e-009,1.1589
3.8961e-009,1.1148
3.9346e-009,1.0282
3.9732e-009,0.9083
4.0118e-009,0.7841
4.0504e-009,0.6722
4.0890e-009,0.5765
4.1275e-009,0.4977
4.1661e-009,0.4455
4.2047e-009,0.4139
4.2433e-009,0.3909
4.2818e-009,0.3688
4.3204e-009,0.3555
4.3590e-009,0.3487
4.3975e-009,0.3419
4.4361e-009,0.3332
4.4747e-009,0.3261
4.5133e-009,0.3207
4.5519e-009,0.3182
4.5904e-009,0.3187
4.6290e-009,0.3203
4.6676e-009,0.3218
4.7062e-009,0.3238
4.7447e-009,0.3264
4.7833e-009,0.3269
4.8219e-009,0.3246
4.8604e-009,0.3229
4.8990e-009,0.3237
4.9376e-009,0.3240
4.9762e-009,0.3226
5.0147e-009,0.3215
5.0533e-009,0.3218
5.0919e-009,0.3222
5.1305e-009,0.3223
5.1691e-009,0.3243
5.2076e-009,0.3339
5.2462e-009,0.3623
5.2848e-009,0.4245
5.3234e-009,0.5260
5.3619e-009,0.6545
5.4005e-009,0.7770
5.4391e-009,0.8687
5.4776e-009,0.9320
5.5162e-009,0.9830
5.5548e-009,1.0266
5.5934e-009,1.0607
5.6320e-009,1.1025
5.6705e-009,1.1461
5.7091e-009,1.1660
5.7477e-009,1.1474
5.7863e-009,1.0888
5.8248e-009,0.9864
5.8634e-009,0.8619
5.9020e-009,0.7411
5.9405e-009,0.6353
5.9791e-009,0.5452
6.0177e-009,0.4759
6.0563e-009,0.4321
6.0948e-009,0.4054
6.1334e-009,0.3825
6.1720e-009,0.3627
6.2106e-009,0.3527
6.2492e-009,0.3466
6.2877e-009,0.3391
6.3263e-009,0.3306
6.3649e-009,0.3241
6.4035e-009,0.3194
6.4420e-009,0.3183
6.4806e-009,0.3194
6.5192e-009,0.3210
6.5577e-009,0.3226
6.5963e-009,0.3250
6.6349e-009,0.3271
6.6735e-009,0.3264
6.7121e-009,0.3238
6.7506e-009,0.3231
6.7892e-009,0.3241
6.8278e-009,0.3237
6.8664e-009,0.3222
6.9049e-009,0.3216
6.9435e-009,0.3221
6.9821e-009,0.3224
7.0206e-009,0.3223
7.0592e-009,0.3221
7.0978e-009,0.3221
7.1364e-009,0.3223
7.1749e-009,0.3223
7.2135e-009,0.3218
7.2521e-009,0.3212
7.2907e-009,0.3212
7.3293e-009,0.3219
7.3678e-009,0.3220
7.4064e-009,0.3215
7.4450e-009,0.3214
7.4835e-009,0.3217
7.5221e-009,0.3218
7.5607e-009,0.3216
7.5993e-009,0.3214
7.6379e-009,0.3216
7.6764e-009,0.3217
7.7150e-009,0.3216
7.7536e-009,0.3214
7.7922e-009,0.3214
7.8307e-009,0.3215
7.8693e-009,0.3216
7.9079e-009,0.3216
7.9464e-009,0.3215
7.9850e-009,0.3238
8.0236e-009,0.3343
8.0622e-009,0.3641
8.1008e-009,0.4282
8.1393e-009,0.5321
8.1779e-009,0.6622
8.2165e-009,0.7836
8.2550e-009,0.8724
8.2936e-009,0.9341
8.3322e-009,0.9853
8.3708e-009,1.0288
8.4093e-009,1.0619
8.4479e-009,1.0872
8.4865e-009,1.1092
8.5251e-009,1.1272
8.5637e-009,1.1376
8.6022e-009,1.1429
8.6408e-009,1.1489
8.6794e-009,1.1586
8.7179e-009,1.1686
8.7565e-009,1.1738
8.7951e-009,1.1721
8.8337e-009,1.1687
8.8722e-009,1.1682
8.9108e-009,1.1699
8.9494e-009,1.1705
8.9880e-009,1.1711
9.0266e-009,1.1730
9.0651e-009,1.1753
9.1037e-009,1.1752
9.1423e-009,1.1736
9.1808e-009,1.1734
9.2194e-009,1.1753
9.2580e-009,1.1769
9.2966e-009,1.1767
9.3352e-009,1.1757
9.3737e-009,1.1762
9.4123e-009,1.1802
9.4509e-009,1.1823
9.4895e-009,1.1679
9.5280e-009,1.1161
9.5666e-009,1.0165
9.6052e-009,0.8893
9.6437e-009,0.7647
9.6823e-009,0.6557
9.7209e-009,0.5635
9.7595e-009,0.4926
9.7981e-009,0.4461
9.8366e-009,0.4128
9.8752e-009,0.3833
9.9138e-009,0.3707
9.9524e-009,0.3953
9.9909e-009,0.4639
1.00295e-008,0.5684
1.00681e-008,0.6925
1.01066e-008,0.8026
1.01452e-008,0.8836
1.01838e-008,0.9451
1.02224e-008,0.9995
1.02610e-008,1.0420
1.02995e-008,1.0795
1.03381e-008,1.1237
1.03767e-008,1.1608
1.04152e-008,1.1657
1.04538e-008,1.1295
1.04924e-008,1.0545
1.05310e-008,0.9409
1.05695e-008,0.8143
1.06081e-008,0.6972
1.06467e-008,0.5983
1.06853e-008,0.5153
1.07239e-008,0.4570
1.07624e-008,0.4200
1.08010e-008,0.3899
1.08396e-008,0.3693
1.08781e-008,0.3820
1.09167e-008,0.4379
1.09553e-008,0.5276
1.09939e-008,0.6447
1.10324e-008,0.7639
1.10710e-008,0.8584
1.11096e-008,0.9250
1.11482e-008,0.9808
1.11868e-008,1.0287
1.12253e-008,1.0648
1.12639e-008,1.0908
1.13025e-008,1.1140
1.13410e-008,1.1319
1.13796e-008,1.1402
1.14182e-008,1.1450
1.14568e-008,1.1527
1.14953e-008,1.1617
1.15339e-008,1.1690
1.15725e-008,1.1741
1.16111e-008,1.1745
1.16497e-008,1.1717
1.16882e-008,1.1699
1.17268e-008,1.1711
1.17654e-008,1.1721
1.18039e-008,1.1725
1.18425e-008,1.1737
1.18811e-008,1.1758
1.19197e-008,1.1758
1.19583e-008,1.1743
1.19968e-008,1.1745
1.20354e-008,1.1764
1.20740e-008,1.1773
1.21126e-008,1.1770
1.21511e-008,1.1766
1.21897e-008,1.1763
1.22283e-008,1.1762
1.22668e-008,1.1765
1.23054e-008,1.1768
1.23440e-008,1.1769
1.23826e-008,1.1770
1.24212e-008,1.1774
1.24597e-008,1.1773
1.24983e-008,1.1767
1.25369e-008,1.1766
1.25755e-008,1.1772
1.26140e-008,1.1775
1.26526e-008,1.1772
1.26912e-008,1.1770
1.27297e-008,1.1771
1.27683e-008,1.1772
1.28069e-008,1.1772
1.28455e-008,1.1772
1.28841e-008,1.1773
1.29226e-008,1.1773
1.29612e-008,1.1774
1.29998e-008,1.1773
1.30383e-008,1.1772
1.30769e-008,1.1772
