.HEADER
..NAMES
Time,V U5.F3&G3
.DATA
0.0e+000,-0.8545
3.86e-011,-0.8545
7.72e-011,-0.8545
1.157e-010,-0.8545
1.543e-010,-0.8545
1.929e-010,-0.8545
2.314e-010,-0.8545
2.700e-010,-0.8545
3.086e-010,-0.8545
3.472e-010,-0.8545
3.857e-010,-0.8545
4.243e-010,-0.8545
4.629e-010,-0.8545
5.015e-010,-0.8545
5.401e-010,-0.8545
5.786e-010,-0.8545
6.172e-010,-0.8545
6.558e-010,-0.8545
6.944e-010,-0.8544
7.329e-010,-0.8541
7.715e-010,-0.8490
8.101e-010,-0.8250
8.486e-010,-0.7587
8.872e-010,-0.6289
9.258e-010,-0.4382
9.644e-010,-0.2217
1.0029e-009,-0.0054
1.0415e-009,0.2011
1.0801e-009,0.3852
1.1187e-009,0.5330
1.1572e-009,0.6368
1.1958e-009,0.7179
1.2344e-009,0.7759
1.2730e-009,0.7875
1.3115e-009,0.7510
1.3501e-009,0.6502
1.3887e-009,0.4817
1.4273e-009,0.2698
1.4658e-009,0.0435
1.5044e-009,-0.1712
1.5430e-009,-0.3642
1.5816e-009,-0.5222
1.6202e-009,-0.6342
1.6587e-009,-0.7173
1.6973e-009,-0.7777
1.7359e-009,-0.7943
1.7745e-009,-0.7650
1.8130e-009,-0.6764
1.8516e-009,-0.5195
1.8902e-009,-0.3138
1.9288e-009,-0.0894
1.9673e-009,0.1281
2.0059e-009,0.3256
2.0445e-009,0.4927
2.0830e-009,0.6157
2.1216e-009,0.7037
2.1602e-009,0.7727
2.1988e-009,0.7988
2.2374e-009,0.7790
2.2759e-009,0.7006
2.3145e-009,0.5516
2.3531e-009,0.3493
2.3916e-009,0.1237
2.4302e-009,-0.0972
2.4688e-009,-0.2990
2.5074e-009,-0.4717
2.5459e-009,-0.6006
2.5845e-009,-0.6913
2.6231e-009,-0.7628
2.6617e-009,-0.7939
2.7003e-009,-0.7806
2.7388e-009,-0.7129
2.7774e-009,-0.5764
2.8160e-009,-0.3822
2.8545e-009,-0.1608
