.HEADER
..NAMES
Time,V U2.K9
.DATA
0.0e+000,1.0864
3.67e-011,1.0864
7.33e-011,1.0864
1.100e-010,1.0864
1.467e-010,1.0864
1.834e-010,1.0864
2.201e-010,1.0864
2.567e-010,1.0864
2.934e-010,1.0864
3.301e-010,1.0864
3.667e-010,1.0864
4.034e-010,1.0864
4.401e-010,1.0864
4.768e-010,1.0864
5.135e-010,1.0864
5.501e-010,1.0864
5.868e-010,1.0864
6.235e-010,1.0864
6.601e-010,1.0864
6.968e-010,1.0864
7.335e-010,1.0864
7.702e-010,1.0864
8.068e-010,1.0867
8.435e-010,1.0872
8.802e-010,1.0878
9.169e-010,1.0874
9.536e-010,1.0836
9.902e-010,1.0727
1.0269e-009,1.0510
1.0636e-009,1.0158
1.1003e-009,0.9645
1.1369e-009,0.8956
1.1736e-009,0.8112
1.2103e-009,0.7185
1.2469e-009,0.6262
1.2836e-009,0.5420
1.3203e-009,0.4717
1.3570e-009,0.4203
1.3936e-009,0.3901
1.4303e-009,0.3788
1.4670e-009,0.3798
1.5037e-009,0.3857
1.5403e-009,0.3905
1.5770e-009,0.3909
1.6137e-009,0.3858
1.6504e-009,0.3760
1.6871e-009,0.3638
1.7237e-009,0.3524
1.7604e-009,0.3444
1.7971e-009,0.3410
1.8338e-009,0.3416
1.8704e-009,0.3438
1.9071e-009,0.3455
1.9438e-009,0.3450
1.9805e-009,0.3419
2.0171e-009,0.3372
2.0538e-009,0.3324
2.0905e-009,0.3290
2.1272e-009,0.3277
2.1638e-009,0.3286
2.2005e-009,0.3311
2.2372e-009,0.3339
2.2738e-009,0.3356
2.3105e-009,0.3348
2.3472e-009,0.3314
2.3839e-009,0.3263
2.4205e-009,0.3212
2.4572e-009,0.3175
2.4939e-009,0.3160
2.5306e-009,0.3166
2.5672e-009,0.3187
2.6039e-009,0.3214
2.6406e-009,0.3237
2.6773e-009,0.3251
2.7139e-009,0.3257
2.7506e-009,0.3274
2.7873e-009,0.3338
2.8240e-009,0.3495
