.HEADER
..NAMES
Time,V U5.C7&B7
.DATA
0.0e+000,0.3221
3.86e-011,0.3221
7.72e-011,0.3221
1.157e-010,0.3221
1.543e-010,0.3221
1.929e-010,0.3221
2.314e-010,0.3221
2.700e-010,0.3221
3.086e-010,0.3221
3.472e-010,0.3221
3.857e-010,0.3221
4.243e-010,0.3221
4.629e-010,0.3221
5.015e-010,0.3221
5.401e-010,0.3221
5.786e-010,0.3221
6.172e-010,0.3221
6.558e-010,0.3221
6.944e-010,0.3229
7.329e-010,0.3277
7.715e-010,0.3431
8.101e-010,0.3801
8.486e-010,0.4479
8.872e-010,0.5460
9.258e-010,0.6599
9.644e-010,0.7679
1.0029e-009,0.8607
1.0415e-009,0.9385
1.0801e-009,1.0030
1.1187e-009,1.0535
1.1572e-009,1.0949
1.1958e-009,1.1297
1.2344e-009,1.1523
1.2730e-009,1.1584
1.3115e-009,1.1349
1.3501e-009,1.0671
1.3887e-009,0.9655
1.4273e-009,0.8472
1.4658e-009,0.7231
1.5044e-009,0.6102
1.5430e-009,0.5169
1.5816e-009,0.4452
1.6202e-009,0.3987
1.6587e-009,0.3715
1.6973e-009,0.3617
1.7359e-009,0.3778
1.7745e-009,0.4288
1.8130e-009,0.5179
1.8516e-009,0.6337
1.8902e-009,0.7499
1.9288e-009,0.8504
1.9673e-009,0.9336
2.0059e-009,1.0014
2.0445e-009,1.0546
2.0830e-009,1.0950
2.1216e-009,1.1284
2.1602e-009,1.1522
2.1988e-009,1.1630
2.2374e-009,1.1506
2.2759e-009,1.0966
2.3145e-009,1.0022
2.3531e-009,0.8869
2.3916e-009,0.7625
2.4302e-009,0.6445
2.4688e-009,0.5444
2.5074e-009,0.4645
2.5459e-009,0.4097
2.5845e-009,0.3770
2.6231e-009,0.3620
2.6617e-009,0.3693
2.7003e-009,0.4088
2.7388e-009,0.4863
2.7774e-009,0.5963
2.8160e-009,0.7151
2.8545e-009,0.8210
2.8931e-009,0.9092
2.9317e-009,0.9815
2.9703e-009,1.0395
3.0089e-009,1.0833
3.0474e-009,1.1191
3.0860e-009,1.1462
3.1246e-009,1.1615
3.1631e-009,1.1584
3.2017e-009,1.1189
3.2403e-009,1.0352
3.2789e-009,0.9247
3.3175e-009,0.8017
3.3560e-009,0.6800
3.3946e-009,0.5739
3.4332e-009,0.4874
3.4717e-009,0.4244
3.5103e-009,0.3859
3.5489e-009,0.3654
3.5875e-009,0.3643
3.6260e-009,0.3927
3.6646e-009,0.4578
3.7032e-009,0.5592
3.7418e-009,0.6784
3.7803e-009,0.7893
3.8189e-009,0.8830
3.8575e-009,0.9601
3.8961e-009,1.0227
3.9346e-009,1.0708
3.9732e-009,1.1088
4.0118e-009,1.1389
4.0504e-009,1.1583
4.0890e-009,1.1623
4.1275e-009,1.1365
4.1661e-009,1.0656
4.2047e-009,0.9616
4.2433e-009,0.8413
4.2818e-009,0.7173
4.3204e-009,0.6053
4.3590e-009,0.5126
4.3975e-009,0.4414
4.4361e-009,0.3960
4.4747e-009,0.3700
4.5133e-009,0.3618
4.5519e-009,0.3799
4.5904e-009,0.4329
4.6290e-009,0.5239
4.6676e-009,0.6405
4.7062e-009,0.7559
4.7447e-009,0.8552
4.7833e-009,0.9374
4.8219e-009,1.0045
4.8604e-009,1.0571
4.8990e-009,1.0975
4.9376e-009,1.1307
4.9762e-009,1.1537
5.0147e-009,1.1634
5.0533e-009,1.1493
5.0919e-009,1.0927
5.1305e-009,0.9968
5.1691e-009,0.8806
5.2076e-009,0.7559
5.2462e-009,0.6387
