.HEADER
..NAMES
Time,V U2.A3
.DATA
9.4895e-009,0.4006
9.5280e-009,0.4837
9.5666e-009,0.5984
9.6052e-009,0.7212
9.6437e-009,0.8235
9.6823e-009,0.8978
9.7209e-009,0.9572
9.7595e-009,1.0086
9.7981e-009,1.0510
9.8366e-009,1.0930
9.8752e-009,1.1354
9.9138e-009,1.1619
9.9524e-009,1.1586
9.9909e-009,1.1215
1.00295e-008,1.0361
1.00681e-008,0.9174
1.01066e-008,0.7966
1.01452e-008,0.6863
1.01838e-008,0.5855
1.02224e-008,0.5068
1.02610e-008,0.4520
1.02995e-008,0.4096
1.03381e-008,0.3777
1.03767e-008,0.3672
1.04152e-008,0.3856
1.04538e-008,0.4391
1.04924e-008,0.5349
1.05310e-008,0.6556
1.05695e-008,0.7692
1.06081e-008,0.8599
1.06467e-008,0.9338
1.06853e-008,0.9929
1.07239e-008,1.0391
1.07624e-008,1.0763
1.08010e-008,1.1043
1.08396e-008,1.1224
1.08781e-008,1.1366
1.09167e-008,1.1483
1.09553e-008,1.1556
1.09939e-008,1.1616
1.10324e-008,1.1691
1.10710e-008,1.1741
1.11096e-008,1.1745
1.11482e-008,1.1730
1.11868e-008,1.1717
1.12253e-008,1.1714
1.12639e-008,1.1727
1.13025e-008,1.1744
1.13410e-008,1.1749
1.13796e-008,1.1752
1.14182e-008,1.1761
1.14568e-008,1.1765
1.14953e-008,1.1764
1.15339e-008,1.1768
1.15725e-008,1.1776
1.16111e-008,1.1779
1.16497e-008,1.1776
1.16882e-008,1.1775
1.17268e-008,1.1774
1.17654e-008,1.1777
1.18039e-008,1.1782
1.18425e-008,1.1783
1.18811e-008,1.1780
1.19197e-008,1.1779
1.19583e-008,1.1781
1.19968e-008,1.1780
1.20354e-008,1.1779
1.20740e-008,1.1780
1.21126e-008,1.1781
1.21511e-008,1.1781
1.21897e-008,1.1781
1.22283e-008,1.1780
1.22668e-008,1.1780
1.23054e-008,1.1781
1.23440e-008,1.1781
1.23826e-008,1.1781
1.24212e-008,1.1780
1.24597e-008,1.1780
1.24983e-008,1.1781
1.25369e-008,1.1781
1.25755e-008,1.1781
1.26140e-008,1.1781
1.26526e-008,1.1781
1.26912e-008,1.1781
1.27297e-008,1.1781
1.27683e-008,1.1781
1.28069e-008,1.1781
1.28455e-008,1.1781
1.28841e-008,1.1781
1.29226e-008,1.1781
1.29612e-008,1.1781
1.29998e-008,1.1781
1.30383e-008,1.1781
1.30769e-008,1.1781
1.31155e-008,1.1789
1.31541e-008,1.1817
1.31926e-008,1.1835
1.32312e-008,1.1728
1.32698e-008,1.1309
1.33084e-008,1.0450
1.33470e-008,0.9280
1.33855e-008,0.8069
1.34241e-008,0.6964
1.34627e-008,0.5992
1.35012e-008,0.5201
1.35398e-008,0.4613
1.35784e-008,0.4204
1.36170e-008,0.3919
1.36555e-008,0.3706
1.36941e-008,0.3528
1.37327e-008,0.3408
1.37713e-008,0.3342
1.38099e-008,0.3283
1.38484e-008,0.3214
1.38870e-008,0.3169
1.39256e-008,0.3168
1.39641e-008,0.3193
1.40027e-008,0.3219
1.40413e-008,0.3234
1.40799e-008,0.3242
1.41185e-008,0.3248
1.41570e-008,0.3249
1.41956e-008,0.3240
1.42342e-008,0.3227
1.42728e-008,0.3223
1.43113e-008,0.3227
1.43499e-008,0.3226
1.43885e-008,0.3218
1.44270e-008,0.3213
1.44656e-008,0.3216
1.45042e-008,0.3219
1.45428e-008,0.3218
1.45814e-008,0.3213
1.46199e-008,0.3210
1.46585e-008,0.3210
1.46971e-008,0.3211
1.47357e-008,0.3210
1.47742e-008,0.3208
1.48128e-008,0.3210
1.48514e-008,0.3212
1.48899e-008,0.3211
1.49285e-008,0.3210
1.49671e-008,0.3210
1.50057e-008,0.3226
1.50443e-008,0.3299
1.50828e-008,0.3521
1.51214e-008,0.4028
1.51600e-008,0.4904
1.51985e-008,0.6082
1.52371e-008,0.7296
1.52757e-008,0.8288
1.53143e-008,0.9019
1.53528e-008,0.9611
1.53914e-008,1.0118
1.54300e-008,1.0534
1.54686e-008,1.0851
1.55071e-008,1.1084
1.55457e-008,1.1255
1.55843e-008,1.1393
1.56229e-008,1.1495
1.56615e-008,1.1565
1.57000e-008,1.1634
1.57386e-008,1.1704
1.57772e-008,1.1738
1.58158e-008,1.1727
1.58543e-008,1.1705
1.58929e-008,1.1701
1.59315e-008,1.1718
1.59701e-008,1.1738
1.60086e-008,1.1749
1.60472e-008,1.1751
1.60858e-008,1.1756
1.61243e-008,1.1763
1.61629e-008,1.1765
1.62015e-008,1.1764
1.62401e-008,1.1770
1.62786e-008,1.1778
1.63172e-008,1.1779
1.63558e-008,1.1775
1.63944e-008,1.1773
1.64329e-008,1.1775
1.64715e-008,1.1780
1.65101e-008,1.1783
1.65487e-008,1.1782
1.65873e-008,1.1779
1.66258e-008,1.1779
1.66644e-008,1.1780
1.67030e-008,1.1780
1.67416e-008,1.1779
1.67801e-008,1.1780
1.68187e-008,1.1781
1.68573e-008,1.1781
1.68959e-008,1.1780
1.69344e-008,1.1779
1.69730e-008,1.1780
1.70116e-008,1.1781
1.70501e-008,1.1781
1.70887e-008,1.1780
1.71273e-008,1.1780
1.71659e-008,1.1780
1.72044e-008,1.1781
1.72430e-008,1.1781
1.72816e-008,1.1781
1.73202e-008,1.1781
1.73588e-008,1.1781
1.73973e-008,1.1781
1.74359e-008,1.1781
1.74745e-008,1.1780
1.75131e-008,1.1781
1.75516e-008,1.1781
1.75902e-008,1.1781
1.76288e-008,1.1781
1.76674e-008,1.1781
1.77059e-008,1.1781
1.77445e-008,1.1781
1.77831e-008,1.1781
1.78216e-008,1.1781
1.78602e-008,1.1781
1.78988e-008,1.1781
1.79374e-008,1.1781
1.79759e-008,1.1781
1.80145e-008,1.1781
1.80531e-008,1.1781
1.80917e-008,1.1781
1.81302e-008,1.1781
1.81688e-008,1.1781
1.82074e-008,1.1781
1.82460e-008,1.1782
1.82846e-008,1.1795
1.83231e-008,1.1826
1.83617e-008,1.1826
1.84003e-008,1.1657
1.84389e-008,1.1127
