.HEADER
..NAMES
Time,V U4.A2
.DATA
0.0e+000,0.3198
3.86e-011,0.3198
7.72e-011,0.3198
1.157e-010,0.3198
1.543e-010,0.3198
1.929e-010,0.3198
2.314e-010,0.3198
2.700e-010,0.3198
3.086e-010,0.3198
3.472e-010,0.3198
3.857e-010,0.3198
4.243e-010,0.3201
4.629e-010,0.3247
5.015e-010,0.3413
5.401e-010,0.3842
5.786e-010,0.4675
6.172e-010,0.5849
6.558e-010,0.7135
6.944e-010,0.8154
7.329e-010,0.8852
7.715e-010,0.9465
8.101e-010,1.0008
8.486e-010,1.0456
8.872e-010,1.0820
9.258e-010,1.1321
9.644e-010,1.1618
1.0029e-009,1.1545
1.0415e-009,1.1314
1.0801e-009,1.0588
1.1187e-009,0.9376
1.1572e-009,0.8088
1.1958e-009,0.6924
1.2344e-009,0.5942
1.2730e-009,0.5174
1.3115e-009,0.4606
1.3501e-009,0.4233
1.3887e-009,0.3987
1.4273e-009,0.3749
1.4658e-009,0.3565
1.5044e-009,0.3465
1.5430e-009,0.3339
1.5816e-009,0.3213
1.6202e-009,0.3164
1.6587e-009,0.3167
1.6973e-009,0.3185
1.7359e-009,0.3206
1.7745e-009,0.3226
1.8130e-009,0.3245
1.8516e-009,0.3256
1.8902e-009,0.3327
1.9288e-009,0.3611
1.9673e-009,0.4253
2.0059e-009,0.5272
2.0445e-009,0.6540
2.0830e-009,0.7743
2.1216e-009,0.8571
2.1602e-009,0.9203
2.1988e-009,0.9776
2.2374e-009,1.0268
2.2759e-009,1.0654
2.3145e-009,1.0927
2.3531e-009,1.1112
2.3916e-009,1.1250
2.4302e-009,1.1383
2.4688e-009,1.1529
2.5074e-009,1.1660
2.5459e-009,1.1712
2.5845e-009,1.1683
2.6231e-009,1.1666
2.6617e-009,1.1684
2.7003e-009,1.1711
2.7388e-009,1.1733
2.7774e-009,1.1745
2.8160e-009,1.1746
2.8545e-009,1.1745
2.8931e-009,1.1753
2.9317e-009,1.1773
2.9703e-009,1.1787
3.0089e-009,1.1781
3.0474e-009,1.1768
3.0860e-009,1.1771
3.1246e-009,1.1780
3.1631e-009,1.1786
3.2017e-009,1.1790
3.2403e-009,1.1796
3.2789e-009,1.1833
3.3175e-009,1.1858
3.3560e-009,1.1726
3.3946e-009,1.1228
3.4332e-009,1.0209
3.4717e-009,0.8938
3.5103e-009,0.7791
3.5489e-009,0.6742
3.5875e-009,0.5808
3.6260e-009,0.5070
3.6646e-009,0.4536
3.7032e-009,0.4145
3.7418e-009,0.3779
3.7803e-009,0.3691
3.8189e-009,0.3964
3.8575e-009,0.4506
3.8961e-009,0.5418
3.9346e-009,0.6673
3.9732e-009,0.7863
4.0118e-009,0.8697
4.0504e-009,0.9371
4.0890e-009,0.9957
4.1275e-009,1.0430
4.1661e-009,1.0768
4.2047e-009,1.1000
4.2433e-009,1.1195
4.2818e-009,1.1338
4.3204e-009,1.1437
4.3590e-009,1.1560
4.3975e-009,1.1690
4.4361e-009,1.1732
4.4747e-009,1.1701
4.5133e-009,1.1691
4.5519e-009,1.1707
4.5904e-009,1.1722
4.6290e-009,1.1733
4.6676e-009,1.1780
4.7062e-009,1.1853
4.7447e-009,1.1808
4.7833e-009,1.1505
4.8219e-009,1.0745
4.8604e-009,0.9545
4.8990e-009,0.8308
4.9376e-009,0.7209
4.9762e-009,0.6213
5.0147e-009,0.5388
5.0533e-009,0.4762
5.0919e-009,0.4321
5.1305e-009,0.4019
5.1691e-009,0.3799
5.2076e-009,0.3641
5.2462e-009,0.3513
5.2848e-009,0.3364
5.3234e-009,0.3231
5.3619e-009,0.3184
5.4005e-009,0.3189
5.4391e-009,0.3197
5.4776e-009,0.3210
5.5162e-009,0.3225
5.5548e-009,0.3235
5.5934e-009,0.3237
5.6320e-009,0.3236
5.6705e-009,0.3236
5.7091e-009,0.3229
5.7477e-009,0.3211
5.7863e-009,0.3202
5.8248e-009,0.3210
5.8634e-009,0.3218
5.9020e-009,0.3215
5.9405e-009,0.3210
5.9791e-009,0.3209
6.0177e-009,0.3205
6.0563e-009,0.3202
6.0948e-009,0.3202
6.1334e-009,0.3203
6.1720e-009,0.3201
6.2106e-009,0.3198
6.2492e-009,0.3199
6.2877e-009,0.3202
6.3263e-009,0.3203
6.3649e-009,0.3201
6.4035e-009,0.3200
6.4420e-009,0.3200
6.4806e-009,0.3199
6.5192e-009,0.3202
6.5577e-009,0.3245
6.5963e-009,0.3401
6.6349e-009,0.3810
6.6735e-009,0.4618
6.7121e-009,0.5777
6.7506e-009,0.7067
6.7892e-009,0.8108
6.8278e-009,0.8816
6.8664e-009,0.9432
6.9049e-009,0.9981
6.9435e-009,1.0434
6.9821e-009,1.0776
7.0206e-009,1.1016
7.0592e-009,1.1175
7.0978e-009,1.1300
7.1364e-009,1.1442
7.1749e-009,1.1591
7.2135e-009,1.1693
7.2521e-009,1.1700
7.2907e-009,1.1669
7.3293e-009,1.1671
7.3678e-009,1.1695
7.4064e-009,1.1720
7.4450e-009,1.1740
7.4835e-009,1.1748
7.5221e-009,1.1744
7.5607e-009,1.1745
7.5993e-009,1.1760
7.6379e-009,1.1781
7.6764e-009,1.1786
7.7150e-009,1.1773
7.7536e-009,1.1767
7.7922e-009,1.1775
7.8307e-009,1.1782
7.8693e-009,1.1788
7.9079e-009,1.1791
7.9464e-009,1.1789
7.9850e-009,1.1784
8.0236e-009,1.1783
8.0622e-009,1.1788
8.1008e-009,1.1792
8.1393e-009,1.1790
8.1779e-009,1.1786
8.2165e-009,1.1786
8.2550e-009,1.1788
8.2936e-009,1.1789
8.3322e-009,1.1790
8.3708e-009,1.1790
8.4093e-009,1.1802
8.4479e-009,1.1848
8.4865e-009,1.1850
8.5251e-009,1.1645
8.5637e-009,1.1010
8.6022e-009,0.9881
8.6408e-009,0.8627
8.6794e-009,0.7516
8.7179e-009,0.6484
8.7565e-009,0.5596
8.7951e-009,0.4912
8.8337e-009,0.4425
8.8722e-009,0.4053
8.9108e-009,0.3727
8.9494e-009,0.3735
8.9880e-009,0.4076
9.0266e-009,0.4706
9.0651e-009,0.5720
9.1037e-009,0.7013
9.1423e-009,0.8112
9.1808e-009,0.8880
9.2194e-009,0.9533
9.2580e-009,1.0092
9.2966e-009,1.0531
9.3352e-009,1.0893
9.3737e-009,1.1392
9.4123e-009,1.1644
9.4509e-009,1.1563
9.4895e-009,1.1242
9.5280e-009,1.0425
9.5666e-009,0.9223
9.6052e-009,0.7970
9.6437e-009,0.6803
9.6823e-009,0.5830
9.7209e-009,0.5082
9.7595e-009,0.4538
9.7981e-009,0.4175
9.8366e-009,0.3846
9.8752e-009,0.3684
9.9138e-009,0.3891
9.9524e-009,0.4433
9.9909e-009,0.5346
1.00295e-008,0.6573
1.00681e-008,0.7754
1.01066e-008,0.8613
1.01452e-008,0.9317
1.01838e-008,0.9920
1.02224e-008,1.0405
1.02610e-008,1.0763
1.02995e-008,1.0998
1.03381e-008,1.1172
1.03767e-008,1.1316
1.04152e-008,1.1432
1.04538e-008,1.1559
1.04924e-008,1.1682
1.05310e-008,1.1727
1.05695e-008,1.1702
1.06081e-008,1.1693
1.06467e-008,1.1706
1.06853e-008,1.1722
1.07239e-008,1.1736
