.HEADER
..NAMES
Time,V U5.N2
.DATA
9.0220e-009,0.3354
9.0587e-009,0.3525
9.0954e-009,0.3904
9.1321e-009,0.4548
9.1688e-009,0.5432
9.2054e-009,0.6438
9.2421e-009,0.7408
9.2788e-009,0.8226
9.3154e-009,0.8814
9.3521e-009,0.9148
9.3888e-009,0.9280
9.4255e-009,0.9317
9.4622e-009,0.9357
9.4988e-009,0.9444
9.5355e-009,0.9570
9.5722e-009,0.9704
9.6088e-009,0.9811
9.6455e-009,0.9868
9.6822e-009,0.9877
9.7189e-009,0.9854
9.7556e-009,0.9822
9.7922e-009,0.9804
9.8289e-009,0.9811
9.8656e-009,0.9845
9.9022e-009,0.9907
9.9389e-009,0.9985
9.9756e-009,1.0065
1.00123e-008,1.0127
1.00490e-008,1.0164
1.00856e-008,1.0188
1.01223e-008,1.0225
1.01590e-008,1.0294
1.01956e-008,1.0409
1.02323e-008,1.0567
1.02690e-008,1.0745
1.03057e-008,1.0905
1.03424e-008,1.1011
1.03790e-008,1.1045
1.04157e-008,1.1016
1.04524e-008,1.0950
1.04890e-008,1.0887
1.05257e-008,1.0861
1.05624e-008,1.0884
1.05991e-008,1.0945
1.06358e-008,1.1018
1.06724e-008,1.1077
1.07091e-008,1.1107
1.07458e-008,1.1103
1.07824e-008,1.1074
1.08191e-008,1.1035
1.08558e-008,1.1005
1.08925e-008,1.0995
1.09292e-008,1.0982
1.09658e-008,1.0892
1.10025e-008,1.0601
1.10392e-008,1.0002
1.10758e-008,0.9109
1.11125e-008,0.8035
1.11492e-008,0.6919
1.11859e-008,0.5914
1.12226e-008,0.5170
1.12592e-008,0.4756
1.12959e-008,0.4627
1.13326e-008,0.4669
1.13693e-008,0.4754
1.14059e-008,0.4786
1.14426e-008,0.4727
1.14793e-008,0.4598
1.15159e-008,0.4448
1.15526e-008,0.4325
1.15893e-008,0.4261
1.16260e-008,0.4260
1.16627e-008,0.4301
1.16993e-008,0.4355
1.17360e-008,0.4391
1.17727e-008,0.4389
1.18093e-008,0.4353
1.18460e-008,0.4336
1.18827e-008,0.4446
1.19194e-008,0.4824
1.19561e-008,0.5547
1.19927e-008,0.6554
1.20294e-008,0.7646
1.20661e-008,0.8612
1.21027e-008,0.9308
1.21394e-008,0.9660
1.21761e-008,0.9681
1.22128e-008,0.9497
1.22495e-008,0.9285
1.22861e-008,0.9187
1.23228e-008,0.9255
1.23595e-008,0.9453
1.23961e-008,0.9687
1.24328e-008,0.9867
1.24695e-008,0.9944
1.25062e-008,0.9919
1.25429e-008,0.9825
1.25795e-008,0.9715
1.26162e-008,0.9636
1.26529e-008,0.9618
1.26895e-008,0.9673
1.27262e-008,0.9791
1.27629e-008,0.9947
1.27996e-008,1.0105
1.28363e-008,1.0230
1.28729e-008,1.0308
1.29096e-008,1.0347
1.29463e-008,1.0372
1.29829e-008,1.0422
1.30196e-008,1.0524
1.30563e-008,1.0677
1.30930e-008,1.0852
1.31297e-008,1.1009
1.31663e-008,1.1111
1.32030e-008,1.1133
1.32397e-008,1.1076
1.32763e-008,1.0966
1.33130e-008,1.0859
1.33497e-008,1.0803
1.33864e-008,1.0819
