.HEADER
..NAMES
Time,V U2.B8
.DATA
9.4895e-009,0.4135
9.5280e-009,0.4972
9.5666e-009,0.6142
9.6052e-009,0.7365
9.6437e-009,0.8385
9.6823e-009,0.9143
9.7209e-009,0.9711
9.7595e-009,1.0163
9.7981e-009,1.0554
9.8366e-009,1.0881
9.8752e-009,1.1131
9.9138e-009,1.1315
9.9524e-009,1.1436
9.9909e-009,1.1498
1.00295e-008,1.1550
1.00681e-008,1.1622
1.01066e-008,1.1697
1.01452e-008,1.1746
1.01838e-008,1.1752
1.02224e-008,1.1728
1.02610e-008,1.1711
1.02995e-008,1.1714
1.03381e-008,1.1728
1.03767e-008,1.1744
1.04152e-008,1.1760
1.04538e-008,1.1771
1.04924e-008,1.1770
1.05310e-008,1.1763
1.05695e-008,1.1760
1.06081e-008,1.1768
1.06467e-008,1.1780
1.06853e-008,1.1785
1.07239e-008,1.1781
1.07624e-008,1.1784
1.08010e-008,1.1813
1.08396e-008,1.1836
1.08781e-008,1.1731
1.09167e-008,1.1296
1.09553e-008,1.0386
1.09939e-008,0.9134
1.10324e-008,0.7847
1.10710e-008,0.6707
1.11096e-008,0.5776
1.11482e-008,0.5069
1.11868e-008,0.4559
1.12253e-008,0.4203
1.12639e-008,0.3949
1.13025e-008,0.3719
1.13410e-008,0.3519
1.13796e-008,0.3400
1.14182e-008,0.3346
1.14568e-008,0.3297
1.14953e-008,0.3236
1.15339e-008,0.3182
1.15725e-008,0.3163
1.16111e-008,0.3181
1.16497e-008,0.3206
1.16882e-008,0.3221
1.17268e-008,0.3258
1.17654e-008,0.3380
1.18039e-008,0.3693
1.18425e-008,0.4334
1.18811e-008,0.5367
1.19197e-008,0.6662
1.19583e-008,0.7884
1.19968e-008,0.8777
1.20354e-008,0.9376
1.20740e-008,0.9836
1.21126e-008,1.0248
1.21511e-008,1.0641
1.21897e-008,1.1105
1.22283e-008,1.1523
1.22668e-008,1.1698
1.23054e-008,1.1519
1.23440e-008,1.0864
1.23826e-008,0.9738
1.24212e-008,0.8476
1.24597e-008,0.7295
1.24983e-008,0.6230
1.25369e-008,0.5375
1.25755e-008,0.4761
1.26140e-008,0.4308
1.26526e-008,0.3959
1.26912e-008,0.3731
1.27297e-008,0.3717
1.27683e-008,0.4071
1.28069e-008,0.4863
1.28455e-008,0.6008
1.28841e-008,0.7239
1.29226e-008,0.8288
1.29612e-008,0.9072
1.29998e-008,0.9657
1.30383e-008,1.0119
1.30769e-008,1.0518
1.31155e-008,1.0960
1.31541e-008,1.1409
1.31926e-008,1.1674
1.32312e-008,1.1625
1.32698e-008,1.1150
1.33084e-008,1.0177
1.33470e-008,0.8927
1.33855e-008,0.7692
1.34241e-008,0.6563
1.34627e-008,0.5629
1.35012e-008,0.4948
1.35398e-008,0.4455
1.35784e-008,0.4106
1.36170e-008,0.3874
1.36555e-008,0.3670
1.36941e-008,0.3498
1.37327e-008,0.3400
1.37713e-008,0.3331
1.38099e-008,0.3258
1.38484e-008,0.3203
1.38870e-008,0.3169
1.39256e-008,0.3161
1.39641e-008,0.3183
1.40027e-008,0.3208
1.40413e-008,0.3224
1.40799e-008,0.3272
1.41185e-008,0.3423
1.41570e-008,0.3794
1.41956e-008,0.4521
1.42342e-008,0.5632
1.42728e-008,0.6936
1.43113e-008,0.8095
1.43499e-008,0.8916
1.43885e-008,0.9479
1.44270e-008,0.9927
1.44656e-008,1.0333
1.45042e-008,1.0693
1.45428e-008,1.0981
1.45814e-008,1.1196
1.46199e-008,1.1361
1.46585e-008,1.1460
1.46971e-008,1.1505
1.47357e-008,1.1557
1.47742e-008,1.1642
1.48128e-008,1.1721
1.48514e-008,1.1753
1.48899e-008,1.1733
1.49285e-008,1.1702
1.49671e-008,1.1703
1.50057e-008,1.1755
1.50443e-008,1.1818
