.HEADER
..NAMES
Time,V U5.R8
.DATA
0.0e+000,0.3289
3.67e-011,0.3289
7.33e-011,0.3289
1.100e-010,0.3289
1.467e-010,0.3289
1.834e-010,0.3289
2.201e-010,0.3289
2.567e-010,0.3289
2.934e-010,0.3289
3.301e-010,0.3289
3.667e-010,0.3289
4.034e-010,0.3289
4.401e-010,0.3289
4.768e-010,0.3289
5.135e-010,0.3292
5.501e-010,0.3313
5.868e-010,0.3394
6.235e-010,0.3612
6.601e-010,0.4062
6.968e-010,0.4772
7.335e-010,0.5692
7.702e-010,0.6673
8.068e-010,0.7576
8.435e-010,0.8320
8.802e-010,0.8853
9.169e-010,0.9154
9.536e-010,0.9272
9.902e-010,0.9302
1.0269e-009,0.9332
1.0636e-009,0.9407
1.1003e-009,0.9526
1.1369e-009,0.9653
1.1736e-009,0.9749
1.2103e-009,0.9797
1.2469e-009,0.9805
1.2836e-009,0.9793
1.3203e-009,0.9782
1.3570e-009,0.9785
1.3936e-009,0.9807
1.4303e-009,0.9849
1.4670e-009,0.9914
1.5037e-009,0.9999
1.5403e-009,1.0089
1.5770e-009,1.0165
1.6137e-009,1.0213
1.6504e-009,1.0243
1.6871e-009,1.0273
1.7237e-009,1.0328
1.7604e-009,1.0427
1.7971e-009,1.0573
1.8338e-009,1.0740
1.8704e-009,1.0890
1.9071e-009,1.0995
1.9438e-009,1.1043
1.9805e-009,1.1037
2.0171e-009,1.0992
2.0538e-009,1.0935
2.0905e-009,1.0898
2.1272e-009,1.0899
2.1638e-009,1.0936
2.2005e-009,1.0990
2.2372e-009,1.1038
2.2738e-009,1.1066
2.3105e-009,1.1072
2.3472e-009,1.1062
2.3839e-009,1.1042
2.4205e-009,1.1025
2.4572e-009,1.1013
2.4939e-009,1.0971
2.5306e-009,1.0817
2.5672e-009,1.0422
2.6039e-009,0.9715
2.6406e-009,0.8768
2.6773e-009,0.7711
2.7139e-009,0.6664
2.7506e-009,0.5761
2.7873e-009,0.5124
2.8240e-009,0.4785
2.8606e-009,0.4692
2.8973e-009,0.4740
2.9340e-009,0.4815
2.9707e-009,0.4829
3.0073e-009,0.4760
3.0440e-009,0.4636
3.0807e-009,0.4507
3.1174e-009,0.4414
3.1540e-009,0.4375
3.1907e-009,0.4382
3.2274e-009,0.4410
3.2641e-009,0.4438
3.3007e-009,0.4446
3.3374e-009,0.4424
3.3741e-009,0.4387
3.4108e-009,0.4401
3.4475e-009,0.4596
3.4841e-009,0.5110
3.5208e-009,0.5962
3.5575e-009,0.7023
3.5942e-009,0.8061
3.6308e-009,0.8908
3.6675e-009,0.9465
3.7042e-009,0.9693
3.7408e-009,0.9627
3.7775e-009,0.9415
3.8142e-009,0.9217
3.8509e-009,0.9153
3.8875e-009,0.9254
3.9242e-009,0.9470
3.9609e-009,0.9698
3.9976e-009,0.9848
4.0342e-009,0.9887
4.0709e-009,0.9833
4.1076e-009,0.9739
4.1443e-009,0.9654
4.1809e-009,0.9611
4.2176e-009,0.9622
4.2543e-009,0.9688
4.2910e-009,0.9808
4.3276e-009,0.9963
4.3643e-009,1.0115
4.4010e-009,1.0225
4.4377e-009,1.0277
4.4743e-009,1.0291
4.5110e-009,1.0304
4.5477e-009,1.0359
4.5844e-009,1.0485
4.6211e-009,1.0671
4.6577e-009,1.0873
4.6944e-009,1.1036
4.7311e-009,1.1123
4.7678e-009,1.1125
4.8044e-009,1.1052
4.8411e-009,1.0939
4.8778e-009,1.0836
4.9145e-009,1.0789
4.9511e-009,1.0817
4.9878e-009,1.0901
5.0245e-009,1.1001
5.0612e-009,1.1076
5.0978e-009,1.1105
5.1345e-009,1.1091
5.1712e-009,1.1047
5.2079e-009,1.0988
5.2445e-009,1.0930
5.2812e-009,1.0888
5.3179e-009,1.0870
5.3546e-009,1.0879
5.3912e-009,1.0905
5.4279e-009,1.0933
5.4646e-009,1.0948
5.5013e-009,1.0946
5.5379e-009,1.0929
5.5746e-009,1.0905
5.6113e-009,1.0887
5.6480e-009,1.0883
5.6846e-009,1.0901
5.7213e-009,1.0936
5.7580e-009,1.0975
5.7947e-009,1.1003
5.8313e-009,1.1007
5.8680e-009,1.0988
5.9047e-009,1.0954
5.9414e-009,1.0919
5.9780e-009,1.0899
6.0147e-009,1.0899
6.0514e-009,1.0915
6.0881e-009,1.0939
6.1247e-009,1.0964
6.1614e-009,1.0984
6.1981e-009,1.1003
6.2348e-009,1.1001
6.2714e-009,1.0921
6.3081e-009,1.0660
6.3448e-009,1.0117
6.3815e-009,0.9299
6.4181e-009,0.8301
6.4548e-009,0.7240
6.4915e-009,0.6247
6.5282e-009,0.5460
6.5648e-009,0.4954
6.6015e-009,0.4715
6.6382e-009,0.4671
6.6749e-009,0.4718
6.7115e-009,0.4757
6.7482e-009,0.4733
6.7849e-009,0.4650
6.8215e-009,0.4543
6.8582e-009,0.4450
6.8949e-009,0.4395
6.9316e-009,0.4380
