.HEADER
..NAMES
Time,V U3.P2
.DATA
9.0220e-009,1.0327
9.0587e-009,1.0512
9.0954e-009,1.0629
9.1321e-009,1.0677
9.1688e-009,1.0671
9.2054e-009,1.0648
9.2421e-009,1.0641
9.2788e-009,1.0649
9.3154e-009,1.0622
9.3521e-009,1.0482
9.3888e-009,1.0169
9.4255e-009,0.9652
9.4622e-009,0.8915
9.4988e-009,0.7977
9.5355e-009,0.6942
9.5722e-009,0.5973
9.6088e-009,0.5204
9.6455e-009,0.4696
9.6822e-009,0.4458
9.7189e-009,0.4456
9.7556e-009,0.4604
9.7922e-009,0.4782
9.8289e-009,0.4878
9.8656e-009,0.4827
9.9022e-009,0.4622
9.9389e-009,0.4318
9.9756e-009,0.3997
1.00123e-008,0.3730
1.00490e-008,0.3557
1.00856e-008,0.3498
1.01223e-008,0.3537
1.01590e-008,0.3623
1.01956e-008,0.3690
1.02323e-008,0.3693
1.02690e-008,0.3626
1.03057e-008,0.3505
1.03424e-008,0.3363
1.03790e-008,0.3243
1.04157e-008,0.3182
1.04524e-008,0.3195
1.04890e-008,0.3265
1.05257e-008,0.3357
1.05624e-008,0.3429
1.05991e-008,0.3452
1.06358e-008,0.3416
1.06724e-008,0.3334
1.07091e-008,0.3232
1.07458e-008,0.3139
1.07824e-008,0.3085
1.08191e-008,0.3084
1.08558e-008,0.3127
1.08925e-008,0.3194
1.09292e-008,0.3254
1.09658e-008,0.3289
1.10025e-008,0.3287
1.10392e-008,0.3257
1.10758e-008,0.3223
1.11125e-008,0.3232
1.11492e-008,0.3342
1.11859e-008,0.3613
1.12226e-008,0.4075
1.12592e-008,0.4722
1.12959e-008,0.5518
1.13326e-008,0.6409
1.13693e-008,0.7312
1.14059e-008,0.8122
1.14426e-008,0.8745
1.14793e-008,0.9149
1.15159e-008,0.9360
1.15526e-008,0.9429
1.15893e-008,0.9414
1.16260e-008,0.9387
1.16627e-008,0.9415
1.16993e-008,0.9537
1.17360e-008,0.9749
1.17727e-008,1.0012
1.18093e-008,1.0268
1.18460e-008,1.0474
1.18827e-008,1.0607
1.19194e-008,1.0667
1.19561e-008,1.0667
1.19927e-008,1.0635
1.20294e-008,1.0607
1.20661e-008,1.0614
1.21027e-008,1.0664
1.21394e-008,1.0743
1.21761e-008,1.0828
1.22128e-008,1.0896
1.22495e-008,1.0928
1.22861e-008,1.0918
1.23228e-008,1.0876
1.23595e-008,1.0825
1.23961e-008,1.0793
1.24328e-008,1.0796
1.24695e-008,1.0837
1.25062e-008,1.0905
1.25429e-008,1.0981
1.25795e-008,1.1045
1.26162e-008,1.1079
1.26529e-008,1.1076
1.26895e-008,1.1041
1.27262e-008,1.0992
1.27629e-008,1.0948
1.27996e-008,1.0926
1.28363e-008,1.0930
1.28729e-008,1.0957
1.29096e-008,1.0995
1.29463e-008,1.1028
1.29829e-008,1.1044
1.30196e-008,1.1034
1.30563e-008,1.1000
1.30930e-008,1.0950
1.31297e-008,1.0900
1.31663e-008,1.0860
1.32030e-008,1.0840
1.32397e-008,1.0843
1.32763e-008,1.0863
1.33130e-008,1.0891
1.33497e-008,1.0916
1.33864e-008,1.0931
1.34231e-008,1.0932
1.34597e-008,1.0921
1.34964e-008,1.0905
1.35331e-008,1.0890
1.35697e-008,1.0881
1.36064e-008,1.0879
1.36431e-008,1.0883
1.36798e-008,1.0892
1.37165e-008,1.0900
1.37531e-008,1.0903
1.37898e-008,1.0901
1.38265e-008,1.0896
1.38631e-008,1.0894
1.38998e-008,1.0897
1.39365e-008,1.0903
1.39732e-008,1.0891
1.40099e-008,1.0819
1.40465e-008,1.0634
1.40832e-008,1.0293
1.41199e-008,0.9773
1.41565e-008,0.9067
1.41932e-008,0.8197
1.42299e-008,0.7241
1.42666e-008,0.6316
1.43033e-008,0.5526
1.43399e-008,0.4941
1.43766e-008,0.4590
1.44133e-008,0.4462
1.44499e-008,0.4494
1.44866e-008,0.4597
1.45233e-008,0.4679
1.45600e-008,0.4669
1.45967e-008,0.4540
1.46333e-008,0.4311
1.46700e-008,0.4033
1.47067e-008,0.3767
1.47433e-008,0.3560
1.47800e-008,0.3444
1.48167e-008,0.3420
1.48534e-008,0.3460
1.48901e-008,0.3518
1.49267e-008,0.3555
1.49634e-008,0.3548
1.50001e-008,0.3493
1.50368e-008,0.3407
1.50734e-008,0.3318
1.51101e-008,0.3259
1.51468e-008,0.3245
1.51834e-008,0.3277
1.52201e-008,0.3333
1.52568e-008,0.3387
1.52935e-008,0.3412
1.53301e-008,0.3395
1.53668e-008,0.3338
1.54035e-008,0.3257
1.54402e-008,0.3175
1.54769e-008,0.3118
1.55135e-008,0.3101
1.55502e-008,0.3124
1.55869e-008,0.3174
1.56236e-008,0.3229
1.56602e-008,0.3270
1.56969e-008,0.3283
1.57336e-008,0.3270
1.57703e-008,0.3252
1.58069e-008,0.3271
1.58436e-008,0.3388
1.58803e-008,0.3664
1.59169e-008,0.4131
1.59536e-008,0.4786
1.59903e-008,0.5595
1.60270e-008,0.6499
1.60636e-008,0.7411
1.61003e-008,0.8219
1.61370e-008,0.8830
1.61737e-008,0.9215
1.62104e-008,0.9403
1.62470e-008,0.9450
1.62837e-008,0.9419
1.63204e-008,0.9386
1.63571e-008,0.9420
1.63937e-008,0.9555
1.64304e-008,0.9780
1.64671e-008,1.0049
1.65037e-008,1.0306
1.65404e-008,1.0505
1.65771e-008,1.0628
1.66138e-008,1.0678
1.66504e-008,1.0671
1.66871e-008,1.0641
1.67238e-008,1.0627
1.67605e-008,1.0646
1.67972e-008,1.0667
1.68338e-008,1.0615
1.68705e-008,1.0410
1.69072e-008,1.0006
1.69439e-008,0.9383
1.69805e-008,0.8540
1.70172e-008,0.7532
1.70539e-008,0.6503
1.70905e-008,0.5615
1.71272e-008,0.4968
1.71639e-008,0.4591
1.72006e-008,0.4468
1.72372e-008,0.4543
1.72739e-008,0.4713
1.73106e-008,0.4856
1.73473e-008,0.4882
1.73840e-008,0.4751
1.74206e-008,0.4490
1.74573e-008,0.4170
1.74940e-008,0.3872
1.75307e-008,0.3649
1.75673e-008,0.3530
1.76040e-008,0.3518
1.76407e-008,0.3587
1.76773e-008,0.3689
1.77140e-008,0.3800
1.77507e-008,0.3944
1.77874e-008,0.4177
1.78240e-008,0.4553
1.78607e-008,0.5100
1.78974e-008,0.5830
1.79341e-008,0.6723
1.79708e-008,0.7686
1.80074e-008,0.8564
1.80441e-008,0.9227
1.80808e-008,0.9622
1.81175e-008,0.9761
1.81541e-008,0.9695
1.81908e-008,0.9514
1.82275e-008,0.9341
1.82641e-008,0.9279
1.83008e-008,0.9383
1.83375e-008,0.9642
1.83742e-008,0.9983
1.84108e-008,1.0313
1.84475e-008,1.0558
1.84842e-008,1.0686
1.85209e-008,1.0693
1.85576e-008,1.0608
1.85942e-008,1.0493
1.86309e-008,1.0420
1.86676e-008,1.0429
1.87043e-008,1.0522
1.87409e-008,1.0670
1.87776e-008,1.0830
1.88143e-008,1.0957
1.88509e-008,1.1014
1.88876e-008,1.0994
1.89243e-008,1.0917
1.89610e-008,1.0826
1.89976e-008,1.0762
1.90343e-008,1.0753
1.90710e-008,1.0802
1.91077e-008,1.0891
1.91444e-008,1.0990
1.91810e-008,1.1068
1.92177e-008,1.1102
1.92544e-008,1.1085
1.92911e-008,1.1030
1.93277e-008,1.0965
1.93644e-008,1.0915
1.94011e-008,1.0900
1.94377e-008,1.0923
1.94744e-008,1.0975
1.95111e-008,1.1037
1.95478e-008,1.1084
1.95844e-008,1.1083
1.96211e-008,1.0995
1.96578e-008,1.0773
1.96945e-008,1.0388
1.97312e-008,0.9838
1.97678e-008,0.9132
1.98045e-008,0.8286
1.98412e-008,0.7359
1.98779e-008,0.6459
1.99145e-008,0.5688
1.99512e-008,0.5100
1.99879e-008,0.4718
2.00245e-008,0.4542
2.00612e-008,0.4531
2.00979e-008,0.4607
2.01346e-008,0.4680
2.01712e-008,0.4679
2.02079e-008,0.4568
2.02446e-008,0.4356
2.02813e-008,0.4090
2.03179e-008,0.3826
2.03546e-008,0.3606
2.03913e-008,0.3465
2.04280e-008,0.3422
2.04647e-008,0.3464
2.05013e-008,0.3573
2.05380e-008,0.3745
2.05747e-008,0.4008
2.06114e-008,0.4398
2.06480e-008,0.4931
2.06847e-008,0.5610
2.07214e-008,0.6429
2.07580e-008,0.7337
2.07947e-008,0.8222
2.08314e-008,0.8949
2.08681e-008,0.9440
2.09047e-008,0.9687
2.09414e-008,0.9719
2.09781e-008,0.9600
2.10148e-008,0.9426
2.10515e-008,0.9310
2.10881e-008,0.9331
2.11248e-008,0.9510
2.11615e-008,0.9810
2.11982e-008,1.0147
2.12348e-008,1.0439
2.12715e-008,1.0633
2.13082e-008,1.0709
2.13448e-008,1.0674
2.13815e-008,1.0571
2.14182e-008,1.0465
