.HEADER
..NAMES
Time,V U3.T8
.DATA
0.0e+000,1.0896
3.67e-011,1.0896
7.33e-011,1.0896
1.100e-010,1.0896
1.467e-010,1.0896
1.834e-010,1.0896
2.201e-010,1.0896
2.567e-010,1.0896
2.934e-010,1.0896
3.301e-010,1.0896
3.667e-010,1.0896
4.034e-010,1.0896
4.401e-010,1.0896
4.768e-010,1.0896
5.135e-010,1.0896
5.501e-010,1.0896
5.868e-010,1.0896
6.235e-010,1.0896
6.601e-010,1.0897
6.968e-010,1.0901
7.335e-010,1.0909
7.702e-010,1.0918
8.068e-010,1.0909
8.435e-010,1.0840
8.802e-010,1.0658
9.169e-010,1.0331
9.536e-010,0.9855
9.902e-010,0.9229
1.0269e-009,0.8457
1.0636e-009,0.7576
1.1003e-009,0.6666
1.1369e-009,0.5808
1.1736e-009,0.5075
1.2103e-009,0.4527
1.2469e-009,0.4200
1.2836e-009,0.4085
1.3203e-009,0.4135
1.3570e-009,0.4278
1.3936e-009,0.4426
1.4303e-009,0.4500
1.4670e-009,0.4457
1.5037e-009,0.4294
1.5403e-009,0.4031
1.5770e-009,0.3711
1.6137e-009,0.3396
1.6504e-009,0.3144
1.6871e-009,0.3010
1.7237e-009,0.3050
1.7604e-009,0.3319
1.7971e-009,0.3832
1.8338e-009,0.4543
1.8704e-009,0.5369
1.9071e-009,0.6235
1.9438e-009,0.7101
1.9805e-009,0.7922
2.0171e-009,0.8631
2.0538e-009,0.9169
2.0905e-009,0.9524
2.1272e-009,0.9711
2.1638e-009,0.9754
2.2005e-009,0.9695
2.2372e-009,0.9599
2.2738e-009,0.9536
2.3105e-009,0.9559
2.3472e-009,0.9689
2.3839e-009,0.9906
2.4205e-009,1.0166
2.4572e-009,1.0431
2.4939e-009,1.0671
2.5306e-009,1.0857
2.5672e-009,1.0971
2.6039e-009,1.1008
2.6406e-009,1.0972
2.6773e-009,1.0874
2.7139e-009,1.0745
2.7506e-009,1.0630
2.7873e-009,1.0571
2.8240e-009,1.0582
2.8606e-009,1.0653
2.8973e-009,1.0758
2.9340e-009,1.0867
2.9707e-009,1.0959
3.0073e-009,1.1025
3.0440e-009,1.1064
3.0807e-009,1.1077
3.1174e-009,1.1068
3.1540e-009,1.1043
3.1907e-009,1.1005
3.2274e-009,1.0964
3.2641e-009,1.0933
3.3007e-009,1.0924
3.3374e-009,1.0941
3.3741e-009,1.0976
3.4108e-009,1.1014
3.4475e-009,1.1041
3.4841e-009,1.1046
3.5208e-009,1.1031
3.5575e-009,1.1006
3.5942e-009,1.0974
3.6308e-009,1.0914
3.6675e-009,1.0780
3.7042e-009,1.0521
3.7408e-009,1.0118
3.7775e-009,0.9576
3.8142e-009,0.8897
