.HEADER
..NAMES
Time,V U5.K1
.DATA
9.0220e-009,0.3284
9.0587e-009,0.3284
9.0954e-009,0.3287
9.1321e-009,0.3290
9.1688e-009,0.3293
9.2054e-009,0.3294
9.2421e-009,0.3293
9.2788e-009,0.3291
9.3154e-009,0.3289
9.3521e-009,0.3289
9.3888e-009,0.3290
9.4255e-009,0.3293
9.4622e-009,0.3296
9.4988e-009,0.3299
9.5355e-009,0.3301
9.5722e-009,0.3300
9.6088e-009,0.3296
9.6455e-009,0.3290
9.6822e-009,0.3284
9.7189e-009,0.3279
9.7556e-009,0.3278
9.7922e-009,0.3282
9.8289e-009,0.3288
9.8656e-009,0.3296
9.9022e-009,0.3302
9.9389e-009,0.3305
9.9756e-009,0.3303
1.00123e-008,0.3297
1.00490e-008,0.3290
1.00856e-008,0.3283
1.01223e-008,0.3279
1.01590e-008,0.3279
1.01956e-008,0.3283
1.02323e-008,0.3289
1.02690e-008,0.3295
1.03057e-008,0.3299
1.03424e-008,0.3301
1.03790e-008,0.3300
1.04157e-008,0.3296
1.04524e-008,0.3290
1.04890e-008,0.3285
1.05257e-008,0.3283
1.05624e-008,0.3283
1.05991e-008,0.3285
1.06358e-008,0.3290
1.06724e-008,0.3294
1.07091e-008,0.3297
1.07458e-008,0.3298
1.07824e-008,0.3296
1.08191e-008,0.3293
1.08558e-008,0.3289
1.08925e-008,0.3286
1.09292e-008,0.3285
1.09658e-008,0.3285
1.10025e-008,0.3288
1.10392e-008,0.3291
1.10758e-008,0.3294
1.11125e-008,0.3295
1.11492e-008,0.3295
1.11859e-008,0.3294
1.12226e-008,0.3291
1.12592e-008,0.3289
1.12959e-008,0.3287
1.13326e-008,0.3286
1.13693e-008,0.3287
1.14059e-008,0.3289
1.14426e-008,0.3291
1.14793e-008,0.3293
1.15159e-008,0.3294
1.15526e-008,0.3294
1.15893e-008,0.3293
1.16260e-008,0.3291
1.16627e-008,0.3290
1.16993e-008,0.3288
1.17360e-008,0.3288
