.HEADER
..NAMES
Time,V U5.J7&K7
.DATA
0.0e+000,-0.7809
3.67e-011,-0.7809
7.33e-011,-0.7809
1.100e-010,-0.7809
1.467e-010,-0.7809
1.834e-010,-0.7809
2.201e-010,-0.7809
2.567e-010,-0.7809
2.934e-010,-0.7809
3.301e-010,-0.7809
3.667e-010,-0.7809
4.034e-010,-0.7809
4.401e-010,-0.7809
4.768e-010,-0.7809
5.135e-010,-0.7809
5.501e-010,-0.7809
5.868e-010,-0.7809
6.235e-010,-0.7809
6.601e-010,-0.7809
6.968e-010,-0.7809
7.335e-010,-0.7809
7.702e-010,-0.7809
8.068e-010,-0.7809
8.435e-010,-0.7809
8.802e-010,-0.7809
9.169e-010,-0.7811
9.536e-010,-0.7815
9.902e-010,-0.7819
1.0269e-009,-0.7803
1.0636e-009,-0.7694
1.1003e-009,-0.7344
1.1369e-009,-0.6551
1.1736e-009,-0.5154
1.2103e-009,-0.3197
1.2469e-009,-0.0970
1.2836e-009,0.1120
1.3203e-009,0.2746
1.3570e-009,0.3818
1.3936e-009,0.4400
1.4303e-009,0.4625
1.4670e-009,0.4678
1.5037e-009,0.4673
1.5403e-009,0.4613
1.5770e-009,0.4334
1.6137e-009,0.3578
1.6504e-009,0.2169
1.6871e-009,0.0166
1.7237e-009,-0.2103
1.7604e-009,-0.4180
1.7971e-009,-0.5720
1.8338e-009,-0.6650
1.8704e-009,-0.7056
1.9071e-009,-0.7109
1.9438e-009,-0.6997
1.9805e-009,-0.6853
2.0171e-009,-0.6732
2.0538e-009,-0.6541
2.0905e-009,-0.6042
2.1272e-009,-0.4958
2.1638e-009,-0.3159
2.2005e-009,-0.0795
2.2372e-009,0.1732
2.2738e-009,0.4001
2.3105e-009,0.5760
2.3472e-009,0.6858
2.3839e-009,0.7319
2.4205e-009,0.7298
2.4572e-009,0.7004
2.4939e-009,0.6589
2.5306e-009,0.6013
2.5672e-009,0.5075
2.6039e-009,0.3573
2.6406e-009,0.1482
2.6773e-009,-0.0940
2.7139e-009,-0.3252
2.7506e-009,-0.5092
