.HEADER
..NAMES
Time,V U4.G2
.DATA
0.0e+000,0.3203
3.86e-011,0.3203
7.72e-011,0.3203
1.157e-010,0.3203
1.543e-010,0.3203
1.929e-010,0.3203
2.314e-010,0.3203
2.700e-010,0.3203
3.086e-010,0.3203
3.472e-010,0.3203
3.857e-010,0.3203
4.243e-010,0.3203
4.629e-010,0.3203
5.015e-010,0.3203
5.401e-010,0.3203
5.786e-010,0.3203
6.172e-010,0.3203
6.558e-010,0.3203
6.944e-010,0.3203
7.329e-010,0.3203
7.715e-010,0.3203
8.101e-010,0.3203
8.486e-010,0.3205
8.872e-010,0.3231
9.258e-010,0.3336
9.644e-010,0.3633
1.0029e-009,0.4257
1.0415e-009,0.5243
1.0801e-009,0.6463
1.1187e-009,0.7614
1.1572e-009,0.8502
1.1958e-009,0.9178
1.2344e-009,0.9755
1.2730e-009,1.0269
1.3115e-009,1.0699
1.3501e-009,1.1177
1.3887e-009,1.1565
1.4273e-009,1.1703
1.4658e-009,1.1502
1.5044e-009,1.0836
1.5430e-009,0.9758
1.5816e-009,0.8499
1.6202e-009,0.7319
1.6587e-009,0.6321
1.6973e-009,0.5498
1.7359e-009,0.4817
1.7745e-009,0.4301
1.8130e-009,0.3893
1.8516e-009,0.3621
1.8902e-009,0.3610
1.9288e-009,0.4002
1.9673e-009,0.4842
2.0059e-009,0.6056
2.0445e-009,0.7352
2.0830e-009,0.8409
2.1216e-009,0.9164
2.1602e-009,0.9733
2.1988e-009,1.0224
2.2374e-009,1.0656
2.2759e-009,1.0982
2.3145e-009,1.1208
2.3531e-009,1.1367
2.3916e-009,1.1466
2.4302e-009,1.1541
2.4688e-009,1.1611
2.5074e-009,1.1652
2.5459e-009,1.1654
2.5845e-009,1.1640
2.6231e-009,1.1647
2.6617e-009,1.1681
2.7003e-009,1.1714
2.7388e-009,1.1747
2.7774e-009,1.1796
2.8160e-009,1.1822
2.8545e-009,1.1700
2.8931e-009,1.1260
2.9317e-009,1.0383
2.9703e-009,0.9220
3.0089e-009,0.8028
3.0474e-009,0.6939
3.0860e-009,0.5988
3.1246e-009,0.5199
3.1631e-009,0.4587
3.2017e-009,0.4124
3.2403e-009,0.3758
3.2789e-009,0.3601
3.3175e-009,0.3816
3.3560e-009,0.4430
3.3946e-009,0.5466
3.4332e-009,0.6746
3.4717e-009,0.7932
3.5103e-009,0.8825
3.5489e-009,0.9465
3.5875e-009,0.9993
3.6260e-009,1.0470
3.6646e-009,1.0846
3.7032e-009,1.1111
3.7418e-009,1.1300
3.7803e-009,1.1429
3.8189e-009,1.1510
3.8575e-009,1.1578
3.8961e-009,1.1638
3.9346e-009,1.1661
3.9732e-009,1.1650
4.0118e-009,1.1642
4.0504e-009,1.1666
4.0890e-009,1.1704
4.1275e-009,1.1729
4.1661e-009,1.1771
4.2047e-009,1.1820
4.2433e-009,1.1787
4.2818e-009,1.1523
4.3204e-009,1.0850
4.3590e-009,0.9789
4.3975e-009,0.8586
4.4361e-009,0.7439
4.4747e-009,0.6420
4.5133e-009,0.5553
4.5519e-009,0.4854
4.5904e-009,0.4337
4.6290e-009,0.3915
4.6676e-009,0.3645
4.7062e-009,0.3664
4.7447e-009,0.4084
4.7833e-009,0.4929
4.8219e-009,0.6127
4.8604e-009,0.7401
4.8990e-009,0.8440
4.9376e-009,0.9182
4.9762e-009,0.9751
5.0147e-009,1.0252
5.0533e-009,1.0685
5.0919e-009,1.1133
5.1305e-009,1.1528
5.1691e-009,1.1749
5.2076e-009,1.1634
5.2462e-009,1.1094
5.2848e-009,1.0092
5.3234e-009,0.8834
5.3619e-009,0.7615
5.4005e-009,0.6554
5.4391e-009,0.5687
5.4776e-009,0.4977
5.5162e-009,0.4422
5.5548e-009,0.4040
5.5934e-009,0.3756
5.6320e-009,0.3540
5.6705e-009,0.3398
5.7091e-009,0.3299
5.7477e-009,0.3231
5.7863e-009,0.3202
5.8248e-009,0.3213
5.8634e-009,0.3248
5.9020e-009,0.3268
5.9405e-009,0.3264
5.9791e-009,0.3257
6.0177e-009,0.3257
6.0563e-009,0.3283
6.0948e-009,0.3417
6.1334e-009,0.3792
6.1720e-009,0.4517
6.2106e-009,0.5584
6.2492e-009,0.6806
6.2877e-009,0.7888
6.3263e-009,0.8702
6.3649e-009,0.9339
6.4035e-009,0.9893
6.4420e-009,1.0389
6.4806e-009,1.0831
6.5192e-009,1.1301
6.5577e-009,1.1646
6.5963e-009,1.1680
6.6349e-009,1.1383
6.6735e-009,1.0590
6.7121e-009,0.9432
6.7506e-009,0.8182
6.7892e-009,0.7040
6.8278e-009,0.6095
6.8664e-009,0.5308
6.9049e-009,0.4665
6.9435e-009,0.4195
6.9821e-009,0.3814
7.0206e-009,0.3589
7.0592e-009,0.3675
7.0978e-009,0.4175
7.1364e-009,0.5131
7.1749e-009,0.6402
7.2135e-009,0.7657
7.2521e-009,0.8632
7.2907e-009,0.9325
7.3293e-009,0.9865
7.3678e-009,1.0344
7.4064e-009,1.0762
7.4450e-009,1.1221
7.4835e-009,1.1596
7.5221e-009,1.1744
7.5607e-009,1.1563
7.5993e-009,1.0916
7.6379e-009,0.9838
7.6764e-009,0.8564
7.7150e-009,0.7368
7.7536e-009,0.6354
7.7922e-009,0.5523
7.8307e-009,0.4844
