.HEADER
..NAMES
Time,V U3.L2
.DATA
9.0220e-009,1.0966
9.0587e-009,1.0981
9.0954e-009,1.0983
9.1321e-009,1.0970
9.1688e-009,1.0949
9.2054e-009,1.0927
9.2421e-009,1.0900
9.2788e-009,1.0843
9.3154e-009,1.0707
9.3521e-009,1.0439
9.3888e-009,1.0004
9.4255e-009,0.9383
9.4622e-009,0.8579
9.4988e-009,0.7634
9.5355e-009,0.6639
9.5722e-009,0.5698
9.6088e-009,0.4906
9.6455e-009,0.4346
9.6822e-009,0.4056
9.7189e-009,0.4008
9.7556e-009,0.4124
9.7922e-009,0.4301
9.8289e-009,0.4432
9.8656e-009,0.4441
9.9022e-009,0.4300
9.9389e-009,0.4028
9.9756e-009,0.3679
1.00123e-008,0.3334
1.00490e-008,0.3073
1.00856e-008,0.2948
1.01223e-008,0.2983
1.01590e-008,0.3175
1.01956e-008,0.3509
1.02323e-008,0.3969
1.02690e-008,0.4538
1.03057e-008,0.5194
1.03424e-008,0.5917
1.03790e-008,0.6700
1.04157e-008,0.7525
1.04524e-008,0.8333
1.04890e-008,0.9045
1.05257e-008,0.9595
1.05624e-008,0.9940
1.05991e-008,1.0066
1.06358e-008,1.0012
1.06724e-008,0.9866
1.07091e-008,0.9723
1.07458e-008,0.9665
1.07824e-008,0.9738
1.08191e-008,0.9946
1.08558e-008,1.0256
1.08925e-008,1.0605
1.09292e-008,1.0917
1.09658e-008,1.1117
1.10025e-008,1.1165
1.10392e-008,1.1072
1.10758e-008,1.0891
1.11125e-008,1.0692
1.11492e-008,1.0517
1.11859e-008,1.0357
1.12226e-008,1.0155
1.12592e-008,0.9852
1.12959e-008,0.9391
1.13326e-008,0.8724
1.13693e-008,0.7851
1.14059e-008,0.6850
1.14426e-008,0.5838
1.14793e-008,0.4939
1.15159e-008,0.4272
1.15526e-008,0.3918
1.15893e-008,0.3877
1.16260e-008,0.4067
1.16627e-008,0.4358
1.16993e-008,0.4604
1.17360e-008,0.4692
1.17727e-008,0.4576
1.18093e-008,0.4275
1.18460e-008,0.3859
1.18827e-008,0.3431
1.19194e-008,0.3096
1.19561e-008,0.2925
1.19927e-008,0.2940
1.20294e-008,0.3129
1.20661e-008,0.3456
1.21027e-008,0.3884
1.21394e-008,0.4389
1.21761e-008,0.4955
1.22128e-008,0.5574
1.22495e-008,0.6260
1.22861e-008,0.7026
1.23228e-008,0.7840
1.23595e-008,0.8624
1.23961e-008,0.9293
1.24328e-008,0.9777
1.24695e-008,1.0030
1.25062e-008,1.0061
1.25429e-008,0.9936
1.25795e-008,0.9755
1.26162e-008,0.9617
1.26529e-008,0.9599
1.26895e-008,0.9732
1.27262e-008,1.0002
1.27629e-008,1.0356
1.27996e-008,1.0717
1.28363e-008,1.0997
1.28729e-008,1.1132
1.29096e-008,1.1109
1.29463e-008,1.0964
1.29829e-008,1.0764
1.30196e-008,1.0565
1.30563e-008,1.0377
1.30930e-008,1.0159
1.31297e-008,0.9860
1.31663e-008,0.9427
1.32030e-008,0.8807
1.32397e-008,0.7984
1.32763e-008,0.7016
1.33130e-008,0.6015
1.33497e-008,0.5100
1.33864e-008,0.4389
1.34231e-008,0.3974
1.34597e-008,0.3875
1.34964e-008,0.4024
1.35331e-008,0.4303
1.35697e-008,0.4566
1.36064e-008,0.4693
1.36431e-008,0.4623
1.36798e-008,0.4360
1.37165e-008,0.3964
1.37531e-008,0.3533
1.37898e-008,0.3175
1.38265e-008,0.2968
1.38631e-008,0.2948
1.38998e-008,0.3108
1.39365e-008,0.3416
1.39732e-008,0.3837
1.40099e-008,0.4345
1.40465e-008,0.4919
1.40832e-008,0.5546
1.41199e-008,0.6232
1.41565e-008,0.6991
