.HEADER
..NAMES
Time,V U2.T8
.DATA
9.0220e-009,0.3307
9.0587e-009,0.3294
9.0954e-009,0.3278
9.1321e-009,0.3263
9.1688e-009,0.3254
9.2054e-009,0.3254
9.2421e-009,0.3264
9.2788e-009,0.3283
9.3154e-009,0.3305
9.3521e-009,0.3325
9.3888e-009,0.3336
9.4255e-009,0.3334
9.4622e-009,0.3321
9.4988e-009,0.3299
9.5355e-009,0.3275
9.5722e-009,0.3256
9.6088e-009,0.3245
9.6455e-009,0.3247
9.6822e-009,0.3259
9.7189e-009,0.3279
9.7556e-009,0.3303
9.7922e-009,0.3323
9.8289e-009,0.3336
9.8656e-009,0.3339
9.9022e-009,0.3330
9.9389e-009,0.3312
9.9756e-009,0.3290
1.00123e-008,0.3268
1.00490e-008,0.3254
1.00856e-008,0.3249
1.01223e-008,0.3255
1.01590e-008,0.3270
1.01956e-008,0.3293
1.02323e-008,0.3331
1.02690e-008,0.3400
1.03057e-008,0.3531
1.03424e-008,0.3747
1.03790e-008,0.4065
1.04157e-008,0.4494
1.04524e-008,0.5047
1.04890e-008,0.5737
1.05257e-008,0.6544
1.05624e-008,0.7409
1.05991e-008,0.8257
1.06358e-008,0.9033
1.06724e-008,0.9698
1.07091e-008,1.0208
1.07458e-008,1.0535
1.07824e-008,1.0682
1.08191e-008,1.0684
1.08558e-008,1.0590
1.08925e-008,1.0453
1.09292e-008,1.0327
1.09658e-008,1.0251
1.10025e-008,1.0251
1.10392e-008,1.0331
1.10758e-008,1.0473
1.11125e-008,1.0645
1.11492e-008,1.0810
1.11859e-008,1.0938
1.12226e-008,1.1008
1.12592e-008,1.1017
1.12959e-008,1.0976
1.13326e-008,1.0908
1.13693e-008,1.0832
1.14059e-008,1.0764
1.14426e-008,1.0718
1.14793e-008,1.0709
1.15159e-008,1.0737
1.15526e-008,1.0796
1.15893e-008,1.0868
1.16260e-008,1.0934
1.16627e-008,1.0983
1.16993e-008,1.1011
1.17360e-008,1.1020
1.17727e-008,1.1019
1.18093e-008,1.1013
1.18460e-008,1.1009
1.18827e-008,1.1007
1.19194e-008,1.1009
1.19561e-008,1.1010
1.19927e-008,1.1010
1.20294e-008,1.1005
1.20661e-008,1.0992
1.21027e-008,1.0970
1.21394e-008,1.0941
1.21761e-008,1.0908
1.22128e-008,1.0877
1.22495e-008,1.0853
1.22861e-008,1.0842
1.23228e-008,1.0844
1.23595e-008,1.0856
1.23961e-008,1.0871
1.24328e-008,1.0884
1.24695e-008,1.0890
1.25062e-008,1.0888
1.25429e-008,1.0880
1.25795e-008,1.0869
1.26162e-008,1.0861
1.26529e-008,1.0857
1.26895e-008,1.0861
1.27262e-008,1.0872
1.27629e-008,1.0888
1.27996e-008,1.0904
1.28363e-008,1.0918
1.28729e-008,1.0925
1.29096e-008,1.0922
1.29463e-008,1.0910
1.29829e-008,1.0893
1.30196e-008,1.0876
1.30563e-008,1.0865
1.30930e-008,1.0851
1.31297e-008,1.0812
1.31663e-008,1.0712
1.32030e-008,1.0523
1.32397e-008,1.0227
1.32763e-008,0.9803
1.33130e-008,0.9219
1.33497e-008,0.8469
1.33864e-008,0.7594
1.34231e-008,0.6662
1.34597e-008,0.5735
1.34964e-008,0.4879
1.35331e-008,0.4164
1.35697e-008,0.3642
1.36064e-008,0.3334
1.36431e-008,0.3229
1.36798e-008,0.3292
1.37165e-008,0.3464
1.37531e-008,0.3677
1.37898e-008,0.3868
1.38265e-008,0.3986
1.38631e-008,0.4002
1.38998e-008,0.3914
1.39365e-008,0.3748
1.39732e-008,0.3542
1.40099e-008,0.3341
1.40465e-008,0.3187
1.40832e-008,0.3106
1.41199e-008,0.3101
1.41565e-008,0.3156
1.41932e-008,0.3249
1.42299e-008,0.3356
1.42666e-008,0.3452
1.43033e-008,0.3514
1.43399e-008,0.3530
1.43766e-008,0.3497
1.44133e-008,0.3427
1.44499e-008,0.3339
1.44866e-008,0.3257
1.45233e-008,0.3194
1.45600e-008,0.3157
1.45967e-008,0.3145
1.46333e-008,0.3151
1.46700e-008,0.3163
1.47067e-008,0.3175
1.47433e-008,0.3183
1.47800e-008,0.3187
1.48167e-008,0.3187
1.48534e-008,0.3187
1.48901e-008,0.3191
1.49267e-008,0.3203
1.49634e-008,0.3224
1.50001e-008,0.3253
1.50368e-008,0.3287
1.50734e-008,0.3320
1.51101e-008,0.3344
1.51468e-008,0.3355
1.51834e-008,0.3351
1.52201e-008,0.3336
1.52568e-008,0.3317
