.HEADER
..NAMES
Time,V U5.F7
.DATA
9.4895e-009,0.8088
9.5280e-009,0.8927
9.5666e-009,0.9649
9.6052e-009,1.0204
9.6437e-009,1.0594
9.6823e-009,1.0873
9.7209e-009,1.1085
9.7595e-009,1.1236
9.7981e-009,1.1317
9.8366e-009,1.1397
9.8752e-009,1.1492
9.9138e-009,1.1584
9.9524e-009,1.1661
9.9909e-009,1.1724
1.00295e-008,1.1752
1.00681e-008,1.1746
1.01066e-008,1.1743
1.01452e-008,1.1774
1.01838e-008,1.1810
1.02224e-008,1.1770
1.02610e-008,1.1550
1.02995e-008,1.0974
1.03381e-008,1.0041
1.03767e-008,0.8972
1.04152e-008,0.7841
1.04538e-008,0.6724
1.04924e-008,0.5735
1.05310e-008,0.4953
1.05695e-008,0.4407
1.06081e-008,0.4034
1.06467e-008,0.3780
1.06853e-008,0.3630
1.07239e-008,0.3558
1.07624e-008,0.3512
1.08010e-008,0.3459
1.08396e-008,0.3397
1.08781e-008,0.3315
1.09167e-008,0.3230
1.09553e-008,0.3182
1.09939e-008,0.3165
1.10324e-008,0.3162
1.10710e-008,0.3175
1.11096e-008,0.3201
1.11482e-008,0.3233
1.11868e-008,0.3254
1.12253e-008,0.3259
1.12639e-008,0.3259
1.13025e-008,0.3260
1.13410e-008,0.3255
1.13796e-008,0.3241
1.14182e-008,0.3230
1.14568e-008,0.3223
1.14953e-008,0.3220
1.15339e-008,0.3228
1.15725e-008,0.3274
1.16111e-008,0.3411
1.16497e-008,0.3763
1.16882e-008,0.4439
1.17268e-008,0.5424
1.17654e-008,0.6593
1.18039e-008,0.7640
1.18425e-008,0.8562
1.18811e-008,0.9352
1.19197e-008,0.9978
1.19583e-008,1.0429
1.19968e-008,1.0738
1.20354e-008,1.0961
1.20740e-008,1.1122
1.21126e-008,1.1234
1.21511e-008,1.1316
1.21897e-008,1.1396
1.22283e-008,1.1490
1.22668e-008,1.1590
1.23054e-008,1.1677
1.23440e-008,1.1738
1.23826e-008,1.1746
1.24212e-008,1.1735
1.24597e-008,1.1731
1.24983e-008,1.1727
1.25369e-008,1.1720
1.25755e-008,1.1711
1.26140e-008,1.1712
1.26526e-008,1.1719
1.26912e-008,1.1724
1.27297e-008,1.1728
1.27683e-008,1.1737
1.28069e-008,1.1749
1.28455e-008,1.1755
1.28841e-008,1.1755
1.29226e-008,1.1753
1.29612e-008,1.1765
1.29998e-008,1.1795
1.30383e-008,1.1769
1.30769e-008,1.1554
1.31155e-008,1.0964
1.31541e-008,1.0019
1.31926e-008,0.8952
1.32312e-008,0.7813
1.32698e-008,0.6686
1.33084e-008,0.5694
1.33470e-008,0.4923
1.33855e-008,0.4390
1.34241e-008,0.4024
1.34627e-008,0.3777
1.35012e-008,0.3631
1.35398e-008,0.3557
1.35784e-008,0.3510
