.HEADER
..NAMES
Time,V U4.R3
.DATA
0.0e+000,0.3302
3.67e-011,0.3302
7.33e-011,0.3302
1.100e-010,0.3302
1.467e-010,0.3302
1.834e-010,0.3302
2.201e-010,0.3302
2.567e-010,0.3302
2.934e-010,0.3302
3.301e-010,0.3302
3.667e-010,0.3302
4.034e-010,0.3302
4.401e-010,0.3302
4.768e-010,0.3302
5.135e-010,0.3302
5.501e-010,0.3302
5.868e-010,0.3302
6.235e-010,0.3304
6.601e-010,0.3317
6.968e-010,0.3366
7.335e-010,0.3501
7.702e-010,0.3790
8.068e-010,0.4280
8.435e-010,0.4978
8.802e-010,0.5835
9.169e-010,0.6775
9.536e-010,0.7711
9.902e-010,0.8544
1.0269e-009,0.9181
1.0636e-009,0.9582
1.1003e-009,0.9762
1.1369e-009,0.9756
1.1736e-009,0.9628
1.2103e-009,0.9474
1.2469e-009,0.9379
1.2836e-009,0.9389
1.3203e-009,0.9508
1.3570e-009,0.9697
1.3936e-009,0.9902
1.4303e-009,1.0081
1.4670e-009,1.0211
1.5037e-009,1.0294
1.5403e-009,1.0350
1.5770e-009,1.0407
1.6137e-009,1.0494
1.6504e-009,1.0615
1.6871e-009,1.0721
1.7237e-009,1.0711
1.7604e-009,1.0463
1.7971e-009,0.9912
1.8338e-009,0.9071
1.8704e-009,0.7991
1.9071e-009,0.6783
1.9438e-009,0.5632
1.9805e-009,0.4717
2.0171e-009,0.4129
2.0538e-009,0.3902
2.0905e-009,0.4009
2.1272e-009,0.4347
2.1638e-009,0.4762
2.2005e-009,0.5096
2.2372e-009,0.5233
2.2738e-009,0.5141
2.3105e-009,0.4868
2.3472e-009,0.4510
2.3839e-009,0.4171
2.4205e-009,0.3930
2.4572e-009,0.3815
2.4939e-009,0.3810
2.5306e-009,0.3864
2.5672e-009,0.3928
2.6039e-009,0.3992
2.6406e-009,0.4109
2.6773e-009,0.4360
2.7139e-009,0.4820
2.7506e-009,0.5506
2.7873e-009,0.6395
2.8240e-009,0.7430
2.8606e-009,0.8488
2.8973e-009,0.9401
2.9340e-009,1.0043
2.9707e-009,1.0357
3.0073e-009,1.0338
3.0440e-009,1.0047
3.0807e-009,0.9621
3.1174e-009,0.9224
3.1540e-009,0.8991
3.1907e-009,0.8988
3.2274e-009,0.9198
3.2641e-009,0.9542
3.3007e-009,0.9918
3.3374e-009,1.0237
3.3741e-009,1.0445
3.4108e-009,1.0533
3.4475e-009,1.0528
3.4841e-009,1.0495
3.5208e-009,1.0490
3.5575e-009,1.0524
3.5942e-009,1.0541
3.6308e-009,1.0423
3.6675e-009,1.0065
3.7042e-009,0.9422
3.7408e-009,0.8494
3.7775e-009,0.7344
3.8142e-009,0.6134
3.8509e-009,0.5063
3.8875e-009,0.4276
3.9242e-009,0.3851
3.9609e-009,0.3808
3.9976e-009,0.4078
4.0342e-009,0.4516
4.0709e-009,0.4946
4.1076e-009,0.5215
4.1443e-009,0.5242
4.1809e-009,0.5038
4.2176e-009,0.4687
4.2543e-009,0.4303
4.2910e-009,0.3990
4.3276e-009,0.3807
4.3643e-009,0.3761
4.4010e-009,0.3809
4.4377e-009,0.3877
4.4743e-009,0.3892
4.5110e-009,0.3813
4.5477e-009,0.3631
4.5844e-009,0.3380
4.6211e-009,0.3127
4.6577e-009,0.2952
4.6944e-009,0.2908
4.7311e-009,0.3008
4.7678e-009,0.3215
4.8044e-009,0.3460
4.8411e-009,0.3660
4.8778e-009,0.3752
4.9145e-009,0.3711
4.9511e-009,0.3550
4.9878e-009,0.3320
5.0245e-009,0.3090
5.0612e-009,0.2926
5.0978e-009,0.2870
5.1345e-009,0.2928
5.1712e-009,0.3071
5.2079e-009,0.3247
5.2445e-009,0.3397
5.2812e-009,0.3478
5.3179e-009,0.3473
