.HEADER
..NAMES
Time,V U3.N8
.DATA
9.0220e-009,1.0958
9.0587e-009,1.0976
9.0954e-009,1.1013
9.1321e-009,1.1056
9.1688e-009,1.1091
9.2054e-009,1.1102
9.2421e-009,1.1075
9.2788e-009,1.0985
9.3154e-009,1.0794
9.3521e-009,1.0465
9.3888e-009,0.9973
9.4255e-009,0.9313
9.4622e-009,0.8495
9.4988e-009,0.7569
9.5355e-009,0.6631
9.5722e-009,0.5791
9.6088e-009,0.5132
9.6455e-009,0.4695
9.6822e-009,0.4486
9.7189e-009,0.4462
9.7556e-009,0.4540
9.7922e-009,0.4622
9.8289e-009,0.4633
9.8656e-009,0.4532
9.9022e-009,0.4325
9.9389e-009,0.4057
9.9756e-009,0.3786
1.00123e-008,0.3564
1.00490e-008,0.3428
1.00856e-008,0.3387
1.01223e-008,0.3425
1.01590e-008,0.3520
1.01956e-008,0.3671
1.02323e-008,0.3911
1.02690e-008,0.4285
1.03057e-008,0.4824
1.03424e-008,0.5536
1.03790e-008,0.6401
1.04157e-008,0.7355
1.04524e-008,0.8278
1.04890e-008,0.9031
1.05257e-008,0.9526
1.05624e-008,0.9752
1.05991e-008,0.9753
1.06358e-008,0.9611
1.06724e-008,0.9436
1.07091e-008,0.9340
1.07458e-008,0.9397
1.07824e-008,0.9613
1.08191e-008,0.9933
1.08558e-008,1.0270
1.08925e-008,1.0546
1.09292e-008,1.0711
1.09658e-008,1.0755
1.10025e-008,1.0700
1.10392e-008,1.0601
1.10758e-008,1.0527
1.11125e-008,1.0522
1.11492e-008,1.0573
1.11859e-008,1.0609
1.12226e-008,1.0530
1.12592e-008,1.0251
1.12959e-008,0.9721
1.13326e-008,0.8926
1.13693e-008,0.7920
1.14059e-008,0.6836
1.14426e-008,0.5845
1.14793e-008,0.5079
1.15159e-008,0.4599
1.15526e-008,0.4408
1.15893e-008,0.4447
1.16260e-008,0.4611
1.16627e-008,0.4774
1.16993e-008,0.4836
1.17360e-008,0.4747
1.17727e-008,0.4523
1.18093e-008,0.4224
1.18460e-008,0.3926
1.18827e-008,0.3688
1.19194e-008,0.3546
1.19561e-008,0.3507
1.19927e-008,0.3543
1.20294e-008,0.3616
1.20661e-008,0.3707
1.21027e-008,0.3841
1.21394e-008,0.4076
1.21761e-008,0.4470
1.22128e-008,0.5055
1.22495e-008,0.5835
1.22861e-008,0.6773
1.23228e-008,0.7767
1.23595e-008,0.8664
1.23961e-008,0.9333
1.24328e-008,0.9720
1.24695e-008,0.9840
1.25062e-008,0.9756
1.25429e-008,0.9566
1.25795e-008,0.9394
1.26162e-008,0.9342
1.26529e-008,0.9458
1.26895e-008,0.9719
1.27262e-008,1.0054
1.27629e-008,1.0373
1.27996e-008,1.0610
1.28363e-008,1.0733
1.28729e-008,1.0741
1.29096e-008,1.0670
1.29463e-008,1.0582
1.29829e-008,1.0536
1.30196e-008,1.0543
1.30563e-008,1.0555
1.30930e-008,1.0484
1.31297e-008,1.0244
1.31663e-008,0.9773
1.32030e-008,0.9042
1.32397e-008,0.8081
1.32763e-008,0.7005
1.33130e-008,0.5982
1.33497e-008,0.5159
1.33864e-008,0.4617
1.34231e-008,0.4374
1.34597e-008,0.4385
1.34964e-008,0.4551
1.35331e-008,0.4740
1.35697e-008,0.4839
1.36064e-008,0.4783
1.36431e-008,0.4576
1.36798e-008,0.4273
