.HEADER
..NAMES
Time,V U3.F8
.DATA
9.4895e-009,0.3767
9.5280e-009,0.3638
9.5666e-009,0.3864
9.6052e-009,0.4495
9.6437e-009,0.5526
9.6823e-009,0.6752
9.7209e-009,0.7886
9.7595e-009,0.8790
9.7981e-009,0.9483
9.8366e-009,1.0025
9.8752e-009,1.0479
9.9138e-009,1.0842
9.9524e-009,1.1101
9.9909e-009,1.1286
1.00295e-008,1.1419
1.00681e-008,1.1508
1.01066e-008,1.1582
1.01452e-008,1.1649
1.01838e-008,1.1690
1.02224e-008,1.1701
1.02610e-008,1.1690
1.02995e-008,1.1679
1.03381e-008,1.1690
1.03767e-008,1.1714
1.04152e-008,1.1732
1.04538e-008,1.1743
1.04924e-008,1.1749
1.05310e-008,1.1752
1.05695e-008,1.1754
1.06081e-008,1.1758
1.06467e-008,1.1764
1.06853e-008,1.1772
1.07239e-008,1.1775
1.07624e-008,1.1773
1.08010e-008,1.1774
1.08396e-008,1.1779
1.08781e-008,1.1802
1.09167e-008,1.1832
1.09553e-008,1.1798
1.09939e-008,1.1545
1.10324e-008,1.0897
1.10710e-008,0.9858
1.11096e-008,0.8660
1.11482e-008,0.7500
1.11868e-008,0.6459
1.12253e-008,0.5577
1.12639e-008,0.4876
1.13025e-008,0.4366
1.13410e-008,0.4014
1.13796e-008,0.3747
1.14182e-008,0.3543
1.14568e-008,0.3414
1.14953e-008,0.3328
1.15339e-008,0.3254
1.15725e-008,0.3198
1.16111e-008,0.3178
1.16497e-008,0.3196
1.16882e-008,0.3225
1.17268e-008,0.3238
1.17654e-008,0.3242
1.18039e-008,0.3248
1.18425e-008,0.3248
1.18811e-008,0.3237
1.19197e-008,0.3228
1.19583e-008,0.3225
1.19968e-008,0.3226
1.20354e-008,0.3223
1.20740e-008,0.3216
1.21126e-008,0.3212
1.21511e-008,0.3213
1.21897e-008,0.3211
1.22283e-008,0.3206
1.22668e-008,0.3203
1.23054e-008,0.3202
1.23440e-008,0.3203
1.23826e-008,0.3202
1.24212e-008,0.3201
1.24597e-008,0.3202
1.24983e-008,0.3203
1.25369e-008,0.3203
1.25755e-008,0.3201
1.26140e-008,0.3201
1.26526e-008,0.3202
1.26912e-008,0.3202
1.27297e-008,0.3201
1.27683e-008,0.3201
1.28069e-008,0.3201
1.28455e-008,0.3201
1.28841e-008,0.3201
1.29226e-008,0.3200
1.29612e-008,0.3201
1.29998e-008,0.3201
1.30383e-008,0.3201
1.30769e-008,0.3200
1.31155e-008,0.3200
1.31541e-008,0.3201
1.31926e-008,0.3200
1.32312e-008,0.3200
1.32698e-008,0.3200
1.33084e-008,0.3200
1.33470e-008,0.3200
1.33855e-008,0.3200
1.34241e-008,0.3200
1.34627e-008,0.3200
1.35012e-008,0.3200
1.35398e-008,0.3200
1.35784e-008,0.3200
1.36170e-008,0.3200
1.36555e-008,0.3200
1.36941e-008,0.3200
1.37327e-008,0.3200
1.37713e-008,0.3200
1.38099e-008,0.3200
1.38484e-008,0.3200
1.38870e-008,0.3200
1.39256e-008,0.3200
1.39641e-008,0.3200
1.40027e-008,0.3200
1.40413e-008,0.3200
1.40799e-008,0.3200
1.41185e-008,0.3200
1.41570e-008,0.3218
1.41956e-008,0.3297
1.42342e-008,0.3534
1.42728e-008,0.4061
1.43113e-008,0.4949
1.43499e-008,0.6120
1.43885e-008,0.7310
1.44270e-008,0.8285
1.44656e-008,0.9022
1.45042e-008,0.9622
1.45428e-008,1.0135
1.45814e-008,1.0563
1.46199e-008,1.0893
1.46585e-008,1.1130
1.46971e-008,1.1306
1.47357e-008,1.1427
1.47742e-008,1.1507
1.48128e-008,1.1582
1.48514e-008,1.1650
1.48899e-008,1.1685
1.49285e-008,1.1684
1.49671e-008,1.1672
1.50057e-008,1.1677
1.50443e-008,1.1702
1.50828e-008,1.1741
1.51214e-008,1.1792
1.51600e-008,1.1811
1.51985e-008,1.1675
1.52371e-008,1.1203
1.52757e-008,1.0303
1.53143e-008,0.9146
1.53528e-008,0.7966
1.53914e-008,0.6876
1.54300e-008,0.5921
1.54686e-008,0.5142
1.55071e-008,0.4552
1.55457e-008,0.4111
1.55843e-008,0.3774
1.56229e-008,0.3631
1.56615e-008,0.3837
1.57000e-008,0.4446
1.57386e-008,0.5458
1.57772e-008,0.6682
1.58158e-008,0.7830
1.58543e-008,0.8749
1.58929e-008,0.9450
1.59315e-008,0.9996
1.59701e-008,1.0454
1.60086e-008,1.0824
1.60472e-008,1.1088
1.60858e-008,1.1276
1.61243e-008,1.1412
1.61629e-008,1.1503
1.62015e-008,1.1577
1.62401e-008,1.1644
1.62786e-008,1.1687
1.63172e-008,1.1700
1.63558e-008,1.1690
1.63944e-008,1.1678
1.64329e-008,1.1688
1.64715e-008,1.1711
1.65101e-008,1.1730
1.65487e-008,1.1742
1.65873e-008,1.1748
1.66258e-008,1.1751
1.66644e-008,1.1753
1.67030e-008,1.1757
1.67416e-008,1.1763
1.67801e-008,1.1771
1.68187e-008,1.1774
1.68573e-008,1.1773
1.68959e-008,1.1773
1.69344e-008,1.1778
1.69730e-008,1.1800
1.70116e-008,1.1831
1.70501e-008,1.1803
1.70887e-008,1.1568
1.71273e-008,1.0945
1.71659e-008,0.9924
1.72044e-008,0.8728
1.72430e-008,0.7562
1.72816e-008,0.6514
1.73202e-008,0.5622
1.73588e-008,0.4910
1.73973e-008,0.4386
1.74359e-008,0.3979
1.74745e-008,0.3701
1.75131e-008,0.3664
1.75516e-008,0.4015
1.75902e-008,0.4779
1.76288e-008,0.5902
1.76674e-008,0.7128
1.77059e-008,0.8194
1.77445e-008,0.9027
1.77831e-008,0.9666
1.78216e-008,1.0175
1.78602e-008,1.0606
1.78988e-008,1.1047
1.79374e-008,1.1443
1.79759e-008,1.1685
1.80145e-008,1.1630
1.80531e-008,1.1195
1.80917e-008,1.0281
1.81302e-008,0.9088
1.81688e-008,0.7857
1.82074e-008,0.6721
1.82460e-008,0.5777
1.82846e-008,0.5035
1.83231e-008,0.4466
