.HEADER
..NAMES
Time,V U4.C8
.DATA
0.0e+000,0.3206
3.86e-011,0.3206
7.72e-011,0.3206
1.157e-010,0.3206
1.543e-010,0.3206
1.929e-010,0.3206
2.314e-010,0.3206
2.700e-010,0.3206
3.086e-010,0.3206
3.472e-010,0.3206
3.857e-010,0.3206
4.243e-010,0.3206
4.629e-010,0.3206
5.015e-010,0.3206
5.401e-010,0.3206
5.786e-010,0.3206
6.172e-010,0.3206
6.558e-010,0.3206
6.944e-010,0.3206
7.329e-010,0.3206
7.715e-010,0.3206
8.101e-010,0.3206
8.486e-010,0.3207
8.872e-010,0.3228
9.258e-010,0.3332
9.644e-010,0.3630
1.0029e-009,0.4287
1.0415e-009,0.5327
1.0801e-009,0.6591
1.1187e-009,0.7745
1.1572e-009,0.8551
1.1958e-009,0.9224
1.2344e-009,0.9819
1.2730e-009,1.0314
1.3115e-009,1.0673
1.3501e-009,1.0933
1.3887e-009,1.1115
1.4273e-009,1.1236
1.4658e-009,1.1352
1.5044e-009,1.1482
1.5430e-009,1.1615
1.5816e-009,1.1699
1.6202e-009,1.1692
1.6587e-009,1.1663
1.6973e-009,1.1672
1.7359e-009,1.1697
1.7745e-009,1.1713
1.8130e-009,1.1722
1.8516e-009,1.1731
1.8902e-009,1.1731
1.9288e-009,1.1732
1.9673e-009,1.1743
2.0059e-009,1.1761
2.0445e-009,1.1772
2.0830e-009,1.1766
2.1216e-009,1.1755
2.1602e-009,1.1755
2.1988e-009,1.1765
2.2374e-009,1.1771
2.2759e-009,1.1779
2.3145e-009,1.1825
2.3531e-009,1.1842
2.3916e-009,1.1687
2.4302e-009,1.1155
2.4688e-009,1.0126
2.5074e-009,0.8900
2.5459e-009,0.7777
2.5845e-009,0.6710
2.6231e-009,0.5763
2.6617e-009,0.5019
2.7003e-009,0.4500
2.7388e-009,0.4133
2.7774e-009,0.3868
2.8160e-009,0.3692
2.8545e-009,0.3576
2.8931e-009,0.3480
2.9317e-009,0.3352
2.9703e-009,0.3234
3.0089e-009,0.3199
3.0474e-009,0.3203
3.0860e-009,0.3202
3.1246e-009,0.3208
3.1631e-009,0.3231
3.2017e-009,0.3248
3.2403e-009,0.3249
3.2789e-009,0.3246
3.3175e-009,0.3246
3.3560e-009,0.3246
3.3946e-009,0.3233
3.4332e-009,0.3215
3.4717e-009,0.3215
3.5103e-009,0.3226
3.5489e-009,0.3224
3.5875e-009,0.3220
3.6260e-009,0.3220
3.6646e-009,0.3222
3.7032e-009,0.3241
3.7418e-009,0.3346
3.7803e-009,0.3658
3.8189e-009,0.4337
3.8575e-009,0.5392
3.8961e-009,0.6657
3.9346e-009,0.7796
3.9732e-009,0.8595
4.0118e-009,0.9264
4.0504e-009,0.9852
4.0890e-009,1.0339
4.1275e-009,1.0696
4.1661e-009,1.1122
4.2047e-009,1.1550
4.2433e-009,1.1549
4.2818e-009,1.1403
4.3204e-009,1.0872
4.3590e-009,0.9863
4.3975e-009,0.8632
4.4361e-009,0.7428
4.4747e-009,0.6325
4.5133e-009,0.5434
4.5519e-009,0.4793
4.5904e-009,0.4329
4.6290e-009,0.4014
4.6676e-009,0.3827
4.7062e-009,0.3639
4.7447e-009,0.3500
4.7833e-009,0.3424
4.8219e-009,0.3325
4.8604e-009,0.3223
4.8990e-009,0.3179
4.9376e-009,0.3177
4.9762e-009,0.3186
5.0147e-009,0.3212
5.0533e-009,0.3239
5.0919e-009,0.3248
5.1305e-009,0.3257
5.1691e-009,0.3249
5.2076e-009,0.3233
5.2462e-009,0.3234
5.2848e-009,0.3232
5.3234e-009,0.3219
5.3619e-009,0.3214
5.4005e-009,0.3220
5.4391e-009,0.3220
5.4776e-009,0.3221
5.5162e-009,0.3222
5.5548e-009,0.3219
5.5934e-009,0.3215
5.6320e-009,0.3213
5.6705e-009,0.3209
5.7091e-009,0.3210
5.7477e-009,0.3213
5.7863e-009,0.3212
