.HEADER
..NAMES
Time,V U2.E3
.DATA
9.4895e-009,0.5587
9.5280e-009,0.4850
9.5666e-009,0.4340
9.6052e-009,0.3926
9.6437e-009,0.3702
9.6823e-009,0.3780
9.7209e-009,0.4126
9.7595e-009,0.4810
9.7981e-009,0.5795
9.8366e-009,0.6869
9.8752e-009,0.7832
9.9138e-009,0.8739
9.9524e-009,0.9519
9.9909e-009,1.0121
1.00295e-008,1.0554
1.00681e-008,1.0958
1.01066e-008,1.1368
1.01452e-008,1.1472
1.01838e-008,1.1453
1.02224e-008,1.1130
1.02610e-008,1.0373
1.02995e-008,0.9365
1.03381e-008,0.8239
1.03767e-008,0.7071
1.04152e-008,0.5992
1.04538e-008,0.5128
1.04924e-008,0.4521
1.05310e-008,0.4105
1.05695e-008,0.3813
1.06081e-008,0.3662
1.06467e-008,0.3591
1.06853e-008,0.3506
1.07239e-008,0.3442
1.07624e-008,0.3374
1.08010e-008,0.3282
1.08396e-008,0.3211
1.08781e-008,0.3174
1.09167e-008,0.3162
1.09553e-008,0.3167
1.09939e-008,0.3192
1.10324e-008,0.3230
1.10710e-008,0.3256
1.11096e-008,0.3261
1.11482e-008,0.3267
1.11868e-008,0.3269
1.12253e-008,0.3256
1.12639e-008,0.3246
1.13025e-008,0.3237
1.13410e-008,0.3227
1.13796e-008,0.3226
1.14182e-008,0.3230
1.14568e-008,0.3237
1.14953e-008,0.3270
1.15339e-008,0.3385
1.15725e-008,0.3700
1.16111e-008,0.4333
1.16497e-008,0.5286
1.16882e-008,0.6459
1.17268e-008,0.7540
1.17654e-008,0.8459
1.18039e-008,0.9264
1.18425e-008,0.9915
1.18811e-008,1.0395
1.19197e-008,1.0723
1.19583e-008,1.0949
1.19968e-008,1.1112
1.20354e-008,1.1227
1.20740e-008,1.1324
1.21126e-008,1.1426
1.21511e-008,1.1536
1.21897e-008,1.1637
1.22283e-008,1.1712
1.22668e-008,1.1732
1.23054e-008,1.1722
1.23440e-008,1.1724
1.23826e-008,1.1727
1.24212e-008,1.1724
1.24597e-008,1.1717
1.24983e-008,1.1716
1.25369e-008,1.1723
1.25755e-008,1.1729
1.26140e-008,1.1737
1.26526e-008,1.1747
1.26912e-008,1.1758
1.27297e-008,1.1764
1.27683e-008,1.1762
1.28069e-008,1.1755
1.28455e-008,1.1751
1.28841e-008,1.1754
1.29226e-008,1.1758
1.29612e-008,1.1758
1.29998e-008,1.1758
1.30383e-008,1.1759
1.30769e-008,1.1761
1.31155e-008,1.1762
1.31541e-008,1.1762
1.31926e-008,1.1763
1.32312e-008,1.1763
1.32698e-008,1.1763
1.33084e-008,1.1761
1.33470e-008,1.1770
1.33855e-008,1.1807
1.34241e-008,1.1811
1.34627e-008,1.1668
1.35012e-008,1.1195
1.35398e-008,1.0315
1.35784e-008,0.9253
1.36170e-008,0.8143
1.36555e-008,0.7003
1.36941e-008,0.5969
1.37327e-008,0.5130
1.37713e-008,0.4531
1.38099e-008,0.4096
1.38484e-008,0.3747
1.38870e-008,0.3720
1.39256e-008,0.3937
1.39641e-008,0.4479
1.40027e-008,0.5346
1.40413e-008,0.6426
1.40799e-008,0.7431
1.41185e-008,0.8365
1.41570e-008,0.9209
1.41956e-008,0.9888
1.42342e-008,1.0388
1.42728e-008,1.0768
1.43113e-008,1.1239
1.43499e-008,1.1443
1.43885e-008,1.1484
1.44270e-008,1.1320
1.44656e-008,1.0740
1.45042e-008,0.9807
1.45428e-008,0.8729
1.45814e-008,0.7560
1.46199e-008,0.6429
1.46585e-008,0.5460
1.46971e-008,0.4749
1.47357e-008,0.4259
1.47742e-008,0.3841
1.48128e-008,0.3683
1.48514e-008,0.3833
1.48899e-008,0.4236
1.49285e-008,0.4974
1.49671e-008,0.6030
1.50057e-008,0.7094
1.50443e-008,0.8037
1.50828e-008,0.8907
1.51214e-008,0.9649
1.51600e-008,1.0217
1.51985e-008,1.0625
1.52371e-008,1.1082
1.52757e-008,1.1404
1.53143e-008,1.1481
1.53528e-008,1.1405
