.HEADER
..NAMES
Time,V U4.F8
.DATA
9.4895e-009,0.5400
9.5280e-009,0.6670
9.5666e-009,0.7864
9.6052e-009,0.8768
9.6437e-009,0.9422
9.6823e-009,0.9962
9.7209e-009,1.0445
9.7595e-009,1.0859
9.7981e-009,1.1304
9.8366e-009,1.1651
9.8752e-009,1.1730
9.9138e-009,1.1464
9.9524e-009,1.0702
9.9909e-009,0.9558
1.00295e-008,0.8296
1.00681e-008,0.7141
1.01066e-008,0.6170
1.01452e-008,0.5370
1.01838e-008,0.4720
1.02224e-008,0.4232
1.02610e-008,0.3841
1.02995e-008,0.3597
1.03381e-008,0.3642
1.03767e-008,0.4104
1.04152e-008,0.5011
1.04538e-008,0.6260
1.04924e-008,0.7535
1.05310e-008,0.8536
1.05695e-008,0.9253
1.06081e-008,0.9809
1.06467e-008,1.0297
1.06853e-008,1.0721
1.07239e-008,1.1174
1.07624e-008,1.1560
1.08010e-008,1.1746
1.08396e-008,1.1591
1.08781e-008,1.0996
1.09167e-008,0.9951
1.09553e-008,0.8684
1.09939e-008,0.7484
1.10324e-008,0.6452
1.10710e-008,0.5605
1.11096e-008,0.4908
1.11482e-008,0.4369
1.11868e-008,0.3953
1.12253e-008,0.3651
1.12639e-008,0.3580
1.13025e-008,0.3912
1.13410e-008,0.4676
1.13796e-008,0.5845
1.14182e-008,0.7152
1.14568e-008,0.8253
1.14953e-008,0.9051
1.15339e-008,0.9643
1.15725e-008,1.0147
1.16111e-008,1.0594
1.16497e-008,1.0937
1.16882e-008,1.1176
1.17268e-008,1.1346
1.17654e-008,1.1456
1.18039e-008,1.1532
1.18425e-008,1.1600
1.18811e-008,1.1646
1.19197e-008,1.1650
1.19583e-008,1.1635
1.19968e-008,1.1639
1.20354e-008,1.1670
1.20740e-008,1.1705
1.21126e-008,1.1723
1.21511e-008,1.1731
1.21897e-008,1.1736
1.22283e-008,1.1738
1.22668e-008,1.1743
1.23054e-008,1.1754
1.23440e-008,1.1764
1.23826e-008,1.1766
1.24212e-008,1.1767
1.24597e-008,1.1771
1.24983e-008,1.1778
1.25369e-008,1.1780
1.25755e-008,1.1778
1.26140e-008,1.1777
1.26526e-008,1.1777
1.26912e-008,1.1777
1.27297e-008,1.1778
1.27683e-008,1.1780
1.28069e-008,1.1780
1.28455e-008,1.1779
1.28841e-008,1.1778
1.29226e-008,1.1778
1.29612e-008,1.1780
1.29998e-008,1.1779
1.30383e-008,1.1781
1.30769e-008,1.1802
1.31155e-008,1.1834
1.31541e-008,1.1799
1.31926e-008,1.1537
1.32312e-008,1.0862
1.32698e-008,0.9795
1.33084e-008,0.8594
1.33470e-008,0.7455
1.33855e-008,0.6436
1.34241e-008,0.5560
1.34627e-008,0.4856
1.35012e-008,0.4338
1.35398e-008,0.3917
1.35784e-008,0.3645
1.36170e-008,0.3664
1.36555e-008,0.4086
1.36941e-008,0.4928
1.37327e-008,0.6120
1.37713e-008,0.7391
1.38099e-008,0.8426
1.38484e-008,0.9171
1.38870e-008,0.9744
1.39256e-008,1.0250
1.39641e-008,1.0683
1.40027e-008,1.0999
1.40413e-008,1.1217
1.40799e-008,1.1376
1.41185e-008,1.1477
1.41570e-008,1.1548
1.41956e-008,1.1612
1.42342e-008,1.1651
1.42728e-008,1.1652
1.43113e-008,1.1638
1.43499e-008,1.1646
1.43885e-008,1.1682
1.44270e-008,1.1713
1.44656e-008,1.1743
1.45042e-008,1.1791
1.45428e-008,1.1814
1.45814e-008,1.1680
1.46199e-008,1.1215
