.HEADER
..NAMES
Time,V U4.K3
.DATA
0.0e+000,0.3303
3.67e-011,0.3303
7.33e-011,0.3303
1.100e-010,0.3303
1.467e-010,0.3303
1.834e-010,0.3303
2.201e-010,0.3303
2.567e-010,0.3303
2.934e-010,0.3303
3.301e-010,0.3303
3.667e-010,0.3303
4.034e-010,0.3303
4.401e-010,0.3303
4.768e-010,0.3303
5.135e-010,0.3303
5.501e-010,0.3303
5.868e-010,0.3303
6.235e-010,0.3304
6.601e-010,0.3314
6.968e-010,0.3354
7.335e-010,0.3470
7.702e-010,0.3736
8.068e-010,0.4217
8.435e-010,0.4939
8.802e-010,0.5851
9.169e-010,0.6836
9.536e-010,0.7755
9.902e-010,0.8493
1.0269e-009,0.8992
1.0636e-009,0.9267
1.1003e-009,0.9384
1.1369e-009,0.9425
1.1736e-009,0.9463
1.2103e-009,0.9538
1.2469e-009,0.9649
1.2836e-009,0.9764
1.3203e-009,0.9851
1.3570e-009,0.9895
1.3936e-009,0.9905
1.4303e-009,0.9908
1.4670e-009,0.9939
1.5037e-009,1.0019
1.5403e-009,1.0149
1.5770e-009,1.0313
1.6137e-009,1.0484
1.6504e-009,1.0635
1.6871e-009,1.0751
1.7237e-009,1.0821
1.7604e-009,1.0848
1.7971e-009,1.0839
1.8338e-009,1.0814
1.8704e-009,1.0797
1.9071e-009,1.0804
1.9438e-009,1.0840
1.9805e-009,1.0894
2.0171e-009,1.0948
2.0538e-009,1.0985
2.0905e-009,1.0997
2.1272e-009,1.0986
2.1638e-009,1.0963
2.2005e-009,1.0944
2.2372e-009,1.0942
2.2738e-009,1.0961
2.3105e-009,1.0994
2.3472e-009,1.1027
2.3839e-009,1.1047
2.4205e-009,1.1048
2.4572e-009,1.1032
2.4939e-009,1.1010
2.5306e-009,1.0997
2.5672e-009,1.1001
2.6039e-009,1.1002
2.6406e-009,1.0949
2.6773e-009,1.0746
2.7139e-009,1.0303
2.7506e-009,0.9582
2.7873e-009,0.8624
2.8240e-009,0.7543
2.8606e-009,0.6495
2.8973e-009,0.5631
2.9340e-009,0.5036
2.9707e-009,0.4718
3.0073e-009,0.4621
3.0440e-009,0.4643
3.0807e-009,0.4679
3.1174e-009,0.4667
3.1540e-009,0.4595
3.1907e-009,0.4487
3.2274e-009,0.4384
3.2641e-009,0.4321
3.3007e-009,0.4304
3.3374e-009,0.4309
3.3741e-009,0.4299
3.4108e-009,0.4243
3.4475e-009,0.4126
3.4841e-009,0.3970
3.5208e-009,0.3828
3.5575e-009,0.3796
3.5942e-009,0.3986
3.6308e-009,0.4490
3.6675e-009,0.5322
3.7042e-009,0.6380
3.7408e-009,0.7484
3.7775e-009,0.8442
3.8142e-009,0.9114
3.8509e-009,0.9460
3.8875e-009,0.9542
3.9242e-009,0.9480
3.9609e-009,0.9398
3.9976e-009,0.9387
4.0342e-009,0.9478
4.0709e-009,0.9635
4.1076e-009,0.9787
4.1443e-009,0.9878
4.1809e-009,0.9889
4.2176e-009,0.9843
4.2543e-009,0.9794
4.2910e-009,0.9801
4.3276e-009,0.9896
4.3643e-009,1.0071
4.4010e-009,1.0294
4.4377e-009,1.0521
4.4743e-009,1.0706
4.5110e-009,1.0800
4.5477e-009,1.0730
4.5844e-009,1.0402
4.6211e-009,0.9763
4.6577e-009,0.8845
4.6944e-009,0.7759
4.7311e-009,0.6673
4.7678e-009,0.5753
4.8044e-009,0.5102
4.8411e-009,0.4736
4.8778e-009,0.4604
4.9145e-009,0.4610
4.9511e-009,0.4646
4.9878e-009,0.4642
5.0245e-009,0.4584
5.0612e-009,0.4498
5.0978e-009,0.4426
5.1345e-009,0.4396
5.1712e-009,0.4409
5.2079e-009,0.4434
5.2445e-009,0.4429
5.2812e-009,0.4364
5.3179e-009,0.4232
5.3546e-009,0.4053
5.3912e-009,0.3859
5.4279e-009,0.3677
5.4646e-009,0.3523
5.5013e-009,0.3407
5.5379e-009,0.3337
5.5746e-009,0.3315
5.6113e-009,0.3333
5.6480e-009,0.3369
5.6846e-009,0.3398
5.7213e-009,0.3402
5.7580e-009,0.3378
5.7947e-009,0.3334
5.8313e-009,0.3288
5.8680e-009,0.3255
5.9047e-009,0.3244
5.9414e-009,0.3256
5.9780e-009,0.3278
6.0147e-009,0.3294
6.0514e-009,0.3291
6.0881e-009,0.3267
6.1247e-009,0.3231
6.1614e-009,0.3198
6.1981e-009,0.3181
6.2348e-009,0.3187
6.2714e-009,0.3215
6.3081e-009,0.3271
6.3448e-009,0.3386
6.3815e-009,0.3632
6.4181e-009,0.4093
6.4548e-009,0.4812
6.4915e-009,0.5752
6.5282e-009,0.6786
6.5648e-009,0.7756
6.6015e-009,0.8526
6.6382e-009,0.9030
6.6749e-009,0.9284
6.7115e-009,0.9365
6.7482e-009,0.9371
6.7849e-009,0.9388
6.8215e-009,0.9462
6.8582e-009,0.9590
6.8949e-009,0.9728
6.9316e-009,0.9835
6.9682e-009,0.9888
7.0049e-009,0.9895
7.0416e-009,0.9889
7.0783e-009,0.9911
7.1149e-009,0.9989
7.1516e-009,1.0126
7.1883e-009,1.0303
7.2250e-009,1.0493
7.2616e-009,1.0670
7.2983e-009,1.0797
7.3350e-009,1.0813
7.3717e-009,1.0617
7.4083e-009,1.0118
7.4450e-009,0.9306
7.4817e-009,0.8262
7.5184e-009,0.7143
7.5550e-009,0.6127
7.5917e-009,0.5355
7.6284e-009,0.4878
7.6651e-009,0.4665
7.7018e-009,0.4634
7.7384e-009,0.4674
7.7751e-009,0.4690
7.8118e-009,0.4645
7.8484e-009,0.4557
7.8851e-009,0.4467
7.9218e-009,0.4411
7.9585e-009,0.4405
7.9952e-009,0.4430
8.0318e-009,0.4445
8.0685e-009,0.4410
8.1052e-009,0.4308
8.1418e-009,0.4146
8.1785e-009,0.3958
8.2152e-009,0.3801
8.2519e-009,0.3753
8.2886e-009,0.3911
8.3252e-009,0.4368
8.3619e-009,0.5154
8.3986e-009,0.6185
8.4352e-009,0.7293
8.4719e-009,0.8284
8.5086e-009,0.9008
8.5453e-009,0.9408
8.5820e-009,0.9536
8.6186e-009,0.9503
8.6553e-009,0.9428
8.6920e-009,0.9411
8.7286e-009,0.9491
8.7653e-009,0.9638
8.8020e-009,0.9786
8.8387e-009,0.9877
8.8754e-009,0.9889
8.9120e-009,0.9841
8.9487e-009,0.9788
8.9854e-009,0.9790
9.0220e-009,0.9880
9.0587e-009,1.0052
9.0954e-009,1.0272
9.1321e-009,1.0496
9.1688e-009,1.0677
9.2054e-009,1.0769
9.2421e-009,1.0694
9.2788e-009,1.0355
9.3154e-009,0.9696
9.3521e-009,0.8750
9.3888e-009,0.7638
9.4255e-009,0.6538
9.4622e-009,0.5625
9.4988e-009,0.5000
9.5355e-009,0.4672
9.5722e-009,0.4578
9.6088e-009,0.4613
9.6455e-009,0.4663
9.6822e-009,0.4656
9.7189e-009,0.4584
9.7556e-009,0.4483
9.7922e-009,0.4402
9.8289e-009,0.4372
9.8656e-009,0.4392
9.9022e-009,0.4428
9.9389e-009,0.4430
9.9756e-009,0.4364
1.00123e-008,0.4226
1.00490e-008,0.4038
1.00856e-008,0.3837
1.01223e-008,0.3653
1.01590e-008,0.3504
1.01956e-008,0.3395
1.02323e-008,0.3332
1.02690e-008,0.3316
1.03057e-008,0.3337
1.03424e-008,0.3374
1.03790e-008,0.3400
1.04157e-008,0.3398
1.04524e-008,0.3369
1.04890e-008,0.3322
1.05257e-008,0.3276
1.05624e-008,0.3247
1.05991e-008,0.3241
1.06358e-008,0.3257
1.06724e-008,0.3282
1.07091e-008,0.3298
1.07458e-008,0.3293
1.07824e-008,0.3265
1.08191e-008,0.3225
1.08558e-008,0.3191
1.08925e-008,0.3176
1.09292e-008,0.3184
1.09658e-008,0.3210
1.10025e-008,0.3237
1.10392e-008,0.3256
1.10758e-008,0.3261
1.11125e-008,0.3261
1.11492e-008,0.3267
1.11859e-008,0.3282
1.12226e-008,0.3305
1.12592e-008,0.3327
1.12959e-008,0.3341
1.13326e-008,0.3342
1.13693e-008,0.3332
1.14059e-008,0.3314
1.14426e-008,0.3294
1.14793e-008,0.3279
1.15159e-008,0.3272
1.15526e-008,0.3273
1.15893e-008,0.3279
1.16260e-008,0.3285
1.16627e-008,0.3290
1.16993e-008,0.3292
1.17360e-008,0.3293
1.17727e-008,0.3294
1.18093e-008,0.3295
1.18460e-008,0.3296
1.18827e-008,0.3298
1.19194e-008,0.3310
1.19561e-008,0.3358
1.19927e-008,0.3490
1.20294e-008,0.3776
1.20661e-008,0.4276
1.21027e-008,0.5009
1.21394e-008,0.5918
1.21761e-008,0.6890
1.22128e-008,0.7791
1.22495e-008,0.8513
1.22861e-008,0.9003
1.23228e-008,0.9276
1.23595e-008,0.9395
1.23961e-008,0.9439
1.24328e-008,0.9477
1.24695e-008,0.9548
1.25062e-008,0.9652
1.25429e-008,0.9760
1.25795e-008,0.9844
1.26162e-008,0.9890
1.26529e-008,0.9905
1.26895e-008,0.9914
1.27262e-008,0.9949
1.27629e-008,1.0031
1.27996e-008,1.0159
1.28363e-008,1.0320
1.28729e-008,1.0487
1.29096e-008,1.0636
1.29463e-008,1.0750
1.29829e-008,1.0819
1.30196e-008,1.0844
1.30563e-008,1.0834
1.30930e-008,1.0810
1.31297e-008,1.0795
1.31663e-008,1.0803
1.32030e-008,1.0840
1.32397e-008,1.0893
1.32763e-008,1.0946
1.33130e-008,1.0982
1.33497e-008,1.0993
1.33864e-008,1.0981
1.34231e-008,1.0960
1.34597e-008,1.0942
1.34964e-008,1.0941
1.35331e-008,1.0960
1.35697e-008,1.0991
1.36064e-008,1.1023
1.36431e-008,1.1041
1.36798e-008,1.1041
1.37165e-008,1.1024
1.37531e-008,1.0998
1.37898e-008,1.0975
1.38265e-008,1.0962
1.38631e-008,1.0957
1.38998e-008,1.0956
1.39365e-008,1.0951
1.39732e-008,1.0939
1.40099e-008,1.0923
1.40465e-008,1.0906
1.40832e-008,1.0895
1.41199e-008,1.0891
1.41565e-008,1.0895
1.41932e-008,1.0907
1.42299e-008,1.0920
1.42666e-008,1.0933
1.43033e-008,1.0940
1.43399e-008,1.0941
1.43766e-008,1.0937
1.44133e-008,1.0930
1.44499e-008,1.0923
1.44866e-008,1.0918
1.45233e-008,1.0916
1.45600e-008,1.0917
1.45967e-008,1.0919
1.46333e-008,1.0922
1.46700e-008,1.0924
1.47067e-008,1.0926
1.47433e-008,1.0933
1.47800e-008,1.0942
1.48167e-008,1.0932
1.48534e-008,1.0847
1.48901e-008,1.0596
1.49267e-008,1.0099
1.49634e-008,0.9329
1.50001e-008,0.8338
1.50368e-008,0.7248
1.50734e-008,0.6224
1.51101e-008,0.5407
1.51468e-008,0.4872
1.51834e-008,0.4613
1.52201e-008,0.4562
1.52568e-008,0.4609
1.52935e-008,0.4652
1.53301e-008,0.4637
1.53668e-008,0.4558
1.54035e-008,0.4448
1.54402e-008,0.4349
1.54769e-008,0.4295
1.55135e-008,0.4285
1.55502e-008,0.4290
1.55869e-008,0.4274
1.56236e-008,0.4207
1.56602e-008,0.4083
1.56969e-008,0.3936
1.57336e-008,0.3837
1.57703e-008,0.3891
1.58069e-008,0.4208
1.58436e-008,0.4853
1.58803e-008,0.5791
1.59169e-008,0.6885
1.59536e-008,0.7943
1.59903e-008,0.8792
1.60270e-008,0.9326
1.60636e-008,0.9549
1.61003e-008,0.9551
1.61370e-008,0.9458
1.61737e-008,0.9387
1.62104e-008,0.9411
1.62470e-008,0.9530
1.62837e-008,0.9693
1.63204e-008,0.9830
1.63571e-008,0.9896
1.63937e-008,0.9885
1.64304e-008,0.9833
1.64671e-008,0.9801
1.65037e-008,0.9837
1.65404e-008,0.9962
1.65771e-008,1.0156
1.66138e-008,1.0377
1.66504e-008,1.0578
1.66871e-008,1.0726
1.67238e-008,1.0810
1.67605e-008,1.0836
1.67972e-008,1.0822
1.68338e-008,1.0794
1.68705e-008,1.0779
1.69072e-008,1.0795
1.69439e-008,1.0845
1.69805e-008,1.0912
1.70172e-008,1.0974
1.70539e-008,1.1008
1.70905e-008,1.1007
1.71272e-008,1.0977
1.71639e-008,1.0935
1.72006e-008,1.0904
1.72372e-008,1.0898
1.72739e-008,1.0923
1.73106e-008,1.0970
1.73473e-008,1.1019
1.73840e-008,1.1052
1.74206e-008,1.1056
1.74573e-008,1.1033
1.74940e-008,1.0996
1.75307e-008,1.0962
1.75673e-008,1.0945
1.76040e-008,1.0948
1.76407e-008,1.0959
1.76773e-008,1.0967
1.77140e-008,1.0959
1.77507e-008,1.0937
1.77874e-008,1.0907
1.78240e-008,1.0882
1.78607e-008,1.0870
1.78974e-008,1.0875
1.79341e-008,1.0894
1.79708e-008,1.0920
1.80074e-008,1.0943
1.80441e-008,1.0956
1.80808e-008,1.0956
1.81175e-008,1.0945
1.81541e-008,1.0929
1.81908e-008,1.0916
1.82275e-008,1.0909
1.82641e-008,1.0910
1.83008e-008,1.0915
1.83375e-008,1.0922
1.83742e-008,1.0928
1.84108e-008,1.0929
1.84475e-008,1.0928
1.84842e-008,1.0929
1.85209e-008,1.0934
1.85576e-008,1.0932
1.85942e-008,1.0877
1.86309e-008,1.0689
1.86676e-008,1.0275
1.87043e-008,0.9589
1.87409e-008,0.8656
1.87776e-008,0.7578
1.88143e-008,0.6513
1.88509e-008,0.5619
1.88876e-008,0.4993
1.89243e-008,0.4656
1.89610e-008,0.4556
1.89976e-008,0.4589
1.90343e-008,0.4645
1.90710e-008,0.4652
1.91077e-008,0.4590
1.91444e-008,0.4482
1.91810e-008,0.4372
1.92177e-008,0.4300
1.92544e-008,0.4278
1.92911e-008,0.4284
1.93277e-008,0.4280
1.93644e-008,0.4233
1.94011e-008,0.4126
1.94377e-008,0.3979
1.94744e-008,0.3854
1.95111e-008,0.3847
1.95478e-008,0.4072
1.95844e-008,0.4614
1.96211e-008,0.5474
1.96578e-008,0.6539
1.96945e-008,0.7630
1.97312e-008,0.8559
1.97678e-008,0.9194
1.98045e-008,0.9506
1.98412e-008,0.9562
1.98779e-008,0.9485
1.99145e-008,0.9397
1.99512e-008,0.9388
1.99879e-008,0.9483
2.00245e-008,0.9641
2.00612e-008,0.9793
2.00979e-008,0.9883
2.01346e-008,0.9894
2.01712e-008,0.9848
2.02079e-008,0.9803
2.02446e-008,0.9814
2.02813e-008,0.9913
2.03179e-008,1.0092
2.03546e-008,1.0318
2.03913e-008,1.0545
2.04280e-008,1.0724
2.04647e-008,1.0798
2.05013e-008,1.0684
2.05380e-008,1.0293
2.05747e-008,0.9590
2.06114e-008,0.8623
2.06480e-008,0.7520
2.06847e-008,0.6453
2.07214e-008,0.5584
2.07580e-008,0.4995
2.07947e-008,0.4687
2.08314e-008,0.4596
2.08681e-008,0.4617
2.09047e-008,0.4648
2.09414e-008,0.4630
2.09781e-008,0.4561
2.10148e-008,0.4472
2.10515e-008,0.4405
2.10881e-008,0.4386
2.11248e-008,0.4407
2.11615e-008,0.4432
2.11982e-008,0.4420
2.12348e-008,0.4341
2.12715e-008,0.4196
2.13082e-008,0.4008
2.13448e-008,0.3811
2.13815e-008,0.3633
2.14182e-008,0.3488
2.14549e-008,0.3384
2.14915e-008,0.3326
2.15282e-008,0.3315
2.15649e-008,0.3337
2.16016e-008,0.3371
2.16383e-008,0.3394
2.16749e-008,0.3390
2.17116e-008,0.3361
2.17483e-008,0.3317
2.17850e-008,0.3274
2.18216e-008,0.3247
2.18583e-008,0.3242
2.18950e-008,0.3257
2.19316e-008,0.3278
2.19683e-008,0.3290
2.20050e-008,0.3281
2.20417e-008,0.3253
2.20783e-008,0.3217
