.HEADER
..NAMES
Time,V U5.C7&B7
.DATA
9.4509e-009,0.3780
9.4895e-009,0.3626
9.5280e-009,0.3693
9.5666e-009,0.4081
9.6052e-009,0.4847
9.6437e-009,0.5943
9.6823e-009,0.7131
9.7209e-009,0.8191
9.7595e-009,0.9076
9.7981e-009,0.9803
9.8366e-009,1.0386
9.8752e-009,1.0828
9.9138e-009,1.1188
9.9524e-009,1.1460
9.9909e-009,1.1615
1.00295e-008,1.1588
1.00681e-008,1.1200
1.01066e-008,1.0369
1.01452e-008,0.9268
1.01838e-008,0.8037
1.02224e-008,0.6819
1.02610e-008,0.5755
1.02995e-008,0.4886
1.03381e-008,0.4253
1.03767e-008,0.3863
1.04152e-008,0.3654
1.04538e-008,0.3640
1.04924e-008,0.3918
1.05310e-008,0.4563
1.05695e-008,0.5572
1.06081e-008,0.6763
1.06467e-008,0.7875
1.06853e-008,0.8815
1.07239e-008,0.9589
1.07624e-008,1.0218
1.08010e-008,1.0700
1.08396e-008,1.1083
1.08781e-008,1.1387
1.09167e-008,1.1582
1.09553e-008,1.1626
1.09939e-008,1.1373
1.10324e-008,1.0671
1.10710e-008,0.9635
1.11096e-008,0.8434
1.11482e-008,0.7193
1.11868e-008,0.6070
1.12253e-008,0.5139
1.12639e-008,0.4423
1.13025e-008,0.3965
1.13410e-008,0.3701
1.13796e-008,0.3617
1.14182e-008,0.3793
1.14568e-008,0.4317
1.14953e-008,0.5220
1.15339e-008,0.6384
1.15725e-008,0.7540
1.16111e-008,0.8537
1.16497e-008,0.9361
1.16882e-008,1.0035
1.17268e-008,1.0563
1.17654e-008,1.0970
1.18039e-008,1.1304
1.18425e-008,1.1535
1.18811e-008,1.1635
1.19197e-008,1.1498
1.19583e-008,1.0940
1.19968e-008,0.9986
1.20354e-008,0.8826
1.20740e-008,0.7578
1.21126e-008,0.6405
1.21511e-008,0.5412
1.21897e-008,0.4622
1.22283e-008,0.4086
1.22668e-008,0.3765
1.23054e-008,0.3619
1.23440e-008,0.3702
1.23826e-008,0.4110
1.24212e-008,0.4896
1.24597e-008,0.6003
1.24983e-008,0.7189
1.25369e-008,0.8242
1.25755e-008,0.9118
1.26140e-008,0.9837
1.26526e-008,1.0411
1.26912e-008,1.0845
1.27297e-008,1.1197
1.27683e-008,1.1465
1.28069e-008,1.1615
1.28455e-008,1.1576
1.28841e-008,1.1166
1.29226e-008,1.0316
1.29612e-008,0.9205
1.29998e-008,0.7974
1.30383e-008,0.6761
1.30769e-008,0.5706
1.31155e-008,0.4848
1.31541e-008,0.4226
1.31926e-008,0.3845
1.32312e-008,0.3646
1.32698e-008,0.3645
1.33084e-008,0.3940
1.33470e-008,0.4606
1.33855e-008,0.5630
1.34241e-008,0.6822
1.34627e-008,0.7928
1.35012e-008,0.8859
1.35398e-008,0.9624
1.35784e-008,1.0245
1.36170e-008,1.0720
1.36555e-008,1.1094
1.36941e-008,1.1393
1.37327e-008,1.1584
1.37713e-008,1.1619
1.38099e-008,1.1347
1.38484e-008,1.0623
1.38870e-008,0.9574
1.39256e-008,0.8369
1.39641e-008,0.7132
1.40027e-008,0.6018
1.40413e-008,0.5097
1.40799e-008,0.4393
1.41185e-008,0.3943
1.41570e-008,0.3689
1.41956e-008,0.3617
1.42342e-008,0.3809
1.42728e-008,0.4352
1.43113e-008,0.5274
1.43499e-008,0.6444
1.43885e-008,0.7596
1.44270e-008,0.8584
1.44656e-008,0.9399
1.45042e-008,1.0065
1.45428e-008,1.0585
1.45814e-008,1.0984
1.46199e-008,1.1312
1.46585e-008,1.1540
1.46971e-008,1.1632
1.47357e-008,1.1480
1.47742e-008,1.0899
1.48128e-008,0.9928
1.48514e-008,0.8762
1.48899e-008,0.7516
1.49285e-008,0.6350
1.49671e-008,0.5367
1.50057e-008,0.4588
1.50443e-008,0.4065
1.50828e-008,0.3757
1.51214e-008,0.3621
1.51600e-008,0.3716
1.51985e-008,0.4141
1.52371e-008,0.4947
1.52757e-008,0.6065
1.53143e-008,0.7247
1.53528e-008,0.8289
1.53914e-008,0.9157
1.54300e-008,0.9870
1.54686e-008,1.0437
1.55071e-008,1.0867
1.55457e-008,1.1220
1.55843e-008,1.1481
1.56229e-008,1.1622
1.56615e-008,1.1568
1.57000e-008,1.1133
1.57386e-008,1.0265
1.57772e-008,0.9146
1.58158e-008,0.7909
1.58543e-008,0.6701
1.58929e-008,0.5657
1.59315e-008,0.4809
1.59701e-008,0.4203
1.60086e-008,0.3834
1.60472e-008,0.3643
1.60858e-008,0.3654
1.61243e-008,0.3967
1.61629e-008,0.4651
1.62015e-008,0.5690
1.62401e-008,0.6883
1.62786e-008,0.7979
1.63172e-008,0.8901
1.63558e-008,0.9660
1.63944e-008,1.0274
1.64329e-008,1.0742
1.64715e-008,1.1118
1.65101e-008,1.1412
1.65487e-008,1.1595
1.65873e-008,1.1617
1.66258e-008,1.1322
1.66644e-008,1.0576
1.67030e-008,0.9518
1.67416e-008,0.8305
1.67801e-008,0.7070
1.68187e-008,0.5966
1.68573e-008,0.5055
1.68959e-008,0.4365
1.69344e-008,0.3930
1.69730e-008,0.3684
1.70116e-008,0.3621
1.70501e-008,0.3830
1.70887e-008,0.4392
1.71273e-008,0.5331
1.71659e-008,0.6507
1.72044e-008,0.7650
1.72430e-008,0.8629
1.72816e-008,0.9436
1.73202e-008,1.0095
1.73588e-008,1.0608
1.73973e-008,1.1008
1.74359e-008,1.1333
1.74745e-008,1.1552
1.75131e-008,1.1635
1.75516e-008,1.1463
1.75902e-008,1.0857
1.76288e-008,0.9874
1.76674e-008,0.8700
1.77059e-008,0.7452
1.77445e-008,0.6294
1.77831e-008,0.5322
1.78216e-008,0.4555
1.78602e-008,0.4044
1.78988e-008,0.3742
1.79374e-008,0.3616
1.79759e-008,0.3728
1.80145e-008,0.4172
1.80531e-008,0.4997
1.80917e-008,0.6126
1.81302e-008,0.7304
1.81688e-008,0.8339
1.82074e-008,0.9198
1.82460e-008,0.9902
1.82846e-008,1.0462
1.83231e-008,1.0883
1.83617e-008,1.1229
1.84003e-008,1.1486
1.84389e-008,1.1622
1.84774e-008,1.1554
1.85160e-008,1.1098
1.85546e-008,1.0210
1.85932e-008,0.9083
1.86317e-008,0.7846
1.86703e-008,0.6644
1.87089e-008,0.5609
1.87474e-008,0.4772
1.87860e-008,0.4178
1.88246e-008,0.3817
1.88632e-008,0.3635
1.89017e-008,0.3660
1.89403e-008,0.3991
1.89789e-008,0.4695
1.90175e-008,0.5750
1.90560e-008,0.6942
1.90946e-008,0.8031
1.91332e-008,0.8944
1.91718e-008,0.9694
1.92104e-008,1.0301
1.92489e-008,1.0761
1.92875e-008,1.1129
1.93261e-008,1.1418
1.93647e-008,1.1596
1.94032e-008,1.1609
1.94418e-008,1.1294
1.94804e-008,1.0527
1.95190e-008,0.9456
1.95575e-008,0.8241
1.95961e-008,0.7010
1.96347e-008,0.5914
1.96732e-008,0.5014
1.97118e-008,0.4336
1.97504e-008,0.3909
1.97890e-008,0.3673
1.98275e-008,0.3623
1.98661e-008,0.3847
1.99047e-008,0.4430
1.99433e-008,0.5387
1.99819e-008,0.6567
2.00204e-008,0.7705
2.00590e-008,0.8675
2.00976e-008,0.9473
2.01362e-008,1.0125
2.01747e-008,1.0630
2.02133e-008,1.1021
2.02519e-008,1.1340
2.02905e-008,1.1556
2.03290e-008,1.1631
2.03676e-008,1.1442
2.04062e-008,1.0814
2.04447e-008,0.9815
2.04833e-008,0.8635
2.05219e-008,0.7391
2.05605e-008,0.6240
2.05990e-008,0.5277
2.06376e-008,0.4522
2.06762e-008,0.4025
2.07148e-008,0.3735
2.07533e-008,0.3619
2.07919e-008,0.3744
2.08305e-008,0.4206
