.HEADER
..NAMES
Time,V U4.T3
.DATA
0.0e+000,1.0900
3.67e-011,1.0900
7.33e-011,1.0900
1.100e-010,1.0900
1.467e-010,1.0900
1.834e-010,1.0900
2.201e-010,1.0900
2.567e-010,1.0900
2.934e-010,1.0900
3.301e-010,1.0900
3.667e-010,1.0900
4.034e-010,1.0900
4.401e-010,1.0900
4.768e-010,1.0900
5.135e-010,1.0900
5.501e-010,1.0900
5.868e-010,1.0902
6.235e-010,1.0909
6.601e-010,1.0922
6.968e-010,1.0934
7.335e-010,1.0910
7.702e-010,1.0785
8.068e-010,1.0478
8.435e-010,0.9950
8.802e-010,0.9211
9.169e-010,0.8300
9.536e-010,0.7288
9.902e-010,0.6304
1.0269e-009,0.5487
1.0636e-009,0.4918
1.1003e-009,0.4605
1.1369e-009,0.4508
1.1736e-009,0.4551
1.2103e-009,0.4641
1.2469e-009,0.4701
1.2836e-009,0.4694
1.3203e-009,0.4619
1.3570e-009,0.4506
1.3936e-009,0.4394
1.4303e-009,0.4314
1.4670e-009,0.4272
1.5037e-009,0.4253
1.5403e-009,0.4225
1.5770e-009,0.4160
1.6137e-009,0.4065
1.6504e-009,0.3998
1.6871e-009,0.4065
1.7237e-009,0.4373
1.7604e-009,0.4971
1.7971e-009,0.5815
1.8338e-009,0.6810
1.8704e-009,0.7835
1.9071e-009,0.8742
1.9438e-009,0.9375
1.9805e-009,0.9669
2.0171e-009,0.9686
2.0538e-009,0.9550
2.0905e-009,0.9379
2.1272e-009,0.9268
2.1638e-009,0.9268
2.2005e-009,0.9377
2.2372e-009,0.9550
2.2738e-009,0.9722
2.3105e-009,0.9839
2.3472e-009,0.9879
2.3839e-009,0.9862
2.4205e-009,0.9835
2.4572e-009,0.9854
2.4939e-009,0.9958
2.5306e-009,1.0151
2.5672e-009,1.0405
2.6039e-009,1.0664
2.6406e-009,1.0868
2.6773e-009,1.0972
2.7139e-009,1.0970
2.7506e-009,1.0891
2.7873e-009,1.0781
2.8240e-009,1.0694
2.8606e-009,1.0667
2.8973e-009,1.0717
2.9340e-009,1.0826
2.9707e-009,1.0953
3.0073e-009,1.1047
3.0440e-009,1.1080
3.0807e-009,1.1053
3.1174e-009,1.0989
3.1540e-009,1.0920
3.1907e-009,1.0874
3.2274e-009,1.0869
3.2641e-009,1.0906
3.3007e-009,1.0972
3.3374e-009,1.1042
3.3741e-009,1.1089
3.4108e-009,1.1098
3.4475e-009,1.1071
3.4841e-009,1.1024
3.5208e-009,1.0958
3.5575e-009,1.0842
3.5942e-009,1.0608
3.6308e-009,1.0188
3.6675e-009,0.9564
3.7042e-009,0.8761
3.7408e-009,0.7816
3.7775e-009,0.6814
3.8142e-009,0.5897
3.8509e-009,0.5194
3.8875e-009,0.4755
3.9242e-009,0.4559
3.9609e-009,0.4549
3.9976e-009,0.4636
4.0342e-009,0.4728
4.0709e-009,0.4758
4.1076e-009,0.4706
4.1443e-009,0.4590
4.1809e-009,0.4455
4.2176e-009,0.4341
4.2543e-009,0.4272
4.2910e-009,0.4246
4.3276e-009,0.4234
4.3643e-009,0.4197
4.4010e-009,0.4116
4.4377e-009,0.4010
4.4743e-009,0.3959
4.5110e-009,0.4086
4.5477e-009,0.4489
4.5844e-009,0.5189
4.6211e-009,0.6111
4.6577e-009,0.7147
4.6944e-009,0.8162
4.7311e-009,0.8996
4.7678e-009,0.9509
4.8044e-009,0.9685
4.8411e-009,0.9620
4.8778e-009,0.9451
4.9145e-009,0.9294
4.9511e-009,0.9227
4.9878e-009,0.9283
5.0245e-009,0.9437
5.0612e-009,0.9628
5.0978e-009,0.9789
5.1345e-009,0.9874
5.1712e-009,0.9877
5.2079e-009,0.9836
5.2445e-009,0.9809
5.2812e-009,0.9855
5.3179e-009,1.0002
5.3546e-009,1.0247
5.3912e-009,1.0535
5.4279e-009,1.0761
5.4646e-009,1.0785
5.5013e-009,1.0492
5.5379e-009,0.9866
5.5746e-009,0.8973
5.6113e-009,0.7907
5.6480e-009,0.6795
5.6846e-009,0.5815
5.7213e-009,0.5118
5.7580e-009,0.4737
5.7947e-009,0.4605
5.8313e-009,0.4628
5.8680e-009,0.4708
5.9047e-009,0.4762
5.9414e-009,0.4746
5.9780e-009,0.4664
6.0147e-009,0.4550
6.0514e-009,0.4448
6.0881e-009,0.4396
6.1247e-009,0.4400
6.1614e-009,0.4434
6.1981e-009,0.4449
6.2348e-009,0.4400
6.2714e-009,0.4267
6.3081e-009,0.4078
6.3448e-009,0.3913
6.3815e-009,0.3903
6.4181e-009,0.4167
6.4548e-009,0.4759
6.4915e-009,0.5622
6.5282e-009,0.6649
6.5648e-009,0.7711
6.6015e-009,0.8651
6.6382e-009,0.9308
6.6749e-009,0.9620
6.7115e-009,0.9655
6.7482e-009,0.9541
6.7849e-009,0.9397
6.8215e-009,0.9309
6.8582e-009,0.9322
6.8949e-009,0.9431
6.9316e-009,0.9589
6.9682e-009,0.9738
7.0049e-009,0.9832
7.0416e-009,0.9854
7.0783e-009,0.9825
7.1149e-009,0.9797
7.1516e-009,0.9825
7.1883e-009,0.9943
7.2250e-009,1.0157
7.2616e-009,1.0428
7.2983e-009,1.0670
7.3350e-009,1.0750
7.3717e-009,1.0542
7.4083e-009,1.0001
7.4450e-009,0.9174
7.4817e-009,0.8143
7.5184e-009,0.7023
7.5550e-009,0.5986
