.HEADER
..NAMES
Time,V U2.G2
.DATA
0.0e+000,0.3218
3.86e-011,0.3218
7.72e-011,0.3218
1.157e-010,0.3218
1.543e-010,0.3218
1.929e-010,0.3218
2.314e-010,0.3218
2.700e-010,0.3218
3.086e-010,0.3218
3.472e-010,0.3218
3.857e-010,0.3218
4.243e-010,0.3218
4.629e-010,0.3218
5.015e-010,0.3218
5.401e-010,0.3218
5.786e-010,0.3218
6.172e-010,0.3218
6.558e-010,0.3218
6.944e-010,0.3218
7.329e-010,0.3218
7.715e-010,0.3218
8.101e-010,0.3218
8.486e-010,0.3218
8.872e-010,0.3218
9.258e-010,0.3218
9.644e-010,0.3218
1.0029e-009,0.3218
1.0415e-009,0.3218
1.0801e-009,0.3218
1.1187e-009,0.3218
1.1572e-009,0.3225
1.1958e-009,0.3279
1.2344e-009,0.3456
1.2730e-009,0.3898
1.3115e-009,0.4712
1.3501e-009,0.5831
1.3887e-009,0.7048
1.4273e-009,0.8031
1.4658e-009,0.8818
1.5044e-009,0.9517
1.5430e-009,1.0099
1.5816e-009,1.0530
1.6202e-009,1.0875
1.6587e-009,1.1337
1.6973e-009,1.1517
1.7359e-009,1.1474
1.7745e-009,1.1191
1.8130e-009,1.0482
1.8516e-009,0.9475
1.8902e-009,0.8399
1.9288e-009,0.7283
1.9673e-009,0.6225
2.0059e-009,0.5307
2.0445e-009,0.4650
2.0830e-009,0.4220
2.1216e-009,0.3834
2.1602e-009,0.3673
2.1988e-009,0.3880
2.2374e-009,0.4412
2.2759e-009,0.5251
2.3145e-009,0.6352
2.3531e-009,0.7411
2.3916e-009,0.8260
2.4302e-009,0.9026
2.4688e-009,0.9707
2.5074e-009,1.0248
2.5459e-009,1.0623
2.5845e-009,1.0889
2.6231e-009,1.1111
2.6617e-009,1.1257
2.7003e-009,1.1331
2.7388e-009,1.1415
2.7774e-009,1.1514
2.8160e-009,1.1602
2.8545e-009,1.1682
2.8931e-009,1.1742
2.9317e-009,1.1750
2.9703e-009,1.1737
3.0089e-009,1.1741
3.0474e-009,1.1786
3.0860e-009,1.1840
3.1246e-009,1.1790
3.1631e-009,1.1532
3.2017e-009,1.0865
3.2403e-009,0.9792
3.2789e-009,0.8654
3.3175e-009,0.7568
3.3560e-009,0.6511
3.3946e-009,0.5582
3.4332e-009,0.4860
3.4717e-009,0.4367
3.5103e-009,0.3981
3.5489e-009,0.3686
3.5875e-009,0.3749
3.6260e-009,0.4124
3.6646e-009,0.4846
3.7032e-009,0.5869
3.7418e-009,0.6985
3.7803e-009,0.7889
3.8189e-009,0.8675
3.8575e-009,0.9419
3.8961e-009,1.0043
3.9346e-009,1.0488
3.9732e-009,1.0790
4.0118e-009,1.1026
4.0504e-009,1.1204
4.0890e-009,1.1298
4.1275e-009,1.1372
4.1661e-009,1.1468
