.HEADER
..NAMES
Time,V U4.C2
.DATA
9.4895e-009,1.1584
9.5280e-009,1.1681
9.5666e-009,1.1692
9.6052e-009,1.1669
9.6437e-009,1.1676
9.6823e-009,1.1700
9.7209e-009,1.1719
9.7595e-009,1.1731
9.7981e-009,1.1740
9.8366e-009,1.1740
9.8752e-009,1.1745
9.9138e-009,1.1758
9.9524e-009,1.1775
9.9909e-009,1.1780
1.00295e-008,1.1769
1.00681e-008,1.1764
1.01066e-008,1.1773
1.01452e-008,1.1780
1.01838e-008,1.1784
1.02224e-008,1.1785
1.02610e-008,1.1785
1.02995e-008,1.1782
1.03381e-008,1.1782
1.03767e-008,1.1785
1.04152e-008,1.1788
1.04538e-008,1.1786
1.04924e-008,1.1782
1.05310e-008,1.1783
1.05695e-008,1.1785
1.06081e-008,1.1786
1.06467e-008,1.1786
1.06853e-008,1.1786
1.07239e-008,1.1798
1.07624e-008,1.1843
1.08010e-008,1.1843
1.08396e-008,1.1649
1.08781e-008,1.1050
1.09167e-008,0.9980
1.09553e-008,0.8782
1.09939e-008,0.7677
1.10324e-008,0.6613
1.10710e-008,0.5683
1.11096e-008,0.4957
1.11482e-008,0.4440
1.11868e-008,0.4078
1.12253e-008,0.3827
1.12639e-008,0.3657
1.13025e-008,0.3531
1.13410e-008,0.3398
1.13796e-008,0.3261
1.14182e-008,0.3199
1.14568e-008,0.3197
1.14953e-008,0.3196
1.15339e-008,0.3200
1.15725e-008,0.3216
1.16111e-008,0.3233
1.16497e-008,0.3241
1.16882e-008,0.3277
1.17268e-008,0.3435
1.17654e-008,0.3843
1.18039e-008,0.4620
1.18425e-008,0.5735
1.18811e-008,0.7008
1.19197e-008,0.8043
1.19583e-008,0.8792
1.19968e-008,0.9451
1.20354e-008,1.0023
1.20740e-008,1.0472
1.21126e-008,1.0819
1.21511e-008,1.1312
1.21897e-008,1.1590
1.22283e-008,1.1556
1.22668e-008,1.1341
1.23054e-008,1.0641
1.23440e-008,0.9480
1.23826e-008,0.8230
1.24212e-008,0.7066
1.24597e-008,0.6051
1.24983e-008,0.5242
1.25369e-008,0.4632
1.25755e-008,0.4214
1.26140e-008,0.3957
1.26526e-008,0.3726
1.26912e-008,0.3549
1.27297e-008,0.3452
1.27683e-008,0.3338
1.28069e-008,0.3218
1.28455e-008,0.3170
1.28841e-008,0.3173
1.29226e-008,0.3187
1.29612e-008,0.3207
1.29998e-008,0.3225
1.30383e-008,0.3242
1.30769e-008,0.3260
1.31155e-008,0.3330
1.31541e-008,0.3595
1.31926e-008,0.4204
1.32312e-008,0.5180
1.32698e-008,0.6405
1.33084e-008,0.7595
1.33470e-008,0.8454
1.33855e-008,0.9151
1.34241e-008,0.9766
1.34627e-008,1.0276
1.35012e-008,1.0657
1.35398e-008,1.0930
1.35784e-008,1.1116
1.36170e-008,1.1257
1.36555e-008,1.1393
1.36941e-008,1.1529
1.37327e-008,1.1649
1.37713e-008,1.1701
1.38099e-008,1.1680
1.38484e-008,1.1670
1.38870e-008,1.1690
1.39256e-008,1.1713
1.39641e-008,1.1727
1.40027e-008,1.1737
1.40413e-008,1.1741
1.40799e-008,1.1743
1.41185e-008,1.1753
1.41570e-008,1.1769
1.41956e-008,1.1781
1.42342e-008,1.1776
1.42728e-008,1.1765
1.43113e-008,1.1769
1.43499e-008,1.1778
1.43885e-008,1.1783
1.44270e-008,1.1785
1.44656e-008,1.1786
1.45042e-008,1.1784
1.45428e-008,1.1782
1.45814e-008,1.1784
1.46199e-008,1.1787
1.46585e-008,1.1788
1.46971e-008,1.1785
1.47357e-008,1.1782
1.47742e-008,1.1785
1.48128e-008,1.1787
1.48514e-008,1.1787
1.48899e-008,1.1786
1.49285e-008,1.1789
1.49671e-008,1.1823
1.50057e-008,1.1857
1.50443e-008,1.1768
1.50828e-008,1.1366
1.51214e-008,1.0475
1.51600e-008,0.9278
1.51985e-008,0.8138
1.52371e-008,0.7054
1.52757e-008,0.6054
1.53143e-008,0.5237
1.53528e-008,0.4636
1.53914e-008,0.4209
1.54300e-008,0.3826
1.54686e-008,0.3665
1.55071e-008,0.3859
1.55457e-008,0.4335
1.55843e-008,0.5169
1.56229e-008,0.6370
1.56615e-008,0.7594
1.57000e-008,0.8494
1.57386e-008,0.9231
1.57772e-008,0.9866
1.58158e-008,1.0378
1.58543e-008,1.0744
1.58929e-008,1.0987
1.59315e-008,1.1175
1.59701e-008,1.1326
1.60086e-008,1.1433
1.60472e-008,1.1541
1.60858e-008,1.1666
1.61243e-008,1.1725
1.61629e-008,1.1702
1.62015e-008,1.1689
1.62401e-008,1.1705
1.62786e-008,1.1721
1.63172e-008,1.1728
1.63558e-008,1.1761
1.63944e-008,1.1833
1.64329e-008,1.1819
1.64715e-008,1.1590
1.65101e-008,1.0947
1.65487e-008,0.9855
1.65873e-008,0.8654
1.66258e-008,0.7539
1.66644e-008,0.6490
1.67030e-008,0.5591
1.67416e-008,0.4891
1.67801e-008,0.4392
1.68187e-008,0.4010
1.68573e-008,0.3696
1.68959e-008,0.3731
1.69344e-008,0.4061
1.69730e-008,0.4726
1.70116e-008,0.5763
1.70501e-008,0.7044
1.70887e-008,0.8096
1.71273e-008,0.8894
1.71659e-008,0.9581
1.72044e-008,1.0153
1.72430e-008,1.0589
1.72816e-008,1.0950
1.73202e-008,1.1435
1.73588e-008,1.1611
1.73973e-008,1.1562
1.74359e-008,1.1218
1.74745e-008,1.0380
1.75131e-008,0.9195
1.75516e-008,0.7974
1.75902e-008,0.6816
1.76288e-008,0.5833
1.76674e-008,0.5070
1.77059e-008,0.4506
1.77445e-008,0.4121
1.77831e-008,0.3785
1.78216e-008,0.3665
1.78602e-008,0.3885
1.78988e-008,0.4449
1.79374e-008,0.5378
1.79759e-008,0.6609
1.80145e-008,0.7756
1.80531e-008,0.8620
1.80917e-008,0.9361
1.81302e-008,0.9982
1.81688e-008,1.0465
1.82074e-008,1.0829
1.82460e-008,1.1304
1.82846e-008,1.1592
1.83231e-008,1.1584
1.83617e-008,1.1378
1.84003e-008,1.0704
1.84389e-008,0.9584
1.84774e-008,0.8354
1.85160e-008,0.7172
1.85546e-008,0.6125
1.85932e-008,0.5290
1.86317e-008,0.4665
1.86703e-008,0.4230
1.87089e-008,0.3882
1.87474e-008,0.3659
1.87860e-008,0.3781
1.88246e-008,0.4232
1.88632e-008,0.5047
1.89017e-008,0.6202
1.89403e-008,0.7428
1.89789e-008,0.8366
1.90175e-008,0.9138
1.90560e-008,0.9799
1.90946e-008,1.0327
1.91332e-008,1.0715
1.91718e-008,1.0973
1.92104e-008,1.1152
1.92489e-008,1.1300
1.92875e-008,1.1421
1.93261e-008,1.1534
1.93647e-008,1.1653
1.94032e-008,1.1718
1.94418e-008,1.1704
1.94804e-008,1.1692
1.95190e-008,1.1704
1.95575e-008,1.1719
1.95961e-008,1.1728
1.96347e-008,1.1755
1.96732e-008,1.1824
1.97118e-008,1.1824
1.97504e-008,1.1632
1.97890e-008,1.1042
1.98275e-008,0.9984
1.98661e-008,0.8776
1.99047e-008,0.7656
1.99433e-008,0.6597
1.99819e-008,0.5678
2.00204e-008,0.4956
2.00590e-008,0.4438
2.00976e-008,0.4050
2.01362e-008,0.3714
2.01747e-008,0.3711
2.02133e-008,0.4013
2.02519e-008,0.4638
2.02905e-008,0.5633
2.03290e-008,0.6910
2.03676e-008,0.8001
2.04062e-008,0.8814
2.04447e-008,0.9512
2.04833e-008,1.0098
2.05219e-008,1.0549
2.05605e-008,1.0905
2.05990e-008,1.1392
2.06376e-008,1.1609
2.06762e-008,1.1575
2.07148e-008,1.1277
2.07533e-008,1.0492
2.07919e-008,0.9327
2.08305e-008,0.8103
2.08691e-008,0.6933
2.09077e-008,0.5928
2.09462e-008,0.5142
2.09848e-008,0.4558
2.10234e-008,0.4166
2.10620e-008,0.3918
2.11005e-008,0.3695
2.11391e-008,0.3536
2.11777e-008,0.3433
2.12163e-008,0.3315
2.12548e-008,0.3213
2.12934e-008,0.3175
2.13320e-008,0.3173
2.13705e-008,0.3186
2.14091e-008,0.3209
2.14477e-008,0.3228
2.14863e-008,0.3244
2.15248e-008,0.3265
2.15634e-008,0.3357
2.16020e-008,0.3664
2.16406e-008,0.4329
2.16791e-008,0.5354
2.17177e-008,0.6603
2.17563e-008,0.7748
2.17949e-008,0.8563
2.18335e-008,0.9250
2.18720e-008,0.9852
2.19106e-008,1.0343
2.19492e-008,1.0705
2.19878e-008,1.0964
2.20263e-008,1.1140
2.20649e-008,1.1277
2.21035e-008,1.1414
2.21420e-008,1.1550
2.21806e-008,1.1664
2.22192e-008,1.1701
2.22578e-008,1.1676
2.22963e-008,1.1672
2.23349e-008,1.1694
2.23735e-008,1.1716
2.24121e-008,1.1729
2.24506e-008,1.1739
2.24892e-008,1.1741
2.25278e-008,1.1744
2.25664e-008,1.1756
2.26050e-008,1.1772
2.26435e-008,1.1782
2.26821e-008,1.1774
2.27207e-008,1.1765
2.27593e-008,1.1771
2.27978e-008,1.1780
2.28364e-008,1.1784
2.28750e-008,1.1786
2.29136e-008,1.1786
2.29521e-008,1.1784
2.29907e-008,1.1783
2.30293e-008,1.1785
2.30678e-008,1.1788
2.31064e-008,1.1788
2.31450e-008,1.1784
2.31836e-008,1.1783
2.32221e-008,1.1785
2.32607e-008,1.1787
2.32993e-008,1.1787
2.33379e-008,1.1787
2.33764e-008,1.1786
2.34150e-008,1.1785
2.34536e-008,1.1785
2.34922e-008,1.1786
2.35308e-008,1.1787
2.35693e-008,1.1787
2.36079e-008,1.1786
2.36465e-008,1.1786
2.36851e-008,1.1787
2.37236e-008,1.1787
2.37622e-008,1.1787
2.38008e-008,1.1787
2.38394e-008,1.1787
2.38779e-008,1.1786
2.39165e-008,1.1787
2.39551e-008,1.1787
2.39936e-008,1.1787
2.40322e-008,1.1787
2.40708e-008,1.1787
2.41094e-008,1.1787
2.41479e-008,1.1787
2.41865e-008,1.1787
2.42251e-008,1.1787
2.42637e-008,1.1787
2.43023e-008,1.1788
2.43408e-008,1.1816
2.43794e-008,1.1858
2.44180e-008,1.1799
2.44566e-008,1.1462
2.44951e-008,1.0650
2.45337e-008,0.9474
2.45723e-008,0.8317
2.46109e-008,0.7227
2.46494e-008,0.6205
2.46880e-008,0.5355
2.47266e-008,0.4720
2.47651e-008,0.4271
2.48037e-008,0.3873
2.48423e-008,0.3662
2.48809e-008,0.3812
2.49194e-008,0.4232
2.49580e-008,0.5005
2.49966e-008,0.6156
2.50352e-008,0.7415
2.50737e-008,0.8362
2.51123e-008,0.9117
2.51509e-008,0.9770
2.51895e-008,1.0305
2.52281e-008,1.0696
2.52666e-008,1.1095
2.53052e-008,1.1538
2.53438e-008,1.1611
2.53824e-008,1.1501
2.54209e-008,1.1008
2.54595e-008,1.0030
2.54981e-008,0.8810
2.55367e-008,0.7601
2.55752e-008,0.6486
2.56138e-008,0.5572
2.56524e-008,0.4875
2.56909e-008,0.4369
2.57295e-008,0.4014
2.57681e-008,0.3713
2.58067e-008,0.3702
2.58452e-008,0.4019
2.58838e-008,0.4699
2.59224e-008,0.5738
2.59610e-008,0.6998
2.59995e-008,0.8047
2.60381e-008,0.8862
2.60767e-008,0.9568
2.61153e-008,1.0148
2.61539e-008,1.0586
2.61924e-008,1.0956
2.62310e-008,1.1438
2.62696e-008,1.1602
2.63082e-008,1.1556
2.63467e-008,1.1225
2.63853e-008,1.0389
2.64239e-008,0.9198
2.64625e-008,0.7978
2.65010e-008,0.6825
2.65396e-008,0.5841
2.65782e-008,0.5074
2.66167e-008,0.4508
2.66553e-008,0.4138
2.66939e-008,0.3894
2.67325e-008,0.3671
2.67710e-008,0.3524
2.68096e-008,0.3425
2.68482e-008,0.3303
2.68868e-008,0.3205
2.69254e-008,0.3174
2.69639e-008,0.3175
2.70025e-008,0.3189
2.70411e-008,0.3211
2.70797e-008,0.3230
2.71182e-008,0.3246
2.71568e-008,0.3248
2.71954e-008,0.3233
2.72340e-008,0.3230
2.72725e-008,0.3229
2.73111e-008,0.3216
2.73497e-008,0.3209
2.73882e-008,0.3216
2.74268e-008,0.3219
2.74654e-008,0.3215
2.75040e-008,0.3214
2.75425e-008,0.3212
2.75811e-008,0.3210
2.76197e-008,0.3206
2.76583e-008,0.3202
2.76968e-008,0.3204
2.77354e-008,0.3205
2.77740e-008,0.3203
2.78126e-008,0.3203
2.78512e-008,0.3206
2.78897e-008,0.3206
2.79283e-008,0.3204
2.79669e-008,0.3204
2.80055e-008,0.3204
2.80440e-008,0.3204
2.80826e-008,0.3218
2.81212e-008,0.3302
2.81598e-008,0.3553
2.81983e-008,0.4131
2.82369e-008,0.5093
2.82755e-008,0.6315
2.83140e-008,0.7510
2.83526e-008,0.8378
2.83912e-008,0.9087
2.84298e-008,0.9716
2.84683e-008,1.0239
2.85069e-008,1.0630
2.85455e-008,1.0913
2.85841e-008,1.1109
2.86226e-008,1.1248
2.86612e-008,1.1382
2.86998e-008,1.1520
2.87384e-008,1.1644
2.87770e-008,1.1698
2.88155e-008,1.1678
2.88541e-008,1.1669
2.88927e-008,1.1689
2.89313e-008,1.1712
2.89698e-008,1.1726
2.90084e-008,1.1750
2.90470e-008,1.1814
2.90855e-008,1.1829
2.91241e-008,1.1682
2.91627e-008,1.1176
2.92013e-008,1.0177
2.92398e-008,0.8959
2.92784e-008,0.7830
2.93170e-008,0.6763
2.93556e-008,0.5817
2.93941e-008,0.5060
2.94327e-008,0.4511
2.94713e-008,0.4107
2.95099e-008,0.3742
2.95485e-008,0.3686
2.95870e-008,0.3944
2.96256e-008,0.4512
2.96642e-008,0.5445
2.97028e-008,0.6701
2.97413e-008,0.7848
2.97799e-008,0.8692
2.98185e-008,0.9406
2.98570e-008,1.0011
2.98956e-008,1.0486
2.99342e-008,1.0835
2.99728e-008,1.1304
3.00113e-008,1.1605
3.00499e-008,1.1590
3.00885e-008,1.1355
3.01271e-008,1.0652
3.01657e-008,0.9526
3.02042e-008,0.8298
3.02428e-008,0.7116
3.02814e-008,0.6077
3.03199e-008,0.5255
3.03585e-008,0.4641
3.03971e-008,0.4209
3.04357e-008,0.3854
3.04743e-008,0.3663
3.05128e-008,0.3797
3.05514e-008,0.4257
3.05900e-008,0.5090
3.06285e-008,0.6263
3.06671e-008,0.7478
3.07057e-008,0.8403
3.07443e-008,0.9172
3.07829e-008,0.9828
3.08214e-008,1.0350
3.08600e-008,1.0732
3.08986e-008,1.1156
3.09372e-008,1.1559
3.09757e-008,1.1596
3.10143e-008,1.1470
3.10529e-008,1.0937
3.10914e-008,0.9911
3.11300e-008,0.8681
3.11686e-008,0.7482
3.12072e-008,0.6388
3.12458e-008,0.5493
3.12843e-008,0.4814
3.13229e-008,0.4329
3.13615e-008,0.4028
3.14000e-008,0.3799
3.14386e-008,0.3598
3.14772e-008,0.3482
3.15158e-008,0.3376
3.15544e-008,0.3254
3.15929e-008,0.3184
3.16315e-008,0.3172
3.16701e-008,0.3179
3.17087e-008,0.3198
3.17472e-008,0.3219
3.17858e-008,0.3236
3.18244e-008,0.3253
3.18629e-008,0.3296
3.19015e-008,0.3480
3.19401e-008,0.3962
3.19787e-008,0.4826
3.20173e-008,0.5989
3.20558e-008,0.7240
3.20944e-008,0.8202
3.21330e-008,0.8930
3.21715e-008,0.9575
3.22101e-008,1.0124
3.22487e-008,1.0547
3.22873e-008,1.0902
3.23259e-008,1.1403
3.23644e-008,1.1589
3.24030e-008,1.1540
3.24416e-008,1.1248
3.24801e-008,1.0436
3.25187e-008,0.9223
3.25573e-008,0.7989
3.25959e-008,0.6848
3.26344e-008,0.5872
3.26730e-008,0.5104
3.27116e-008,0.4533
3.27502e-008,0.4154
3.27888e-008,0.3910
3.28273e-008,0.3682
3.28659e-008,0.3527
3.29045e-008,0.3434
3.29430e-008,0.3311
3.29816e-008,0.3201
3.30202e-008,0.3169
3.30588e-008,0.3176
3.30974e-008,0.3191
3.31359e-008,0.3211
3.31745e-008,0.3229
3.32131e-008,0.3245
3.32516e-008,0.3266
3.32902e-008,0.3362
3.33288e-008,0.3686
3.33674e-008,0.4373
3.34060e-008,0.5409
3.34445e-008,0.6660
3.34831e-008,0.7792
3.35217e-008,0.8599
3.35603e-008,0.9281
3.35988e-008,0.9877
3.36374e-008,1.0362
3.36760e-008,1.0719
3.37145e-008,1.0973
3.37531e-008,1.1146
3.37917e-008,1.1284
3.38303e-008,1.1421
3.38689e-008,1.1555
3.39074e-008,1.1667
3.39460e-008,1.1700
3.39846e-008,1.1675
3.40231e-008,1.1672
3.40617e-008,1.1695
3.41003e-008,1.1716
3.41389e-008,1.1730
3.41775e-008,1.1739
3.42160e-008,1.1741
3.42546e-008,1.1745
3.42932e-008,1.1756
3.43318e-008,1.1772
3.43703e-008,1.1781
3.44089e-008,1.1774
3.44475e-008,1.1765
3.44860e-008,1.1771
3.45246e-008,1.1780
3.45632e-008,1.1784
3.46018e-008,1.1786
3.46404e-008,1.1796
3.46789e-008,1.1838
3.47175e-008,1.1845
3.47561e-008,1.1670
3.47946e-008,1.1104
3.48332e-008,1.0058
3.48718e-008,0.8852
3.49104e-008,0.7743
3.49490e-008,0.6678
3.49875e-008,0.5738
3.50261e-008,0.4998
3.50647e-008,0.4468
3.51032e-008,0.4067
3.51418e-008,0.3717
3.51804e-008,0.3705
3.52190e-008,0.3990
3.52575e-008,0.4591
3.52961e-008,0.5562
3.53347e-008,0.6836
3.53733e-008,0.7948
3.54119e-008,0.8769
3.54504e-008,0.9471
3.54890e-008,1.0065
3.55276e-008,1.0527
3.55661e-008,1.0873
3.56047e-008,1.1353
3.56433e-008,1.1613
3.56819e-008,1.1582
3.57205e-008,1.1306
3.57590e-008,1.0551
3.57976e-008,0.9401
3.58362e-008,0.8174
3.58747e-008,0.7000
3.59133e-008,0.5982
3.59519e-008,0.5184
3.59905e-008,0.4589
3.60290e-008,0.4183
3.60676e-008,0.3931
3.61062e-008,0.3711
3.61448e-008,0.3544
3.61834e-008,0.3439
3.62219e-008,0.3322
3.62605e-008,0.3218
3.62991e-008,0.3176
3.63376e-008,0.3173
3.63762e-008,0.3186
3.64148e-008,0.3208
3.64534e-008,0.3227
3.64920e-008,0.3243
3.65305e-008,0.3264
3.65691e-008,0.3348
3.66077e-008,0.3636
3.66462e-008,0.4278
3.66848e-008,0.5285
3.67234e-008,0.6526
3.67620e-008,0.7688
3.68006e-008,0.8519
3.68391e-008,0.9211
3.68777e-008,0.9819
3.69163e-008,1.0317
3.69549e-008,1.0689
3.69934e-008,1.1104
3.70320e-008,1.1537
3.70706e-008,1.1575
3.71091e-008,1.1469
3.71477e-008,1.0976
3.71863e-008,0.9953
3.72249e-008,0.8695
3.72635e-008,0.7497
3.73020e-008,0.6416
3.73406e-008,0.5525
3.73792e-008,0.4843
3.74177e-008,0.4349
3.74563e-008,0.3993
3.74949e-008,0.3698
3.75335e-008,0.3705
3.75721e-008,0.4043
3.76106e-008,0.4745
3.76492e-008,0.5791
3.76878e-008,0.7046
3.77263e-008,0.8089
3.77649e-008,0.8905
