.HEADER
..NAMES
Time,V U5.A3
.DATA
9.4895e-009,0.7553
9.5280e-009,0.6465
9.5666e-009,0.5540
9.6052e-009,0.4864
9.6437e-009,0.4376
9.6823e-009,0.3971
9.7209e-009,0.3708
9.7595e-009,0.3671
9.7981e-009,0.3975
9.8366e-009,0.4666
9.8752e-009,0.5749
9.9138e-009,0.6974
9.9524e-009,0.8061
9.9909e-009,0.8906
1.00295e-008,0.9570
1.00681e-008,1.0098
1.01066e-008,1.0534
1.01452e-008,1.0876
1.01838e-008,1.1109
1.02224e-008,1.1274
1.02610e-008,1.1405
1.02995e-008,1.1497
1.03381e-008,1.1568
1.03767e-008,1.1645
1.04152e-008,1.1702
1.04538e-008,1.1716
1.04924e-008,1.1701
1.05310e-008,1.1686
1.05695e-008,1.1688
1.06081e-008,1.1719
1.06467e-008,1.1778
1.06853e-008,1.1815
1.07239e-008,1.1718
1.07624e-008,1.1316
1.08010e-008,1.0461
1.08396e-008,0.9287
1.08781e-008,0.8087
1.09167e-008,0.6999
1.09553e-008,0.6028
1.09939e-008,0.5231
1.10324e-008,0.4633
1.10710e-008,0.4216
1.11096e-008,0.3924
1.11482e-008,0.3700
1.11868e-008,0.3521
1.12253e-008,0.3411
1.12639e-008,0.3339
1.13025e-008,0.3260
1.13410e-008,0.3192
1.13796e-008,0.3175
1.14182e-008,0.3197
1.14568e-008,0.3222
1.14953e-008,0.3235
1.15339e-008,0.3243
1.15725e-008,0.3271
1.16111e-008,0.3372
1.16497e-008,0.3653
1.16882e-008,0.4255
1.17268e-008,0.5234
1.17654e-008,0.6463
1.18039e-008,0.7625
1.18425e-008,0.8512
1.18811e-008,0.9177
1.19197e-008,0.9748
1.19583e-008,1.0235
1.19968e-008,1.0640
1.20354e-008,1.1095
1.20740e-008,1.1492
1.21126e-008,1.1658
1.21511e-008,1.1488
1.21897e-008,1.0922
1.22283e-008,0.9897
1.22668e-008,0.8676
1.23054e-008,0.7501
1.23440e-008,0.6413
1.23826e-008,0.5502
1.24212e-008,0.4839
1.24597e-008,0.4359
1.24983e-008,0.4012
1.25369e-008,0.3781
1.25755e-008,0.3594
1.26140e-008,0.3445
1.26526e-008,0.3348
1.26912e-008,0.3275
1.27297e-008,0.3203
1.27683e-008,0.3171
1.28069e-008,0.3180
1.28455e-008,0.3201
1.28841e-008,0.3221
1.29226e-008,0.3241
1.29612e-008,0.3257
1.29998e-008,0.3307
1.30383e-008,0.3485
1.30769e-008,0.3921
1.31155e-008,0.4721
1.31541e-008,0.5862
1.31926e-008,0.7098
1.32312e-008,0.8127
1.32698e-008,0.8882
1.33084e-008,0.9488
1.33470e-008,1.0012
1.33855e-008,1.0450
1.34241e-008,1.0870
1.34627e-008,1.1317
1.35012e-008,1.1615
1.35398e-008,1.1605
1.35784e-008,1.1253
1.36170e-008,1.0425
1.36555e-008,0.9261
1.36941e-008,0.8044
1.37327e-008,0.6917
1.37713e-008,0.5901
1.38099e-008,0.5125
1.38484e-008,0.4566
1.38870e-008,0.4160
1.39256e-008,0.3878
1.39641e-008,0.3679
1.40027e-008,0.3508
1.40413e-008,0.3388
1.40799e-008,0.3310
1.41185e-008,0.3234
1.41570e-008,0.3179
1.41956e-008,0.3171
1.42342e-008,0.3191
1.42728e-008,0.3211
1.43113e-008,0.3232
1.43499e-008,0.3248
1.43885e-008,0.3251
1.44270e-008,0.3249
1.44656e-008,0.3241
1.45042e-008,0.3228
1.45428e-008,0.3222
1.45814e-008,0.3224
1.46199e-008,0.3221
1.46585e-008,0.3215
1.46971e-008,0.3214
1.47357e-008,0.3214
1.47742e-008,0.3212
1.48128e-008,0.3210
1.48514e-008,0.3207
1.48899e-008,0.3204
1.49285e-008,0.3204
1.49671e-008,0.3204
1.50057e-008,0.3202
1.50443e-008,0.3203
1.50828e-008,0.3205
1.51214e-008,0.3205
1.51600e-008,0.3204
1.51985e-008,0.3204
1.52371e-008,0.3204
1.52757e-008,0.3205
1.53143e-008,0.3219
1.53528e-008,0.3290
1.53914e-008,0.3513
1.54300e-008,0.4025
1.54686e-008,0.4908
1.55071e-008,0.6089
1.55457e-008,0.7299
1.55843e-008,0.8277
1.56229e-008,0.8994
1.56615e-008,0.9585
1.57000e-008,1.0097
1.57386e-008,1.0522
1.57772e-008,1.0959
1.58158e-008,1.1392
1.58543e-008,1.1641
1.58929e-008,1.1560
1.59315e-008,1.1121
1.59701e-008,1.0199
1.60086e-008,0.8998
1.60472e-008,0.7798
1.60858e-008,0.6691
1.61243e-008,0.5717
1.61629e-008,0.4991
1.62015e-008,0.4469
1.62401e-008,0.4050
1.62786e-008,0.3746
1.63172e-008,0.3654
1.63558e-008,0.3880
1.63944e-008,0.4482
1.64329e-008,0.5495
1.64715e-008,0.6716
1.65101e-008,0.7851
1.65487e-008,0.8744
1.65873e-008,0.9442
1.66258e-008,0.9994
1.66644e-008,1.0449
1.67030e-008,1.0870
1.67416e-008,1.1307
1.67801e-008,1.1611
1.68187e-008,1.1644
1.68573e-008,1.1347
1.68959e-008,1.0583
1.69344e-008,0.9441
1.69730e-008,0.8206
1.70116e-008,0.7059
1.70501e-008,0.6024
1.70887e-008,0.5210
1.71273e-008,0.4617
1.71659e-008,0.4193
1.72044e-008,0.3901
1.72430e-008,0.3697
1.72816e-008,0.3521
1.73202e-008,0.3396
1.73588e-008,0.3318
1.73973e-008,0.3245
1.74359e-008,0.3184
1.74745e-008,0.3167
1.75131e-008,0.3185
1.75516e-008,0.3209
1.75902e-008,0.3230
1.76288e-008,0.3246
1.76674e-008,0.3269
1.77059e-008,0.3360
1.77445e-008,0.3630
1.77831e-008,0.4210
1.78216e-008,0.5166
1.78602e-008,0.6389
1.78988e-008,0.7566
1.79374e-008,0.8472
1.79759e-008,0.9146
1.80145e-008,0.9717
1.80531e-008,1.0207
1.80917e-008,1.0613
1.81302e-008,1.1061
1.81688e-008,1.1466
1.82074e-008,1.1656
1.82460e-008,1.1505
1.82846e-008,1.0966
1.83231e-008,0.9961
1.83617e-008,0.8744
1.84003e-008,0.7563
1.84389e-008,0.6471
1.84774e-008,0.5544
1.85160e-008,0.4869
1.85546e-008,0.4379
1.85932e-008,0.3975
1.86317e-008,0.3710
1.86703e-008,0.3673
1.87089e-008,0.3975
1.87474e-008,0.4665
1.87860e-008,0.5745
1.88246e-008,0.6970
1.88632e-008,0.8059
1.89017e-008,0.8905
1.89403e-008,0.9569
1.89789e-008,1.0097
1.90175e-008,1.0534
1.90560e-008,1.0876
1.90946e-008,1.1110
1.91332e-008,1.1275
1.91718e-008,1.1406
1.92104e-008,1.1498
1.92489e-008,1.1569
1.92875e-008,1.1645
1.93261e-008,1.1702
1.93647e-008,1.1717
1.94032e-008,1.1702
1.94418e-008,1.1686
1.94804e-008,1.1688
1.95190e-008,1.1719
1.95575e-008,1.1778
1.95961e-008,1.1816
