.HEADER
..NAMES
Time,V U3.C7&B7
.DATA
9.4509e-009,0.6736
9.4895e-009,0.7869
9.5280e-009,0.8809
9.5666e-009,0.9578
9.6052e-009,1.0133
9.6437e-009,1.0545
9.6823e-009,1.0934
9.7209e-009,1.1416
9.7595e-009,1.1648
9.7981e-009,1.1702
9.8366e-009,1.1483
9.8752e-009,1.0737
9.9138e-009,0.9574
9.9524e-009,0.8351
9.9909e-009,0.7091
1.00295e-008,0.5970
1.00681e-008,0.5105
1.01066e-008,0.4496
1.01452e-008,0.4082
1.01838e-008,0.3739
1.02224e-008,0.3624
1.02610e-008,0.3768
1.02995e-008,0.4240
1.03381e-008,0.5098
1.03767e-008,0.6333
1.04152e-008,0.7537
1.04538e-008,0.8528
1.04924e-008,0.9358
1.05310e-008,0.9978
1.05695e-008,1.0422
1.06081e-008,1.0803
1.06467e-008,1.1276
1.06853e-008,1.1606
1.07239e-008,1.1704
1.07624e-008,1.1598
1.08010e-008,1.1039
1.08396e-008,0.9956
1.08781e-008,0.8744
1.09167e-008,0.7485
1.09553e-008,0.6299
1.09939e-008,0.5350
1.10324e-008,0.4665
1.10710e-008,0.4199
1.11096e-008,0.3836
1.11482e-008,0.3627
1.11868e-008,0.3691
1.12253e-008,0.4052
1.12639e-008,0.4777
1.13025e-008,0.5924
1.13410e-008,0.7181
1.13796e-008,0.8232
1.14182e-008,0.9116
1.14568e-008,0.9806
1.14953e-008,1.0294
1.15339e-008,1.0682
1.15725e-008,1.1097
1.16111e-008,1.1531
1.16497e-008,1.1680
1.16882e-008,1.1661
1.17268e-008,1.1280
1.17654e-008,1.0333
1.18039e-008,0.9128
1.18425e-008,0.7884
1.18811e-008,0.6653
1.19197e-008,0.5621
1.19583e-008,0.4856
1.19968e-008,0.4326
1.20354e-008,0.3946
1.20740e-008,0.3659
1.21126e-008,0.3644
1.21511e-008,0.3898
1.21897e-008,0.4504
1.22283e-008,0.5525
1.22668e-008,0.6799
1.23054e-008,0.7921
1.23440e-008,0.8854
1.23826e-008,0.9611
1.24212e-008,1.0156
1.24597e-008,1.0564
1.24983e-008,1.0950
1.25369e-008,1.1426
1.25755e-008,1.1652
1.26140e-008,1.1695
