.HEADER
..NAMES
Time,V U5.D3
.DATA
9.4895e-009,0.3179
9.5280e-009,0.3200
9.5666e-009,0.3221
9.6052e-009,0.3240
9.6437e-009,0.3257
9.6823e-009,0.3267
9.7209e-009,0.3266
9.7595e-009,0.3255
9.7981e-009,0.3244
9.8366e-009,0.3238
9.8752e-009,0.3235
9.9138e-009,0.3231
9.9524e-009,0.3231
9.9909e-009,0.3231
1.00295e-008,0.3228
1.00681e-008,0.3223
1.01066e-008,0.3219
1.01452e-008,0.3217
1.01838e-008,0.3215
1.02224e-008,0.3214
1.02610e-008,0.3214
1.02995e-008,0.3214
1.03381e-008,0.3216
1.03767e-008,0.3216
1.04152e-008,0.3216
1.04538e-008,0.3215
1.04924e-008,0.3215
1.05310e-008,0.3215
1.05695e-008,0.3214
1.06081e-008,0.3225
1.06467e-008,0.3279
1.06853e-008,0.3455
1.07239e-008,0.3874
1.07624e-008,0.4627
1.08010e-008,0.5687
1.08396e-008,0.6855
1.08781e-008,0.7901
1.09167e-008,0.8752
1.09553e-008,0.9470
1.09939e-008,1.0055
1.10324e-008,1.0498
1.10710e-008,1.0821
1.11096e-008,1.1057
1.11482e-008,1.1240
1.11868e-008,1.1393
1.12253e-008,1.1514
1.12639e-008,1.1601
1.13025e-008,1.1663
1.13410e-008,1.1688
1.13796e-008,1.1680
1.14182e-008,1.1673
1.14568e-008,1.1683
1.14953e-008,1.1700
1.15339e-008,1.1711
1.15725e-008,1.1720
1.16111e-008,1.1730
1.16497e-008,1.1740
1.16882e-008,1.1749
1.17268e-008,1.1753
1.17654e-008,1.1755
1.18039e-008,1.1758
1.18425e-008,1.1761
1.18811e-008,1.1763
1.19197e-008,1.1767
1.19583e-008,1.1773
1.19968e-008,1.1775
1.20354e-008,1.1775
1.20740e-008,1.1774
1.21126e-008,1.1774
1.21511e-008,1.1774
1.21897e-008,1.1774
1.22283e-008,1.1774
1.22668e-008,1.1774
1.23054e-008,1.1775
1.23440e-008,1.1775
1.23826e-008,1.1775
1.24212e-008,1.1775
1.24597e-008,1.1776
1.24983e-008,1.1775
1.25369e-008,1.1775
1.25755e-008,1.1775
1.26140e-008,1.1776
1.26526e-008,1.1776
1.26912e-008,1.1776
1.27297e-008,1.1776
1.27683e-008,1.1776
1.28069e-008,1.1776
1.28455e-008,1.1777
1.28841e-008,1.1777
1.29226e-008,1.1777
1.29612e-008,1.1794
1.29998e-008,1.1823
1.30383e-008,1.1806
1.30769e-008,1.1610
1.31155e-008,1.1063
1.31541e-008,1.0139
1.31926e-008,0.9023
1.32312e-008,0.7881
1.32698e-008,0.6777
1.33084e-008,0.5790
1.33470e-008,0.5001
1.33855e-008,0.4428
1.34241e-008,0.3988
1.34627e-008,0.3713
1.35012e-008,0.3666
1.35398e-008,0.3946
1.35784e-008,0.4597
1.36170e-008,0.5624
1.36555e-008,0.6831
1.36941e-008,0.7948
1.37327e-008,0.8873
1.37713e-008,0.9625
1.38099e-008,1.0203
1.38484e-008,1.0632
1.38870e-008,1.1030
1.39256e-008,1.1381
1.39641e-008,1.1625
1.40027e-008,1.1628
1.40413e-008,1.1315
1.40799e-008,1.0518
1.41185e-008,0.9378
1.41570e-008,0.8160
1.41956e-008,0.6982
1.42342e-008,0.5925
1.42728e-008,0.5098
1.43113e-008,0.4492
1.43499e-008,0.4067
1.43885e-008,0.3806
1.44270e-008,0.3617
1.44656e-008,0.3460
1.45042e-008,0.3349
1.45428e-008,0.3262
1.45814e-008,0.3185
1.46199e-008,0.3154
1.46585e-008,0.3172
1.46971e-008,0.3202
1.47357e-008,0.3231
1.47742e-008,0.3256
1.48128e-008,0.3271
1.48514e-008,0.3298
1.48899e-008,0.3404
1.49285e-008,0.3697
1.49671e-008,0.4301
1.50057e-008,0.5253
1.50443e-008,0.6415
1.50828e-008,0.7526
1.51214e-008,0.8448
1.51600e-008,0.9211
1.51985e-008,0.9842
