.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
9.4509e-009,0.3685
9.4895e-009,0.4085
9.5280e-009,0.4816
9.5666e-009,0.5838
9.6052e-009,0.6934
9.6437e-009,0.7962
9.6823e-009,0.8903
9.7209e-009,0.9706
9.7595e-009,1.0334
9.7981e-009,1.0779
9.8366e-009,1.1154
9.8752e-009,1.1442
9.9138e-009,1.1568
9.9524e-009,1.1531
9.9909e-009,1.1170
1.00295e-008,1.0379
1.00681e-008,0.9321
1.01066e-008,0.8130
1.01452e-008,0.6909
1.01838e-008,0.5814
1.02224e-008,0.4930
1.02610e-008,0.4290
1.02995e-008,0.3849
1.03381e-008,0.3600
1.03767e-008,0.3624
1.04152e-008,0.3927
1.04538e-008,0.4551
1.04924e-008,0.5494
1.05310e-008,0.6595
1.05695e-008,0.7644
1.06081e-008,0.8617
1.06467e-008,0.9469
1.06853e-008,1.0156
1.07239e-008,1.0655
1.07624e-008,1.1037
1.08010e-008,1.1374
1.08396e-008,1.1543
1.08781e-008,1.1568
1.09167e-008,1.1331
1.09553e-008,1.0671
1.09939e-008,0.9673
1.10324e-008,0.8517
1.10710e-008,0.7288
1.11096e-008,0.6140
1.11482e-008,0.5185
1.11868e-008,0.4467
1.12253e-008,0.3972
1.12639e-008,0.3648
1.13025e-008,0.3586
1.13410e-008,0.3799
1.13796e-008,0.4317
1.14182e-008,0.5166
1.14568e-008,0.6247
1.14953e-008,0.7319
1.15339e-008,0.8320
1.15725e-008,0.9216
1.16111e-008,0.9959
1.16497e-008,1.0517
1.16882e-008,1.0918
1.17268e-008,1.1287
1.17654e-008,1.1505
1.18039e-008,1.1579
1.18425e-008,1.1448
1.18811e-008,1.0927
1.19197e-008,1.0010
1.19583e-008,0.8897
1.19968e-008,0.7675
1.20354e-008,0.6485
1.20740e-008,0.5463
1.21126e-008,0.4667
1.21511e-008,0.4110
1.21897e-008,0.3725
1.22283e-008,0.3576
1.22668e-008,0.3701
1.23054e-008,0.4117
1.23440e-008,0.4863
1.23826e-008,0.5895
1.24212e-008,0.6988
1.24597e-008,0.8013
1.24983e-008,0.8948
1.25369e-008,0.9743
1.25755e-008,1.0361
1.26140e-008,1.0800
1.26526e-008,1.1181
1.26912e-008,1.1455
1.27297e-008,1.1572
1.27683e-008,1.1524
1.28069e-008,1.1141
1.28455e-008,1.0330
1.28841e-008,0.9264
1.29226e-008,0.8066
1.29612e-008,0.6848
1.29998e-008,0.5763
1.30383e-008,0.4893
1.30769e-008,0.4264
1.31155e-008,0.3826
1.31541e-008,0.3592
1.31926e-008,0.3631
1.32312e-008,0.3950
1.32698e-008,0.4591
1.33084e-008,0.5548
1.33470e-008,0.6650
1.33855e-008,0.7697
1.34241e-008,0.8665
1.34627e-008,0.9509
1.35012e-008,1.0186
1.35398e-008,1.0676
1.35784e-008,1.1049
1.36170e-008,1.1380
1.36555e-008,1.1545
1.36941e-008,1.1561
1.37327e-008,1.1306
1.37713e-008,1.0624
1.38099e-008,0.9615
1.38484e-008,0.8456
1.38870e-008,0.7227
1.39256e-008,0.6086
1.39641e-008,0.5142
1.40027e-008,0.4436
1.40413e-008,0.3948
1.40799e-008,0.3635
1.41185e-008,0.3589
1.41570e-008,0.3815
1.41956e-008,0.4352
1.42342e-008,0.5217
1.42728e-008,0.6304
1.43113e-008,0.7373
1.43499e-008,0.8369
1.43885e-008,0.9259
1.44270e-008,0.9992
1.44656e-008,1.0540
1.45042e-008,1.0932
1.45428e-008,1.1294
1.45814e-008,1.1509
1.46199e-008,1.1577
1.46585e-008,1.1430
1.46971e-008,1.0886
1.47357e-008,0.9955
1.47742e-008,0.8836
1.48128e-008,0.7614
1.48514e-008,0.6429
1.48899e-008,0.5416
1.49285e-008,0.4632
1.49671e-008,0.4084
1.50057e-008,0.3706
1.50443e-008,0.3573
1.50828e-008,0.3712
1.51214e-008,0.4145
1.51600e-008,0.4910
1.51985e-008,0.5952
1.52371e-008,0.7043
1.52757e-008,0.8064
1.53143e-008,0.8993
1.53528e-008,0.9779
1.53914e-008,1.0387
1.54300e-008,1.0817
1.54686e-008,1.1191
1.55071e-008,1.1460
1.55457e-008,1.1573
1.55843e-008,1.1512
1.56229e-008,1.1108
1.56615e-008,1.0279
1.57000e-008,0.9205
1.57386e-008,0.8004
1.57772e-008,0.6789
1.58158e-008,0.5713
1.58543e-008,0.4853
1.58929e-008,0.4238
1.59315e-008,0.3813
1.59701e-008,0.3590
1.60086e-008,0.3642
1.60472e-008,0.3976
1.60858e-008,0.4634
1.61243e-008,0.5604
1.61629e-008,0.6706
1.62015e-008,0.7748
1.62401e-008,0.8711
1.62786e-008,0.9548
1.63172e-008,1.0216
1.63558e-008,1.0696
1.63944e-008,1.1076
1.64329e-008,1.1398
1.64715e-008,1.1553
1.65101e-008,1.1559
1.65487e-008,1.1284
1.65873e-008,1.0580
1.66258e-008,0.9560
1.66644e-008,0.8393
1.67030e-008,0.7164
1.67416e-008,0.6032
1.67801e-008,0.5101
1.68187e-008,0.4407
1.68573e-008,0.3930
1.68959e-008,0.3629
1.69344e-008,0.3596
1.69730e-008,0.3837
1.70116e-008,0.4389
1.70501e-008,0.5270
1.70887e-008,0.6361
1.71273e-008,0.7425
1.71659e-008,0.8418
1.72044e-008,0.9300
1.72430e-008,1.0025
1.72816e-008,1.0563
1.73202e-008,1.0957
1.73588e-008,1.1317
1.73973e-008,1.1519
1.74359e-008,1.1578
1.74745e-008,1.1415
1.75131e-008,1.0849
1.75516e-008,0.9903
1.75902e-008,0.8775
1.76288e-008,0.7549
1.76674e-008,0.6372
1.77059e-008,0.5371
1.77445e-008,0.4600
1.77831e-008,0.4064
1.78216e-008,0.3697
1.78602e-008,0.3576
1.78988e-008,0.3729
1.79374e-008,0.4178
1.79759e-008,0.4958
1.80145e-008,0.6009
1.80531e-008,0.7097
1.80917e-008,0.8114
1.81302e-008,0.9037
1.81688e-008,0.9815
1.82074e-008,1.0414
1.82460e-008,1.0839
1.82846e-008,1.1217
1.83231e-008,1.1473
1.83617e-008,1.1576
1.84003e-008,1.1503
1.84389e-008,1.1077
1.84774e-008,1.0229
1.85160e-008,0.9147
1.85546e-008,0.7940
1.85932e-008,0.6729
1.86317e-008,0.5664
1.86703e-008,0.4817
1.87089e-008,0.4212
1.87474e-008,0.3791
1.87860e-008,0.3584
1.88246e-008,0.3651
1.88632e-008,0.4000
1.89017e-008,0.4676
1.89403e-008,0.5660
1.89789e-008,0.6761
1.90175e-008,0.7800
1.90560e-008,0.8758
1.90946e-008,0.9587
1.91332e-008,1.0245
1.91718e-008,1.0716
1.92104e-008,1.1087
1.92489e-008,1.1404
1.92875e-008,1.1554
1.93261e-008,1.1551
1.93647e-008,1.1257
1.94032e-008,1.0531
1.94418e-008,0.9503
1.94804e-008,0.8331
1.95190e-008,0.7104
1.95575e-008,0.5979
1.95961e-008,0.5059
1.96347e-008,0.4377
1.96732e-008,0.3906
1.97118e-008,0.3618
1.97504e-008,0.3599
1.97890e-008,0.3855
1.98275e-008,0.4426
1.98661e-008,0.5322
1.99047e-008,0.6417
1.99433e-008,0.7479
1.99819e-008,0.8466
2.00204e-008,0.9342
2.00590e-008,1.0057
2.00976e-008,1.0586
2.01362e-008,1.0970
2.01747e-008,1.1325
2.02133e-008,1.1523
2.02519e-008,1.1575
2.02905e-008,1.1395
2.03290e-008,1.0806
2.03676e-008,0.9847
2.04062e-008,0.8714
2.04447e-008,0.7488
2.04833e-008,0.6316
2.05219e-008,0.5325
2.05605e-008,0.4566
2.05990e-008,0.4038
2.06376e-008,0.3680
2.06762e-008,0.3575
2.07148e-008,0.3742
2.07533e-008,0.4208
2.07919e-008,0.5006
2.08305e-008,0.6066
2.08691e-008,0.7151
2.09077e-008,0.8164
2.09462e-008,0.9081
2.09848e-008,0.9850
2.10234e-008,1.0439
2.10620e-008,1.0855
2.11005e-008,1.1227
2.11391e-008,1.1478
2.11777e-008,1.1576
2.12163e-008,1.1490
2.12548e-008,1.1041
2.12934e-008,1.0176
2.13320e-008,0.9087
2.13705e-008,0.7878
2.14091e-008,0.6671
2.14477e-008,0.5614
2.14863e-008,0.4779
2.15248e-008,0.4187
2.15634e-008,0.3778
2.16020e-008,0.3582
2.16406e-008,0.3663
2.16791e-008,0.4028
2.17177e-008,0.4721
2.17563e-008,0.5716
2.17949e-008,0.6816
2.18335e-008,0.7851
2.18720e-008,0.8804
2.19106e-008,0.9625
2.19492e-008,1.0274
2.19878e-008,1.0737
2.20263e-008,1.1114
2.20649e-008,1.1420
2.21035e-008,1.1561
2.21420e-008,1.1547
2.21806e-008,1.1232
2.22192e-008,1.0486
2.22578e-008,0.9447
2.22963e-008,0.8267
2.23349e-008,0.7041
2.23735e-008,0.5927
2.24121e-008,0.5018
2.24506e-008,0.4350
2.24892e-008,0.3890
2.25278e-008,0.3613
2.25664e-008,0.3607
2.26050e-008,0.3878
2.26435e-008,0.4465
2.26821e-008,0.5376
2.27207e-008,0.6473
2.27593e-008,0.7531
2.27978e-008,0.8514
2.28364e-008,0.9382
2.28750e-008,1.0089
2.29136e-008,1.0608
2.29521e-008,1.0996
2.29907e-008,1.1346
2.30293e-008,1.1531
2.30678e-008,1.1574
2.31064e-008,1.1378
2.31450e-008,1.0766
2.31836e-008,0.9794
2.32221e-008,0.8652
2.32607e-008,0.7424
2.32993e-008,0.6260
2.33379e-008,0.5281
2.33764e-008,0.4535
