.HEADER
..NAMES
Time,V U2.M2
.DATA
0.0e+000,0.3314
3.67e-011,0.3314
7.33e-011,0.3314
1.100e-010,0.3314
1.467e-010,0.3314
1.834e-010,0.3314
2.201e-010,0.3314
2.567e-010,0.3314
2.934e-010,0.3314
3.301e-010,0.3314
3.667e-010,0.3314
4.034e-010,0.3314
4.401e-010,0.3314
4.768e-010,0.3314
5.135e-010,0.3314
5.501e-010,0.3314
5.868e-010,0.3314
6.235e-010,0.3314
6.601e-010,0.3314
6.968e-010,0.3314
7.335e-010,0.3314
7.702e-010,0.3315
8.068e-010,0.3316
8.435e-010,0.3323
8.802e-010,0.3349
9.169e-010,0.3417
9.536e-010,0.3561
9.902e-010,0.3820
1.0269e-009,0.4225
1.0636e-009,0.4792
1.1003e-009,0.5512
1.1369e-009,0.6350
1.1736e-009,0.7236
1.2103e-009,0.8086
1.2469e-009,0.8825
1.2836e-009,0.9406
1.3203e-009,0.9810
1.3570e-009,1.0045
1.3936e-009,1.0151
1.4303e-009,1.0189
1.4670e-009,1.0216
1.5037e-009,1.0261
1.5403e-009,1.0334
1.5770e-009,1.0430
1.6137e-009,1.0533
1.6504e-009,1.0622
1.6871e-009,1.0678
1.7237e-009,1.0700
1.7604e-009,1.0701
1.7971e-009,1.0700
1.8338e-009,1.0711
1.8704e-009,1.0741
1.9071e-009,1.0787
1.9438e-009,1.0841
1.9805e-009,1.0888
2.0171e-009,1.0915
2.0538e-009,1.0915
2.0905e-009,1.0895
2.1272e-009,1.0870
2.1638e-009,1.0852
2.2005e-009,1.0853
2.2372e-009,1.0876
2.2738e-009,1.0917
2.3105e-009,1.0966
2.3472e-009,1.1007
2.3839e-009,1.1031
2.4205e-009,1.1035
2.4572e-009,1.1023
2.4939e-009,1.1004
2.5306e-009,1.0988
2.5672e-009,1.0982
2.6039e-009,1.0988
2.6406e-009,1.1004
2.6773e-009,1.1021
2.7139e-009,1.1032
2.7506e-009,1.1030
2.7873e-009,1.1015
2.8240e-009,1.0989
2.8606e-009,1.0958
2.8973e-009,1.0929
2.9340e-009,1.0906
2.9707e-009,1.0893
3.0073e-009,1.0890
3.0440e-009,1.0892
3.0807e-009,1.0897
3.1174e-009,1.0901
3.1540e-009,1.0903
3.1907e-009,1.0903
3.2274e-009,1.0904
3.2641e-009,1.0905
3.3007e-009,1.0908
3.3374e-009,1.0913
