.HEADER
..NAMES
Time,V U4.D3
.DATA
0.0e+000,1.1776
3.86e-011,1.1776
7.72e-011,1.1776
1.157e-010,1.1776
1.543e-010,1.1776
1.929e-010,1.1776
2.314e-010,1.1776
2.700e-010,1.1776
3.086e-010,1.1776
3.472e-010,1.1776
3.857e-010,1.1776
4.243e-010,1.1776
4.629e-010,1.1776
5.015e-010,1.1776
5.401e-010,1.1776
5.786e-010,1.1776
6.172e-010,1.1776
6.558e-010,1.1776
6.944e-010,1.1776
7.329e-010,1.1776
7.715e-010,1.1776
8.101e-010,1.1776
8.486e-010,1.1779
8.872e-010,1.1811
9.258e-010,1.1837
9.644e-010,1.1755
1.0029e-009,1.1402
1.0415e-009,1.0617
1.0801e-009,0.9556
1.1187e-009,0.8461
1.1572e-009,0.7322
1.1958e-009,0.6248
1.2344e-009,0.5354
1.2730e-009,0.4687
1.3115e-009,0.4220
1.3501e-009,0.3907
1.3887e-009,0.3693
1.4273e-009,0.3537
1.4658e-009,0.3401
1.5044e-009,0.3277
1.5430e-009,0.3216
1.5816e-009,0.3202
1.6202e-009,0.3192
1.6587e-009,0.3197
1.6973e-009,0.3220
1.7359e-009,0.3243
1.7745e-009,0.3257
1.8130e-009,0.3272
1.8516e-009,0.3349
1.8902e-009,0.3594
1.9288e-009,0.4144
1.9673e-009,0.5046
2.0059e-009,0.6209
2.0445e-009,0.7345
2.0830e-009,0.8262
2.1216e-009,0.9076
2.1602e-009,0.9757
2.1988e-009,1.0276
2.2374e-009,1.0646
2.2759e-009,1.0920
2.3145e-009,1.1120
2.3531e-009,1.1287
2.3916e-009,1.1438
2.4302e-009,1.1562
2.4688e-009,1.1644
2.5074e-009,1.1657
2.5459e-009,1.1653
2.5845e-009,1.1669
2.6231e-009,1.1687
2.6617e-009,1.1694
2.7003e-009,1.1703
2.7388e-009,1.1715
2.7774e-009,1.1725
2.8160e-009,1.1738
2.8545e-009,1.1750
2.8931e-009,1.1756
2.9317e-009,1.1754
2.9703e-009,1.1749
3.0089e-009,1.1754
3.0474e-009,1.1766
3.0860e-009,1.1769
3.1246e-009,1.1769
3.1631e-009,1.1771
3.2017e-009,1.1778
3.2403e-009,1.1816
3.2789e-009,1.1830
3.3175e-009,1.1708
3.3560e-009,1.1270
3.3946e-009,1.0402
3.4332e-009,0.9325
3.4717e-009,0.8225
3.5103e-009,0.7086
3.5489e-009,0.6041
3.5875e-009,0.5193
3.6260e-009,0.4571
3.6646e-009,0.4124
3.7032e-009,0.3745
3.7418e-009,0.3668
3.7803e-009,0.3829
3.8189e-009,0.4317
3.8575e-009,0.5210
3.8961e-009,0.6452
3.9346e-009,0.7587
3.9732e-009,0.8525
4.0118e-009,0.9348
4.0504e-009,1.0013
4.0890e-009,1.0495
4.1275e-009,1.0817
4.1661e-009,1.1048
4.2047e-009,1.1230
4.2433e-009,1.1369
4.2818e-009,1.1488
4.3204e-009,1.1609
4.3590e-009,1.1687
4.3975e-009,1.1680
4.4361e-009,1.1671
4.4747e-009,1.1685
4.5133e-009,1.1695
4.5519e-009,1.1696
4.5904e-009,1.1703
4.6290e-009,1.1717
4.6676e-009,1.1730
4.7062e-009,1.1740
4.7447e-009,1.1751
4.7833e-009,1.1761
4.8219e-009,1.1756
4.8604e-009,1.1749
4.8990e-009,1.1757
4.9376e-009,1.1768
4.9762e-009,1.1769
5.0147e-009,1.1770
5.0533e-009,1.1773
5.0919e-009,1.1791
5.1305e-009,1.1830
5.1691e-009,1.1809
5.2076e-009,1.1597
5.2462e-009,1.0998
5.2848e-009,1.0013
5.3234e-009,0.8925
5.3619e-009,0.7807
5.4005e-009,0.6686
5.4391e-009,0.5703
5.4776e-009,0.4940
5.5162e-009,0.4395
5.5548e-009,0.4022
5.5934e-009,0.3772
5.6320e-009,0.3596
5.6705e-009,0.3457
5.7091e-009,0.3322
5.7477e-009,0.3230
5.7863e-009,0.3205
5.8248e-009,0.3194
5.8634e-009,0.3190
5.9020e-009,0.3207
