.HEADER
..NAMES
Time,V U5.R2
.DATA
0.0e+000,0.3289
3.67e-011,0.3289
7.33e-011,0.3289
1.100e-010,0.3289
1.467e-010,0.3289
1.834e-010,0.3289
2.201e-010,0.3289
2.567e-010,0.3289
2.934e-010,0.3289
3.301e-010,0.3289
3.667e-010,0.3289
4.034e-010,0.3289
4.401e-010,0.3289
4.768e-010,0.3289
5.135e-010,0.3291
5.501e-010,0.3311
5.868e-010,0.3386
6.235e-010,0.3591
6.601e-010,0.4017
6.968e-010,0.4703
7.335e-010,0.5609
7.702e-010,0.6600
8.068e-010,0.7532
8.435e-010,0.8307
8.802e-010,0.8862
9.169e-010,0.9171
9.536e-010,0.9289
9.902e-010,0.9319
1.0269e-009,0.9350
1.0636e-009,0.9425
1.1003e-009,0.9541
1.1369e-009,0.9668
1.1736e-009,0.9773
1.2103e-009,0.9836
1.2469e-009,0.9860
1.2836e-009,0.9855
1.3203e-009,0.9840
1.3570e-009,0.9830
1.3936e-009,0.9835
1.4303e-009,0.9865
1.4670e-009,0.9924
1.5037e-009,1.0007
1.5403e-009,1.0100
1.5770e-009,1.0181
1.6137e-009,1.0236
1.6504e-009,1.0271
1.6871e-009,1.0303
1.7237e-009,1.0356
1.7604e-009,1.0447
1.7971e-009,1.0579
1.8338e-009,1.0733
1.8704e-009,1.0878
1.9071e-009,1.0987
1.9438e-009,1.1041
1.9805e-009,1.1038
2.0171e-009,1.0992
2.0538e-009,1.0933
2.0905e-009,1.0897
2.1272e-009,1.0900
2.1638e-009,1.0940
2.2005e-009,1.0996
2.2372e-009,1.1048
2.2738e-009,1.1083
2.3105e-009,1.1094
2.3472e-009,1.1083
2.3839e-009,1.1058
2.4205e-009,1.1033
2.4572e-009,1.1016
2.4939e-009,1.0978
2.5306e-009,1.0839
2.5672e-009,1.0473
2.6039e-009,0.9801
2.6406e-009,0.8875
2.6773e-009,0.7812
2.7139e-009,0.6737
2.7506e-009,0.5795
2.7873e-009,0.5122
2.8240e-009,0.4763
2.8606e-009,0.4663
2.8973e-009,0.4711
2.9340e-009,0.4790
2.9707e-009,0.4815
3.0073e-009,0.4756
3.0440e-009,0.4636
3.0807e-009,0.4498
3.1174e-009,0.4386
3.1540e-009,0.4324
3.1907e-009,0.4316
3.2274e-009,0.4344
3.2641e-009,0.4386
3.3007e-009,0.4418
3.3374e-009,0.4419
3.3741e-009,0.4397
3.4108e-009,0.4407
3.4475e-009,0.4574
3.4841e-009,0.5038
3.5208e-009,0.5842
3.5575e-009,0.6883
3.5942e-009,0.7943
3.6308e-009,0.8840
3.6675e-009,0.9454
3.7042e-009,0.9726
3.7408e-009,0.9684
3.7775e-009,0.9472
3.8142e-009,0.9265
3.8509e-009,0.9186
3.8875e-009,0.9273
3.9242e-009,0.9478
3.9609e-009,0.9708
3.9976e-009,0.9875
4.0342e-009,0.9939
4.0709e-009,0.9906
4.1076e-009,0.9816
4.1443e-009,0.9715
4.1809e-009,0.9643
4.2176e-009,0.9625
4.2543e-009,0.9675
4.2910e-009,0.9793
4.3276e-009,0.9956
4.3643e-009,1.0120
4.4010e-009,1.0242
4.4377e-009,1.0303
4.4743e-009,1.0321
4.5110e-009,1.0331
4.5477e-009,1.0375
4.5844e-009,1.0480
4.6211e-009,1.0647
4.6577e-009,1.0840
4.6944e-009,1.1012
4.7311e-009,1.1119
4.7678e-009,1.1137
4.8044e-009,1.1069
4.8411e-009,1.0950
4.8778e-009,1.0839
4.9145e-009,1.0786
4.9511e-009,1.0810
4.9878e-009,1.0893
5.0245e-009,1.0997
5.0612e-009,1.1083
5.0978e-009,1.1129
5.1345e-009,1.1127
5.1712e-009,1.1086
5.2079e-009,1.1025
5.2445e-009,1.0972
5.2812e-009,1.0938
5.3179e-009,1.0886
5.3546e-009,1.0719
5.3912e-009,1.0305
5.4279e-009,0.9583
5.4646e-009,0.8624
5.5013e-009,0.7547
5.5379e-009,0.6482
5.5746e-009,0.5584
5.6113e-009,0.4978
5.6480e-009,0.4688
5.6846e-009,0.4643
5.7213e-009,0.4725
5.7580e-009,0.4815
5.7947e-009,0.4831
5.8313e-009,0.4755
5.8680e-009,0.4616
5.9047e-009,0.4465
5.9414e-009,0.4347
5.9780e-009,0.4290
6.0147e-009,0.4292
6.0514e-009,0.4333
6.0881e-009,0.4389
6.1247e-009,0.4428
6.1614e-009,0.4425
6.1981e-009,0.4365
6.2348e-009,0.4257
6.2714e-009,0.4130
6.3081e-009,0.4021
6.3448e-009,0.3950
6.3815e-009,0.3919
6.4181e-009,0.3905
6.4548e-009,0.3873
6.4915e-009,0.3795
6.5282e-009,0.3666
6.5648e-009,0.3501
6.6015e-009,0.3332
6.6382e-009,0.3194
6.6749e-009,0.3120
6.7115e-009,0.3125
6.7482e-009,0.3191
6.7849e-009,0.3278
6.8215e-009,0.3343
6.8582e-009,0.3361
6.8949e-009,0.3329
6.9316e-009,0.3263
