.HEADER
..NAMES
Time,V U5.C7&B7
.DATA
9.0651e-009,0.7911
9.1037e-009,0.7344
9.1423e-009,0.5978
9.1808e-009,0.3905
9.2194e-009,0.1570
9.2580e-009,-0.0694
9.2966e-009,-0.2706
9.3352e-009,-0.4388
9.3737e-009,-0.5744
9.4123e-009,-0.6725
9.4509e-009,-0.7423
9.4895e-009,-0.7853
9.5280e-009,-0.7921
9.5666e-009,-0.7462
9.6052e-009,-0.6242
9.6437e-009,-0.4256
9.6823e-009,-0.1939
9.7209e-009,0.0347
9.7595e-009,0.2422
9.7981e-009,0.4168
9.8366e-009,0.5568
9.8752e-009,0.6611
9.9138e-009,0.7349
9.9524e-009,0.7818
9.9909e-009,0.7960
1.00295e-008,0.7604
1.00681e-008,0.6501
1.01066e-008,0.4611
1.01452e-008,0.2313
1.01838e-008,0.0002
1.02224e-008,-0.2104
1.02610e-008,-0.3890
1.02995e-008,-0.5353
1.03381e-008,-0.6453
1.03767e-008,-0.7231
1.04152e-008,-0.7753
1.04538e-008,-0.7950
1.04924e-008,-0.7678
1.05310e-008,-0.6721
1.05695e-008,-0.4945
1.06081e-008,-0.2679
1.06467e-008,-0.0362
1.06853e-008,0.1798
1.07239e-008,0.3655
1.07624e-008,0.5162
1.08010e-008,0.6320
1.08396e-008,0.7146
1.08781e-008,0.7704
1.09167e-008,0.7960
1.09553e-008,0.7787
1.09939e-008,0.6943
1.10324e-008,0.5278
1.10710e-008,0.3056
1.11096e-008,0.0719
1.11482e-008,-0.1471
1.11868e-008,-0.3362
1.12253e-008,-0.4925
1.12639e-008,-0.6147
1.13025e-008,-0.7014
1.13410e-008,-0.7622
1.13796e-008,-0.7933
1.14182e-008,-0.7827
1.14568e-008,-0.7114
1.14953e-008,-0.5585
1.15339e-008,-0.3418
1.15725e-008,-0.1086
1.16111e-008,0.1144
1.16497e-008,0.3107
1.16882e-008,0.4722
1.17268e-008,0.5994
1.17654e-008,0.6916
1.18039e-008,0.7561
1.18425e-008,0.7920
1.18811e-008,0.7903
1.19197e-008,0.7298
1.19583e-008,0.5887
1.19968e-008,0.3791
1.20354e-008,0.1452
1.20740e-008,-0.0807
1.21126e-008,-0.2801
1.21511e-008,-0.4465
1.21897e-008,-0.5803
1.22283e-008,-0.6770
1.22668e-008,-0.7462
1.23054e-008,-0.7876
1.23440e-008,-0.7916
1.23826e-008,-0.7422
1.24212e-008,-0.6158
