.HEADER
..NAMES
Time,V U3.D7
.DATA
9.4895e-009,0.3820
9.5280e-009,0.3648
9.5666e-009,0.3525
9.6052e-009,0.3417
9.6437e-009,0.3298
9.6823e-009,0.3216
9.7209e-009,0.3194
9.7595e-009,0.3189
9.7981e-009,0.3187
9.8366e-009,0.3204
9.8752e-009,0.3233
9.9138e-009,0.3250
9.9524e-009,0.3255
9.9909e-009,0.3255
1.00295e-008,0.3249
1.00681e-008,0.3239
1.01066e-008,0.3227
1.01452e-008,0.3220
1.01838e-008,0.3225
1.02224e-008,0.3228
1.02610e-008,0.3223
1.02995e-008,0.3221
1.03381e-008,0.3222
1.03767e-008,0.3221
1.04152e-008,0.3248
1.04538e-008,0.3364
1.04924e-008,0.3687
1.05310e-008,0.4349
1.05695e-008,0.5338
1.06081e-008,0.6528
1.06467e-008,0.7602
1.06853e-008,0.8481
1.07239e-008,0.9255
1.07624e-008,0.9895
1.08010e-008,1.0374
1.08396e-008,1.0709
1.08781e-008,1.0956
1.09167e-008,1.1134
1.09553e-008,1.1276
1.09939e-008,1.1412
1.10324e-008,1.1536
1.10710e-008,1.1635
1.11096e-008,1.1680
1.11482e-008,1.1672
1.11868e-008,1.1673
1.12253e-008,1.1688
1.12639e-008,1.1700
1.13025e-008,1.1701
1.13410e-008,1.1738
1.13796e-008,1.1798
1.14182e-008,1.1770
1.14568e-008,1.1544
1.14953e-008,1.0916
1.15339e-008,0.9904
1.15725e-008,0.8801
1.16111e-008,0.7682
1.16497e-008,0.6581
1.16882e-008,0.5628
1.17268e-008,0.4897
1.17654e-008,0.4375
1.18039e-008,0.3953
1.18425e-008,0.3687
1.18811e-008,0.3742
1.19197e-008,0.4046
1.19583e-008,0.4699
1.19968e-008,0.5699
1.20354e-008,0.6900
1.20740e-008,0.7934
1.21126e-008,0.8825
1.21511e-008,0.9582
1.21897e-008,1.0183
1.22283e-008,1.0613
1.22668e-008,1.0982
1.23054e-008,1.1415
1.23440e-008,1.1538
1.23826e-008,1.1539
1.24212e-008,1.1208
1.24597e-008,1.0399
1.24983e-008,0.9303
1.25369e-008,0.8137
1.25755e-008,0.6951
1.26140e-008,0.5899
1.26526e-008,0.5079
1.26912e-008,0.4489
1.27297e-008,0.4076
1.27683e-008,0.3833
1.28069e-008,0.3651
1.28455e-008,0.3514
1.28841e-008,0.3422
1.29226e-008,0.3318
1.29612e-008,0.3219
1.29998e-008,0.3176
1.30383e-008,0.3170
1.30769e-008,0.3173
1.31155e-008,0.3195
1.31541e-008,0.3230
1.31926e-008,0.3250
1.32312e-008,0.3287
1.32698e-008,0.3416
1.33084e-008,0.3747
1.33470e-008,0.4424
1.33855e-008,0.5424
1.34241e-008,0.6613
1.34627e-008,0.7673
1.35012e-008,0.8552
1.35398e-008,0.9318
1.35784e-008,0.9943
1.36170e-008,1.0410
1.36555e-008,1.0735
1.36941e-008,1.0971
1.37327e-008,1.1144
1.37713e-008,1.1283
1.38099e-008,1.1419
1.38484e-008,1.1542
1.38870e-008,1.1640
1.39256e-008,1.1681
1.39641e-008,1.1674
1.40027e-008,1.1676
1.40413e-008,1.1690
1.40799e-008,1.1700
1.41185e-008,1.1701
1.41570e-008,1.1708
1.41956e-008,1.1718
1.42342e-008,1.1726
1.42728e-008,1.1738
1.43113e-008,1.1750
1.43499e-008,1.1756
1.43885e-008,1.1755
1.44270e-008,1.1750
1.44656e-008,1.1752
1.45042e-008,1.1758
1.45428e-008,1.1763
1.45814e-008,1.1764
1.46199e-008,1.1764
1.46585e-008,1.1766
1.46971e-008,1.1767
1.47357e-008,1.1767
1.47742e-008,1.1768
1.48128e-008,1.1768
1.48514e-008,1.1767
1.48899e-008,1.1766
1.49285e-008,1.1766
1.49671e-008,1.1768
1.50057e-008,1.1769
1.50443e-008,1.1768
1.50828e-008,1.1778
1.51214e-008,1.1819
1.51600e-008,1.1819
1.51985e-008,1.1657
1.52371e-008,1.1143
1.52757e-008,1.0208
1.53143e-008,0.9114
1.53528e-008,0.8011
1.53914e-008,0.6890
1.54300e-008,0.5880
1.54686e-008,0.5078
1.55071e-008,0.4504
1.55457e-008,0.4075
1.55843e-008,0.3726
1.56229e-008,0.3711
1.56615e-008,0.3939
1.57000e-008,0.4499
1.57386e-008,0.5404
1.57772e-008,0.6591
1.58158e-008,0.7683
1.58543e-008,0.8603
1.58929e-008,0.9396
1.59315e-008,1.0041
1.59701e-008,1.0515
1.60086e-008,1.0839
1.60472e-008,1.1051
1.60858e-008,1.1215
1.61243e-008,1.1352
1.61629e-008,1.1465
1.62015e-008,1.1564
1.62401e-008,1.1661
1.62786e-008,1.1711
1.63172e-008,1.1701
1.63558e-008,1.1696
1.63944e-008,1.1705
1.64329e-008,1.1710
1.64715e-008,1.1709
1.65101e-008,1.1712
1.65487e-008,1.1721
1.65873e-008,1.1732
1.66258e-008,1.1743
1.66644e-008,1.1751
1.67030e-008,1.1758
1.67416e-008,1.1761
1.67801e-008,1.1756
1.68187e-008,1.1754
1.68573e-008,1.1760
1.68959e-008,1.1766
1.69344e-008,1.1767
1.69730e-008,1.1790
1.70116e-008,1.1829
1.70501e-008,1.1788
1.70887e-008,1.1521
1.71273e-008,1.0839
1.71659e-008,0.9806
1.72044e-008,0.8713
1.72430e-008,0.7593
1.72816e-008,0.6498
1.73202e-008,0.5557
1.73588e-008,0.4844
1.73973e-008,0.4342
1.74359e-008,0.3990
1.74745e-008,0.3762
1.75131e-008,0.3610
1.75516e-008,0.3497
1.75902e-008,0.3384
1.76288e-008,0.3270
1.76674e-008,0.3210
1.77059e-008,0.3198
1.77445e-008,0.3191
1.77831e-008,0.3193
1.78216e-008,0.3215
1.78602e-008,0.3243
1.78988e-008,0.3261
1.79374e-008,0.3323
1.79759e-008,0.3524
1.80145e-008,0.3993
1.80531e-008,0.4812
1.80917e-008,0.5910
1.81302e-008,0.7093
1.81688e-008,0.8059
1.82074e-008,0.8890
1.82460e-008,0.9596
1.82846e-008,1.0158
1.83231e-008,1.0561
1.83617e-008,1.0931
1.84003e-008,1.1394
1.84389e-008,1.1505
1.84774e-008,1.1520
1.85160e-008,1.1226
1.85546e-008,1.0440
1.85932e-008,0.9324
1.86317e-008,0.8150
1.86703e-008,0.6977
1.87089e-008,0.5930
1.87474e-008,0.5106
1.87860e-008,0.4509
1.88246e-008,0.4074
1.88632e-008,0.3745
1.89017e-008,0.3683
1.89403e-008,0.3853
1.89789e-008,0.4384
1.90175e-008,0.5262
1.90560e-008,0.6414
1.90946e-008,0.7517
1.91332e-008,0.8471
1.91718e-008,0.9299
1.92104e-008,0.9972
1.92489e-008,1.0471
1.92875e-008,1.0809
1.93261e-008,1.1035
1.93647e-008,1.1199
1.94032e-008,1.1330
1.94418e-008,1.1446
1.94804e-008,1.1553
1.95190e-008,1.1650
1.95575e-008,1.1702
1.95961e-008,1.1700
1.96347e-008,1.1698
1.96732e-008,1.1705
1.97118e-008,1.1709
1.97504e-008,1.1706
1.97890e-008,1.1709
1.98275e-008,1.1717
1.98661e-008,1.1727
1.99047e-008,1.1738
1.99433e-008,1.1749
1.99819e-008,1.1756
2.00204e-008,1.1758
2.00590e-008,1.1754
2.00976e-008,1.1753
2.01362e-008,1.1758
2.01747e-008,1.1763
2.02133e-008,1.1764
2.02519e-008,1.1783
2.02905e-008,1.1825
2.03290e-008,1.1798
2.03676e-008,1.1565
2.04062e-008,1.0932
2.04447e-008,0.9923
2.04833e-008,0.8828
2.05219e-008,0.7713
2.05605e-008,0.6609
2.05990e-008,0.5646
2.06376e-008,0.4908
2.06762e-008,0.4386
2.07148e-008,0.4019
2.07533e-008,0.3780
2.07919e-008,0.3623
2.08305e-008,0.3507
2.08691e-008,0.3395
2.09077e-008,0.3279
2.09462e-008,0.3212
2.09848e-008,0.3197
2.10234e-008,0.3190
2.10620e-008,0.3190
2.11005e-008,0.3211
2.11391e-008,0.3239
2.11777e-008,0.3254
2.12163e-008,0.3257
2.12548e-008,0.3257
2.12934e-008,0.3250
2.13320e-008,0.3239
2.13705e-008,0.3227
2.14091e-008,0.3223
2.14477e-008,0.3229
2.14863e-008,0.3229
2.15248e-008,0.3224
2.15634e-008,0.3223
2.16020e-008,0.3224
2.16406e-008,0.3224
2.16791e-008,0.3263
2.17177e-008,0.3410
2.17563e-008,0.3795
2.17949e-008,0.4530
2.18335e-008,0.5573
2.18720e-008,0.6771
2.19106e-008,0.7792
2.19492e-008,0.8651
2.19878e-008,0.9399
2.20263e-008,1.0008
2.20649e-008,1.0454
2.21035e-008,1.0767
2.21420e-008,1.0999
2.21806e-008,1.1166
2.22192e-008,1.1305
2.22578e-008,1.1440
2.22963e-008,1.1560
2.23349e-008,1.1651
2.23735e-008,1.1681
2.24121e-008,1.1671
2.24506e-008,1.1676
2.24892e-008,1.1692
2.25278e-008,1.1701
2.25664e-008,1.1702
2.26050e-008,1.1710
2.26435e-008,1.1720
2.26821e-008,1.1727
2.27207e-008,1.1740
2.27593e-008,1.1750
2.27978e-008,1.1755
2.28364e-008,1.1753
2.28750e-008,1.1749
2.29136e-008,1.1752
2.29521e-008,1.1759
2.29907e-008,1.1764
2.30293e-008,1.1764
2.30678e-008,1.1786
