.HEADER
..NAMES
Time,V U4.T8
.DATA
0.0e+000,1.0901
3.67e-011,1.0901
7.33e-011,1.0901
1.100e-010,1.0901
1.467e-010,1.0901
1.834e-010,1.0901
2.201e-010,1.0901
2.567e-010,1.0901
2.934e-010,1.0901
3.301e-010,1.0901
3.667e-010,1.0901
4.034e-010,1.0901
4.401e-010,1.0901
4.768e-010,1.0901
5.135e-010,1.0901
5.501e-010,1.0902
5.868e-010,1.0906
6.235e-010,1.0914
6.601e-010,1.0930
6.968e-010,1.0935
7.335e-010,1.0885
7.702e-010,1.0703
8.068e-010,1.0319
8.435e-010,0.9722
8.802e-010,0.8938
9.169e-010,0.8011
9.536e-010,0.7015
9.902e-010,0.6061
1.0269e-009,0.5256
1.0636e-009,0.4659
1.1003e-009,0.4301
1.1369e-009,0.4180
1.1736e-009,0.4247
1.2103e-009,0.4429
1.2469e-009,0.4642
1.2836e-009,0.4807
1.3203e-009,0.4863
1.3570e-009,0.4791
1.3936e-009,0.4615
1.4303e-009,0.4382
1.4670e-009,0.4146
1.5037e-009,0.3948
1.5403e-009,0.3806
1.5770e-009,0.3724
1.6137e-009,0.3716
1.6504e-009,0.3830
1.6871e-009,0.4142
1.7237e-009,0.4687
1.7604e-009,0.5437
1.7971e-009,0.6309
1.8338e-009,0.7231
1.8704e-009,0.8132
1.9071e-009,0.8915
1.9438e-009,0.9492
1.9805e-009,0.9831
2.0171e-009,0.9956
2.0538e-009,0.9902
2.0905e-009,0.9722
2.1272e-009,0.9488
2.1638e-009,0.9278
2.2005e-009,0.9159
2.2372e-009,0.9171
2.2738e-009,0.9310
2.3105e-009,0.9534
2.3472e-009,0.9786
2.3839e-009,1.0026
2.4205e-009,1.0228
2.4572e-009,1.0395
2.4939e-009,1.0538
2.5306e-009,1.0673
2.5672e-009,1.0797
2.6039e-009,1.0890
2.6406e-009,1.0937
2.6773e-009,1.0937
2.7139e-009,1.0901
2.7506e-009,1.0851
2.7873e-009,1.0807
