.HEADER
..NAMES
Time,V U4.D7
.DATA
9.4895e-009,1.1772
9.5280e-009,1.1773
9.5666e-009,1.1776
9.6052e-009,1.1777
9.6437e-009,1.1775
9.6823e-009,1.1774
9.7209e-009,1.1775
9.7595e-009,1.1777
9.7981e-009,1.1808
9.8366e-009,1.1838
9.8752e-009,1.1763
9.9138e-009,1.1418
9.9524e-009,1.0637
9.9909e-009,0.9566
1.00295e-008,0.8472
1.00681e-008,0.7345
1.01066e-008,0.6272
1.01452e-008,0.5376
1.01838e-008,0.4705
1.02224e-008,0.4237
1.02610e-008,0.3921
1.02995e-008,0.3699
1.03381e-008,0.3535
1.03767e-008,0.3390
1.04152e-008,0.3267
1.04538e-008,0.3214
1.04924e-008,0.3204
1.05310e-008,0.3195
1.05695e-008,0.3200
1.06081e-008,0.3223
1.06467e-008,0.3245
1.06853e-008,0.3257
1.07239e-008,0.3257
1.07624e-008,0.3249
1.08010e-008,0.3238
1.08396e-008,0.3226
1.08781e-008,0.3224
1.09167e-008,0.3230
1.09553e-008,0.3229
1.09939e-008,0.3223
1.10324e-008,0.3219
1.10710e-008,0.3218
1.11096e-008,0.3214
1.11482e-008,0.3211
1.11868e-008,0.3219
1.12253e-008,0.3286
1.12639e-008,0.3495
1.13025e-008,0.3991
1.13410e-008,0.4843
1.13796e-008,0.5962
1.14182e-008,0.7132
1.14568e-008,0.8079
1.14953e-008,0.8907
1.15339e-008,0.9617
1.15725e-008,1.0179
1.16111e-008,1.0580
1.16497e-008,1.0961
1.16882e-008,1.1433
1.17268e-008,1.1562
1.17654e-008,1.1576
1.18039e-008,1.1225
1.18425e-008,1.0328
1.18811e-008,0.9130
1.19197e-008,0.7978
1.19583e-008,0.6850
1.19968e-008,0.5844
1.20354e-008,0.5032
1.20740e-008,0.4452
1.21126e-008,0.4091
1.21511e-008,0.3812
1.21897e-008,0.3602
1.22283e-008,0.3469
1.22668e-008,0.3334
1.23054e-008,0.3209
1.23440e-008,0.3176
1.23826e-008,0.3187
1.24212e-008,0.3191
1.24597e-008,0.3206
1.24983e-008,0.3229
1.25369e-008,0.3252
1.25755e-008,0.3257
1.26140e-008,0.3246
1.26526e-008,0.3239
1.26912e-008,0.3232
1.27297e-008,0.3218
1.27683e-008,0.3218
1.28069e-008,0.3229
1.28455e-008,0.3227
1.28841e-008,0.3219
1.29226e-008,0.3214
