.HEADER
..NAMES
Time,V U5.M2
.DATA
0.0e+000,0.3293
3.67e-011,0.3293
7.33e-011,0.3293
1.100e-010,0.3293
1.467e-010,0.3293
1.834e-010,0.3293
2.201e-010,0.3293
2.567e-010,0.3293
2.934e-010,0.3293
3.301e-010,0.3293
3.667e-010,0.3293
4.034e-010,0.3293
4.401e-010,0.3293
4.768e-010,0.3294
5.135e-010,0.3295
5.501e-010,0.3311
5.868e-010,0.3375
6.235e-010,0.3559
6.601e-010,0.3962
6.968e-010,0.4639
7.335e-010,0.5569
7.702e-010,0.6612
8.068e-010,0.7594
8.435e-010,0.8379
8.802e-010,0.8898
9.169e-010,0.9154
9.536e-010,0.9250
9.902e-010,0.9307
1.0269e-009,0.9396
1.0636e-009,0.9522
1.1003e-009,0.9662
1.1369e-009,0.9781
1.1736e-009,0.9855
1.2103e-009,0.9880
1.2469e-009,0.9867
1.2836e-009,0.9841
1.3203e-009,0.9831
1.3570e-009,0.9853
1.3936e-009,0.9899
1.4303e-009,0.9955
1.4670e-009,1.0012
1.5037e-009,1.0070
1.5403e-009,1.0133
1.5770e-009,1.0200
1.6137e-009,1.0268
1.6504e-009,1.0336
1.6871e-009,1.0407
1.7237e-009,1.0490
1.7604e-009,1.0593
1.7971e-009,1.0718
1.8338e-009,1.0848
1.8704e-009,1.0954
1.9071e-009,1.1011
1.9438e-009,1.1010
1.9805e-009,1.0969
2.0171e-009,1.0920
2.0538e-009,1.0896
2.0905e-009,1.0909
2.1272e-009,1.0955
2.1638e-009,1.1012
2.2005e-009,1.1061
2.2372e-009,1.1083
2.2738e-009,1.1071
2.3105e-009,1.1037
2.3472e-009,1.0997
2.3839e-009,1.0972
2.4205e-009,1.0966
2.4572e-009,1.0973
2.4939e-009,1.0981
2.5306e-009,1.0980
2.5672e-009,1.0967
2.6039e-009,1.0945
2.6406e-009,1.0921
2.6773e-009,1.0903
2.7139e-009,1.0895
2.7506e-009,1.0896
2.7873e-009,1.0907
2.8240e-009,1.0925
2.8606e-009,1.0948
2.8973e-009,1.0969
2.9340e-009,1.0982
2.9707e-009,1.0981
3.0073e-009,1.0967
3.0440e-009,1.0946
3.0807e-009,1.0927
3.1174e-009,1.0918
3.1540e-009,1.0921
3.1907e-009,1.0936
3.2274e-009,1.0954
3.2641e-009,1.0968
3.3007e-009,1.0973
3.3374e-009,1.0970
3.3741e-009,1.0969
3.4108e-009,1.0972
3.4475e-009,1.0947
3.4841e-009,1.0810
3.5208e-009,1.0432
3.5575e-009,0.9734
3.5942e-009,0.8758
3.6308e-009,0.7625
3.6675e-009,0.6505
3.7042e-009,0.5594
3.7408e-009,0.5012
3.7775e-009,0.4745
3.8142e-009,0.4687
3.8509e-009,0.4712
3.8875e-009,0.4721
3.9242e-009,0.4667
3.9609e-009,0.4560
3.9976e-009,0.4438
4.0342e-009,0.4344
4.0709e-009,0.4303
4.1076e-009,0.4312
4.1443e-009,0.4344
4.1809e-009,0.4367
4.2176e-009,0.4364
4.2543e-009,0.4336
4.2910e-009,0.4290
4.3276e-009,0.4231
4.3643e-009,0.4165
4.4010e-009,0.4094
4.4377e-009,0.4022
4.4743e-009,0.3953
4.5110e-009,0.3890
4.5477e-009,0.3827
4.5844e-009,0.3750
4.6211e-009,0.3644
4.6577e-009,0.3509
4.6944e-009,0.3365
4.7311e-009,0.3241
4.7678e-009,0.3173
4.8044e-009,0.3173
4.8411e-009,0.3225
4.8778e-009,0.3291
4.9145e-009,0.3337
4.9511e-009,0.3340
4.9878e-009,0.3300
5.0245e-009,0.3234
5.0612e-009,0.3170
5.0978e-009,0.3135
5.1345e-009,0.3140
5.1712e-009,0.3176
5.2079e-009,0.3223
5.2445e-009,0.3259
5.2812e-009,0.3274
5.3179e-009,0.3271
5.3546e-009,0.3261
5.3912e-009,0.3257
5.4279e-009,0.3264
5.4646e-009,0.3282
5.5013e-009,0.3305
5.5379e-009,0.3324
5.5746e-009,0.3335
5.6113e-009,0.3336
5.6480e-009,0.3325
5.6846e-009,0.3303
5.7213e-009,0.3275
5.7580e-009,0.3247
5.7947e-009,0.3229
5.8313e-009,0.3227
5.8680e-009,0.3242
5.9047e-009,0.3267
5.9414e-009,0.3292
5.9780e-009,0.3307
6.0147e-009,0.3306
6.0514e-009,0.3291
6.0881e-009,0.3267
6.1247e-009,0.3248
6.1614e-009,0.3247
6.1981e-009,0.3293
6.2348e-009,0.3431
6.2714e-009,0.3742
6.3081e-009,0.4301
6.3448e-009,0.5118
6.3815e-009,0.6117
6.4181e-009,0.7130
6.4548e-009,0.8009
6.4915e-009,0.8657
6.5282e-009,0.9040
6.5648e-009,0.9210
6.6015e-009,0.9284
6.6382e-009,0.9359
6.6749e-009,0.9468
6.7115e-009,0.9600
6.7482e-009,0.9724
6.7849e-009,0.9813
6.8215e-009,0.9857
6.8582e-009,0.9858
6.8949e-009,0.9838
6.9316e-009,0.9824
6.9682e-009,0.9837
7.0049e-009,0.9878
7.0416e-009,0.9933
7.0783e-009,0.9987
7.1149e-009,1.0039
7.1516e-009,1.0092
7.1883e-009,1.0151
7.2250e-009,1.0217
7.2616e-009,1.0287
7.2983e-009,1.0363
7.3350e-009,1.0447
7.3717e-009,1.0544
7.4083e-009,1.0659
7.4450e-009,1.0786
7.4817e-009,1.0900
7.5184e-009,1.0978
7.5550e-009,1.1003
7.5917e-009,1.0981
7.6284e-009,1.0937
