.HEADER
..NAMES
Time,V U3.B8
.DATA
0.0e+000,1.1779
3.86e-011,1.1779
7.72e-011,1.1779
1.157e-010,1.1779
1.543e-010,1.1779
1.929e-010,1.1779
2.314e-010,1.1779
2.700e-010,1.1779
3.086e-010,1.1779
3.472e-010,1.1779
3.857e-010,1.1779
4.243e-010,1.1779
4.629e-010,1.1779
5.015e-010,1.1779
5.401e-010,1.1779
5.786e-010,1.1779
6.172e-010,1.1779
6.558e-010,1.1779
6.944e-010,1.1779
7.329e-010,1.1779
7.715e-010,1.1779
8.101e-010,1.1779
8.486e-010,1.1779
8.872e-010,1.1779
9.258e-010,1.1779
9.644e-010,1.1779
1.0029e-009,1.1780
1.0415e-009,1.1807
1.0801e-009,1.1852
1.1187e-009,1.1799
1.1572e-009,1.1460
1.1958e-009,1.0626
1.2344e-009,0.9384
1.2730e-009,0.8149
1.3115e-009,0.7050
1.3501e-009,0.6051
1.3887e-009,0.5232
1.4273e-009,0.4645
1.4658e-009,0.4254
1.5044e-009,0.3964
1.5430e-009,0.3750
1.5816e-009,0.3621
1.6202e-009,0.3548
1.6587e-009,0.3476
1.6973e-009,0.3358
1.7359e-009,0.3234
1.7745e-009,0.3181
1.8130e-009,0.3175
1.8516e-009,0.3172
1.8902e-009,0.3179
1.9288e-009,0.3204
1.9673e-009,0.3236
2.0059e-009,0.3309
2.0445e-009,0.3555
2.0830e-009,0.4135
2.1216e-009,0.5121
2.1602e-009,0.6378
2.1988e-009,0.7613
2.2374e-009,0.8506
2.2759e-009,0.9172
2.3145e-009,0.9761
2.3531e-009,1.0253
2.3916e-009,1.0628
2.4302e-009,1.0900
2.4688e-009,1.1095
2.5074e-009,1.1212
2.5459e-009,1.1296
2.5845e-009,1.1399
2.6231e-009,1.1533
2.6617e-009,1.1667
2.7003e-009,1.1740
2.7388e-009,1.1729
2.7774e-009,1.1703
2.8160e-009,1.1707
2.8545e-009,1.1723
2.8931e-009,1.1735
2.9317e-009,1.1745
2.9703e-009,1.1753
3.0089e-009,1.1749
3.0474e-009,1.1744
3.0860e-009,1.1752
3.1246e-009,1.1771
3.1631e-009,1.1788
3.2017e-009,1.1790
3.2403e-009,1.1776
3.2789e-009,1.1766
3.3175e-009,1.1770
3.3560e-009,1.1776
3.3946e-009,1.1779
3.4332e-009,1.1781
3.4717e-009,1.1781
3.5103e-009,1.1778
3.5489e-009,1.1775
3.5875e-009,1.1776
3.6260e-009,1.1781
3.6646e-009,1.1783
3.7032e-009,1.1781
3.7418e-009,1.1777
3.7803e-009,1.1775
3.8189e-009,1.1777
3.8575e-009,1.1779
3.8961e-009,1.1779
3.9346e-009,1.1779
3.9732e-009,1.1779
4.0118e-009,1.1778
4.0504e-009,1.1777
4.0890e-009,1.1778
4.1275e-009,1.1779
4.1661e-009,1.1780
4.2047e-009,1.1779
4.2433e-009,1.1778
4.2818e-009,1.1779
4.3204e-009,1.1802
4.3590e-009,1.1849
4.3975e-009,1.1814
4.4361e-009,1.1517
4.4747e-009,1.0741
4.5133e-009,0.9523
4.5519e-009,0.8273
4.5904e-009,0.7164
4.6290e-009,0.6151
4.6676e-009,0.5309
4.7062e-009,0.4696
4.7447e-009,0.4287
4.7833e-009,0.3932
4.8219e-009,0.3664
4.8604e-009,0.3777
4.8990e-009,0.4239
4.9376e-009,0.5036
4.9762e-009,0.6108
5.0147e-009,0.7276
5.0533e-009,0.8246
5.0919e-009,0.9009
5.1305e-009,0.9656
5.1691e-009,1.0187
5.2076e-009,1.0601
5.2462e-009,1.1011
5.2848e-009,1.1462
5.3234e-009,1.1566
5.3619e-009,1.1448
5.4005e-009,1.1037
5.4391e-009,1.0127
5.4776e-009,0.8920
5.5162e-009,0.7728
5.5548e-009,0.6595
5.5934e-009,0.5613
5.6320e-009,0.4891
5.6705e-009,0.4420
5.7091e-009,0.4087
5.7477e-009,0.3858
5.7863e-009,0.3707
5.8248e-009,0.3569
5.8634e-009,0.3479
5.9020e-009,0.3412
5.9405e-009,0.3310
5.9791e-009,0.3216
6.0177e-009,0.3176
6.0563e-009,0.3161
6.0948e-009,0.3155
6.1334e-009,0.3178
6.1720e-009,0.3214
6.2106e-009,0.3231
6.2492e-009,0.3233
6.2877e-009,0.3231
6.3263e-009,0.3224
6.3649e-009,0.3221
6.4035e-009,0.3219
6.4420e-009,0.3209
6.4806e-009,0.3199
6.5192e-009,0.3199
6.5577e-009,0.3203
6.5963e-009,0.3203
6.6349e-009,0.3207
6.6735e-009,0.3211
6.7121e-009,0.3209
6.7506e-009,0.3205
6.7892e-009,0.3202
6.8278e-009,0.3201
6.8664e-009,0.3202
6.9049e-009,0.3203
6.9435e-009,0.3202
6.9821e-009,0.3201
7.0206e-009,0.3202
