.HEADER
..NAMES
Time,V U5.B8
.DATA
9.4895e-009,1.1734
9.5280e-009,1.1751
9.5666e-009,1.1768
9.6052e-009,1.1768
9.6437e-009,1.1757
9.6823e-009,1.1761
9.7209e-009,1.1799
9.7595e-009,1.1824
9.7981e-009,1.1697
9.8366e-009,1.1207
9.8752e-009,1.0238
9.9138e-009,0.8973
9.9524e-009,0.7720
9.9909e-009,0.6621
1.00295e-008,0.5687
1.00681e-008,0.4962
1.01066e-008,0.4484
1.01452e-008,0.4154
1.01838e-008,0.3856
1.02224e-008,0.3708
1.02610e-008,0.3923
1.02995e-008,0.4585
1.03381e-008,0.5610
1.03767e-008,0.6849
1.04152e-008,0.7966
1.04538e-008,0.8793
1.04924e-008,0.9416
1.05310e-008,0.9964
1.05695e-008,1.0397
1.06081e-008,1.0759
1.06467e-008,1.1200
1.06853e-008,1.1591
1.07239e-008,1.1669
1.07624e-008,1.1328
1.08010e-008,1.0604
1.08396e-008,0.9486
1.08781e-008,0.8222
1.09167e-008,0.7039
1.09553e-008,0.6039
1.09939e-008,0.5198
1.10324e-008,0.4600
1.10710e-008,0.4224
1.11096e-008,0.3920
1.11482e-008,0.3699
1.11868e-008,0.3798
1.12253e-008,0.4334
1.12639e-008,0.5213
1.13025e-008,0.6370
1.13410e-008,0.7568
1.13796e-008,0.8534
1.14182e-008,0.9215
1.14568e-008,0.9776
1.14953e-008,1.0260
1.15339e-008,1.0628
1.15725e-008,1.0894
1.16111e-008,1.1127
1.16497e-008,1.1311
1.16882e-008,1.1398
1.17268e-008,1.1446
1.17654e-008,1.1521
1.18039e-008,1.1613
1.18425e-008,1.1686
1.18811e-008,1.1738
1.19197e-008,1.1746
1.19583e-008,1.1720
1.19968e-008,1.1700
1.20354e-008,1.1709
1.20740e-008,1.1721
1.21126e-008,1.1725
1.21511e-008,1.1737
1.21897e-008,1.1757
1.22283e-008,1.1758
1.22668e-008,1.1744
1.23054e-008,1.1745
1.23440e-008,1.1762
1.23826e-008,1.1773
1.24212e-008,1.1770
1.24597e-008,1.1766
1.24983e-008,1.1763
1.25369e-008,1.1762
1.25755e-008,1.1764
1.26140e-008,1.1768
1.26526e-008,1.1769
1.26912e-008,1.1770
1.27297e-008,1.1774
1.27683e-008,1.1773
1.28069e-008,1.1767
1.28455e-008,1.1766
1.28841e-008,1.1771
1.29226e-008,1.1775
1.29612e-008,1.1772
1.29998e-008,1.1770
1.30383e-008,1.1771
1.30769e-008,1.1772
1.31155e-008,1.1772
1.31541e-008,1.1772
1.31926e-008,1.1773
1.32312e-008,1.1773
1.32698e-008,1.1774
1.33084e-008,1.1773
1.33470e-008,1.1772
1.33855e-008,1.1772
1.34241e-008,1.1778
1.34627e-008,1.1807
1.35012e-008,1.1838
1.35398e-008,1.1768
1.35784e-008,1.1395
1.36170e-008,1.0544
1.36555e-008,0.9318
1.36941e-008,0.8040
1.37327e-008,0.6907
1.37713e-008,0.5933
1.38099e-008,0.5139
1.38484e-008,0.4593
1.38870e-008,0.4244
1.39256e-008,0.3933
1.39641e-008,0.3722
1.40027e-008,0.3829
1.40413e-008,0.4377
1.40799e-008,0.5310
1.41185e-008,0.6526
1.41570e-008,0.7701
1.41956e-008,0.8602
1.42342e-008,0.9263
1.42728e-008,0.9834
1.43113e-008,1.0304
1.43499e-008,1.0649
1.43885e-008,1.0917
1.44270e-008,1.1159
1.44656e-008,1.1332
1.45042e-008,1.1403
1.45428e-008,1.1449
1.45814e-008,1.1527
1.46199e-008,1.1626
1.46585e-008,1.1705
1.46971e-008,1.1752
1.47357e-008,1.1744
1.47742e-008,1.1718
1.48128e-008,1.1708
1.48514e-008,1.1719
1.48899e-008,1.1723
1.49285e-008,1.1728
1.49671e-008,1.1748
1.50057e-008,1.1768
1.50443e-008,1.1760
1.50828e-008,1.1745
1.51214e-008,1.1751
1.51600e-008,1.1771
1.51985e-008,1.1780
1.52371e-008,1.1776
1.52757e-008,1.1770
1.53143e-008,1.1779
1.53528e-008,1.1816
1.53914e-008,1.1830
1.54300e-008,1.1677
1.54686e-008,1.1140
1.55071e-008,1.0125
1.55457e-008,0.8846
1.55843e-008,0.7605
1.56229e-008,0.6524
1.56615e-008,0.5610
1.57000e-008,0.4912
1.57386e-008,0.4453
1.57772e-008,0.4127
1.58158e-008,0.3838
1.58543e-008,0.3720
1.58929e-008,0.3978
1.59315e-008,0.4678
1.59701e-008,0.5737
1.60086e-008,0.6979
1.60472e-008,0.8067
1.60858e-008,0.8867
1.61243e-008,0.9480
1.61629e-008,1.0021
1.62015e-008,1.0441
1.62401e-008,1.0812
1.62786e-008,1.1253
1.63172e-008,1.1621
1.63558e-008,1.1659
1.63944e-008,1.1279
1.64329e-008,1.0508
1.64715e-008,0.9362
1.65101e-008,0.8098
1.65487e-008,0.6932
1.65873e-008,0.5948
1.66258e-008,0.5127
1.66644e-008,0.4557
1.67030e-008,0.4196
1.67416e-008,0.3898
1.67801e-008,0.3697
1.68187e-008,0.3838
1.68573e-008,0.4413
1.68959e-008,0.5324
1.69344e-008,0.6498
1.69730e-008,0.7683
1.70116e-008,0.8618
1.70501e-008,0.9278
1.70887e-008,0.9834
1.71273e-008,1.0307
1.71659e-008,1.0663
1.72044e-008,1.0922
1.72430e-008,1.1154
1.72816e-008,1.1328
1.73202e-008,1.1408
1.73588e-008,1.1456
1.73973e-008,1.1535
1.74359e-008,1.1626
1.74745e-008,1.1696
1.75131e-008,1.1746
1.75516e-008,1.1748
1.75902e-008,1.1721
1.76288e-008,1.1704
1.76674e-008,1.1744
1.77059e-008,1.1805
1.77445e-008,1.1801
1.77831e-008,1.1586
1.78216e-008,1.0956
1.78602e-008,0.9844
1.78988e-008,0.8533
1.79374e-008,0.7336
1.79759e-008,0.6316
1.80145e-008,0.5446
1.80531e-008,0.4791
1.80917e-008,0.4373
1.81302e-008,0.4101
1.81688e-008,0.3861
1.82074e-008,0.3653
1.82460e-008,0.3522
1.82846e-008,0.3461
1.83231e-008,0.3416
1.83617e-008,0.3352
1.84003e-008,0.3265
1.84389e-008,0.3200
1.84774e-008,0.3195
1.85160e-008,0.3218
1.85546e-008,0.3228
1.85932e-008,0.3237
1.86317e-008,0.3266
1.86703e-008,0.3289
1.87089e-008,0.3275
1.87474e-008,0.3244
1.87860e-008,0.3236
1.88246e-008,0.3248
1.88632e-008,0.3252
1.89017e-008,0.3240
1.89403e-008,0.3226
1.89789e-008,0.3225
1.90175e-008,0.3232
1.90560e-008,0.3240
1.90946e-008,0.3273
1.91332e-008,0.3415
1.91718e-008,0.3806
1.92104e-008,0.4569
1.92489e-008,0.5699
1.92875e-008,0.7000
1.93261e-008,0.8135
1.93647e-008,0.8940
1.94032e-008,0.9514
1.94418e-008,1.0001
1.94804e-008,1.0402
1.95190e-008,1.0709
1.95575e-008,1.0951
1.95961e-008,1.1162
1.96347e-008,1.1317
1.96732e-008,1.1402
1.97118e-008,1.1454
1.97504e-008,1.1526
1.97890e-008,1.1626
1.98275e-008,1.1713
1.98661e-008,1.1745
1.99047e-008,1.1721
1.99433e-008,1.1693
1.99819e-008,1.1696
2.00204e-008,1.1745
2.00590e-008,1.1799
2.00976e-008,1.1773
2.01362e-008,1.1493
2.01747e-008,1.0759
2.02133e-008,0.9574
2.02519e-008,0.8265
2.02905e-008,0.7100
2.03290e-008,0.6113
2.03676e-008,0.5288
2.04062e-008,0.4684
2.04447e-008,0.4300
2.04833e-008,0.4043
2.05219e-008,0.3811
2.05605e-008,0.3617
2.05990e-008,0.3498
2.06376e-008,0.3446
2.06762e-008,0.3403
2.07148e-008,0.3333
2.07533e-008,0.3243
2.07919e-008,0.3189
2.08305e-008,0.3195
2.08691e-008,0.3218
2.09077e-008,0.3226
2.09462e-008,0.3238
2.09848e-008,0.3268
2.10234e-008,0.3285
2.10620e-008,0.3266
2.11005e-008,0.3237
2.11391e-008,0.3233
2.11777e-008,0.3246
2.12163e-008,0.3248
2.12548e-008,0.3234
2.12934e-008,0.3222
2.13320e-008,0.3222
2.13705e-008,0.3230
2.14091e-008,0.3241
2.14477e-008,0.3288
2.14863e-008,0.3468
2.15248e-008,0.3930
2.15634e-008,0.4776
2.16020e-008,0.5968
2.16406e-008,0.7260
2.16791e-008,0.8328
2.17177e-008,0.9072
2.17563e-008,0.9620
2.17949e-008,1.0092
2.18335e-008,1.0472
2.18720e-008,1.0761
2.19106e-008,1.0996
2.19492e-008,1.1199
2.19878e-008,1.1338
2.20263e-008,1.1412
2.20649e-008,1.1464
2.21035e-008,1.1544
2.21420e-008,1.1645
2.21806e-008,1.1724
2.22192e-008,1.1742
2.22578e-008,1.1712
2.22963e-008,1.1689
2.23349e-008,1.1695
2.23735e-008,1.1708
2.24121e-008,1.1714
2.24506e-008,1.1726
2.24892e-008,1.1748
2.25278e-008,1.1760
2.25664e-008,1.1750
2.26050e-008,1.1739
2.26435e-008,1.1748
2.26821e-008,1.1767
2.27207e-008,1.1774
2.27593e-008,1.1767
2.27978e-008,1.1758
2.28364e-008,1.1758
2.28750e-008,1.1763
2.29136e-008,1.1766
2.29521e-008,1.1765
2.29907e-008,1.1767
2.30293e-008,1.1772
2.30678e-008,1.1774
2.31064e-008,1.1768
2.31450e-008,1.1763
2.31836e-008,1.1766
2.32221e-008,1.1773
2.32607e-008,1.1773
2.32993e-008,1.1769
2.33379e-008,1.1768
2.33764e-008,1.1770
2.34150e-008,1.1772
2.34536e-008,1.1771
2.34922e-008,1.1770
2.35308e-008,1.1771
2.35693e-008,1.1773
2.36079e-008,1.1773
2.36465e-008,1.1771
2.36851e-008,1.1770
2.37236e-008,1.1772
2.37622e-008,1.1790
2.38008e-008,1.1827
2.38394e-008,1.1824
2.38779e-008,1.1625
2.39165e-008,1.1013
2.39551e-008,0.9930
2.39936e-008,0.8638
2.40322e-008,0.7428
2.40708e-008,0.6380
2.41094e-008,0.5491
2.41479e-008,0.4823
2.41865e-008,0.4396
2.42251e-008,0.4072
2.42637e-008,0.3793
2.43023e-008,0.3727
2.43408e-008,0.4059
2.43794e-008,0.4818
2.44180e-008,0.5925
2.44566e-008,0.7162
2.44951e-008,0.8206
2.45337e-008,0.8966
2.45723e-008,0.9566
2.46109e-008,1.0096
2.46494e-008,1.0495
2.46880e-008,1.0793
2.47266e-008,1.1045
2.47651e-008,1.1263
2.48037e-008,1.1377
