.HEADER
..NAMES
Time,V U3.N2
.DATA
0.0e+000,1.0894
3.67e-011,1.0894
7.33e-011,1.0894
1.100e-010,1.0894
1.467e-010,1.0894
1.834e-010,1.0894
2.201e-010,1.0894
2.567e-010,1.0894
2.934e-010,1.0894
3.301e-010,1.0894
3.667e-010,1.0894
4.034e-010,1.0894
4.401e-010,1.0894
4.768e-010,1.0894
5.135e-010,1.0894
5.501e-010,1.0894
5.868e-010,1.0894
6.235e-010,1.0894
6.601e-010,1.0895
6.968e-010,1.0897
7.335e-010,1.0902
7.702e-010,1.0909
8.068e-010,1.0906
8.435e-010,1.0865
8.802e-010,1.0739
9.169e-010,1.0479
9.536e-010,1.0052
9.902e-010,0.9444
1.0269e-009,0.8661
1.0636e-009,0.7745
1.1003e-009,0.6793
1.1369e-009,0.5916
1.1736e-009,0.5207
1.2103e-009,0.4715
1.2469e-009,0.4457
1.2836e-009,0.4398
1.3203e-009,0.4464
1.3570e-009,0.4565
1.3936e-009,0.4617
1.4303e-009,0.4564
1.4670e-009,0.4397
1.5037e-009,0.4148
1.5403e-009,0.3874
1.5770e-009,0.3629
1.6137e-009,0.3455
1.6504e-009,0.3372
1.6871e-009,0.3381
1.7237e-009,0.3470
1.7604e-009,0.3639
1.7971e-009,0.3912
1.8338e-009,0.4316
1.8704e-009,0.4867
1.9071e-009,0.5567
1.9438e-009,0.6402
1.9805e-009,0.7319
2.0171e-009,0.8210
2.0538e-009,0.8947
2.0905e-009,0.9451
2.1272e-009,0.9708
2.1638e-009,0.9750
2.2005e-009,0.9641
2.2372e-009,0.9476
2.2738e-009,0.9364
2.3105e-009,0.9385
2.3472e-009,0.9559
2.3839e-009,0.9850
2.4205e-009,1.0180
2.4572e-009,1.0468
2.4939e-009,1.0661
2.5306e-009,1.0741
2.5672e-009,1.0716
2.6039e-009,1.0627
2.6406e-009,1.0532
2.6773e-009,1.0489
2.7139e-009,1.0520
2.7506e-009,1.0614
2.7873e-009,1.0740
2.8240e-009,1.0856
2.8606e-009,1.0926
2.8973e-009,1.0937
2.9340e-009,1.0899
2.9707e-009,1.0841
3.0073e-009,1.0797
3.0440e-009,1.0790
3.0807e-009,1.0828
3.1174e-009,1.0902
3.1540e-009,1.0985
3.1907e-009,1.1049
3.2274e-009,1.1074
3.2641e-009,1.1055
3.3007e-009,1.1006
3.3374e-009,1.0950
3.3741e-009,1.0910
3.4108e-009,1.0902
3.4475e-009,1.0929
3.4841e-009,1.0981
3.5208e-009,1.1040
3.5575e-009,1.1085
3.5942e-009,1.1097
3.6308e-009,1.1057
3.6675e-009,1.0936
3.7042e-009,1.0698
3.7408e-009,1.0317
3.7775e-009,0.9785
3.8142e-009,0.9101
3.8509e-009,0.8276
3.8875e-009,0.7357
3.9242e-009,0.6445
3.9609e-009,0.5646
3.9976e-009,0.5028
4.0342e-009,0.4626
4.0709e-009,0.4441
4.1076e-009,0.4436
4.1443e-009,0.4533
4.1809e-009,0.4637
4.2176e-009,0.4664
4.2543e-009,0.4569
4.2910e-009,0.4358
4.3276e-009,0.4081
4.3643e-009,0.3795
4.4010e-009,0.3555
4.4377e-009,0.3398
4.4743e-009,0.3343
4.5110e-009,0.3370
4.5477e-009,0.3434
4.5844e-009,0.3484
4.6211e-009,0.3489
4.6577e-009,0.3442
4.6944e-009,0.3356
4.7311e-009,0.3261
4.7678e-009,0.3190
4.8044e-009,0.3168
4.8411e-009,0.3201
4.8778e-009,0.3270
4.9145e-009,0.3342
4.9511e-009,0.3387
4.9878e-009,0.3386
5.0245e-009,0.3336
5.0612e-009,0.3249
5.0978e-009,0.3152
5.1345e-009,0.3075
5.1712e-009,0.3042
5.2079e-009,0.3058
5.2445e-009,0.3111
5.2812e-009,0.3176
5.3179e-009,0.3231
5.3546e-009,0.3258
5.3912e-009,0.3251
5.4279e-009,0.3215
5.4646e-009,0.3169
5.5013e-009,0.3134
5.5379e-009,0.3130
5.5746e-009,0.3161
5.6113e-009,0.3220
5.6480e-009,0.3292
5.6846e-009,0.3360
5.7213e-009,0.3406
5.7580e-009,0.3417
5.7947e-009,0.3393
5.8313e-009,0.3345
5.8680e-009,0.3292
5.9047e-009,0.3249
5.9414e-009,0.3225
5.9780e-009,0.3225
6.0147e-009,0.3246
6.0514e-009,0.3278
6.0881e-009,0.3310
6.1247e-009,0.3332
6.1614e-009,0.3338
6.1981e-009,0.3330
6.2348e-009,0.3312
6.2714e-009,0.3294
6.3081e-009,0.3279
6.3448e-009,0.3272
6.3815e-009,0.3273
6.4181e-009,0.3280
6.4548e-009,0.3288
6.4915e-009,0.3295
6.5282e-009,0.3296
6.5648e-009,0.3292
6.6015e-009,0.3285
6.6382e-009,0.3276
6.6749e-009,0.3270
6.7115e-009,0.3268
6.7482e-009,0.3271
6.7849e-009,0.3278
6.8215e-009,0.3285
6.8582e-009,0.3291
6.8949e-009,0.3294
6.9316e-009,0.3294
6.9682e-009,0.3291
7.0049e-009,0.3285
7.0416e-009,0.3278
7.0783e-009,0.3272
7.1149e-009,0.3269
7.1516e-009,0.3269
7.1883e-009,0.3271
7.2250e-009,0.3274
7.2616e-009,0.3277
7.2983e-009,0.3279
7.3350e-009,0.3278
7.3717e-009,0.3273
7.4083e-009,0.3264
7.4450e-009,0.3251
7.4817e-009,0.3238
7.5184e-009,0.3225
7.5550e-009,0.3217
7.5917e-009,0.3217
7.6284e-009,0.3227
7.6651e-009,0.3244
7.7018e-009,0.3264
7.7384e-009,0.3282
7.7751e-009,0.3293
7.8118e-009,0.3297
7.8484e-009,0.3290
7.8851e-009,0.3274
7.9218e-009,0.3256
7.9585e-009,0.3242
