.HEADER
..NAMES
Time,V U4.M3
.DATA
9.0220e-009,0.9898
9.0587e-009,1.0119
9.0954e-009,1.0383
9.1321e-009,1.0639
9.1688e-009,1.0810
9.2054e-009,1.0797
9.2421e-009,1.0501
9.2788e-009,0.9879
9.3154e-009,0.8971
9.3521e-009,0.7891
9.3888e-009,0.6802
9.4255e-009,0.5874
9.4622e-009,0.5209
9.4988e-009,0.4818
9.5355e-009,0.4653
9.5722e-009,0.4627
9.6088e-009,0.4643
9.6455e-009,0.4637
9.6822e-009,0.4591
9.7189e-009,0.4527
9.7556e-009,0.4473
9.7922e-009,0.4451
9.8289e-009,0.4465
9.8656e-009,0.4492
9.9022e-009,0.4496
9.9389e-009,0.4446
9.9756e-009,0.4328
1.00123e-008,0.4143
1.00490e-008,0.3912
1.00856e-008,0.3669
1.01223e-008,0.3457
1.01590e-008,0.3316
1.01956e-008,0.3263
1.02323e-008,0.3292
1.02690e-008,0.3369
1.03057e-008,0.3445
1.03424e-008,0.3481
1.03790e-008,0.3459
1.04157e-008,0.3390
1.04524e-008,0.3304
1.04890e-008,0.3232
1.05257e-008,0.3197
1.05624e-008,0.3202
1.05991e-008,0.3234
1.06358e-008,0.3267
1.06724e-008,0.3283
1.07091e-008,0.3271
1.07458e-008,0.3236
1.07824e-008,0.3192
1.08191e-008,0.3156
1.08558e-008,0.3139
1.08925e-008,0.3145
1.09292e-008,0.3167
1.09658e-008,0.3199
1.10025e-008,0.3233
1.10392e-008,0.3262
1.10758e-008,0.3283
1.11125e-008,0.3293
1.11492e-008,0.3295
1.11859e-008,0.3292
1.12226e-008,0.3289
1.12592e-008,0.3290
1.12959e-008,0.3294
1.13326e-008,0.3297
1.13693e-008,0.3296
1.14059e-008,0.3287
1.14426e-008,0.3273
1.14793e-008,0.3258
1.15159e-008,0.3247
1.15526e-008,0.3244
1.15893e-008,0.3249
1.16260e-008,0.3261
1.16627e-008,0.3273
1.16993e-008,0.3282
1.17360e-008,0.3284
1.17727e-008,0.3282
1.18093e-008,0.3279
1.18460e-008,0.3278
1.18827e-008,0.3281
1.19194e-008,0.3287
1.19561e-008,0.3291
1.19927e-008,0.3292
1.20294e-008,0.3289
1.20661e-008,0.3283
1.21027e-008,0.3277
1.21394e-008,0.3272
1.21761e-008,0.3272
1.22128e-008,0.3275
1.22495e-008,0.3280
1.22861e-008,0.3285
1.23228e-008,0.3289
1.23595e-008,0.3291
1.23961e-008,0.3290
1.24328e-008,0.3286
1.24695e-008,0.3282
1.25062e-008,0.3278
1.25429e-008,0.3277
1.25795e-008,0.3279
1.26162e-008,0.3282
1.26529e-008,0.3286
1.26895e-008,0.3288
1.27262e-008,0.3288
1.27629e-008,0.3285
1.27996e-008,0.3282
1.28363e-008,0.3290
1.28729e-008,0.3336
1.29096e-008,0.3471
1.29463e-008,0.3763
1.29829e-008,0.4271
1.30196e-008,0.5011
1.30563e-008,0.5924
1.30930e-008,0.6896
1.31297e-008,0.7796
1.31663e-008,0.8513
1.32030e-008,0.8992
1.32397e-008,0.9252
1.32763e-008,0.9362
1.33130e-008,0.9399
1.33497e-008,0.9433
1.33864e-008,0.9500
1.34231e-008,0.9599
1.34597e-008,0.9702
1.34964e-008,0.9780
1.35331e-008,0.9821
1.35697e-008,0.9831
1.36064e-008,0.9835
1.36431e-008,0.9867
1.36798e-008,0.9953
1.37165e-008,1.0099
1.37531e-008,1.0293
1.37898e-008,1.0509
1.38265e-008,1.0701
1.38631e-008,1.0797
1.38998e-008,1.0699
1.39365e-008,1.0314
1.39732e-008,0.9611
1.40099e-008,0.8647
1.40465e-008,0.7546
1.40832e-008,0.6480
1.41199e-008,0.5612
1.41565e-008,0.5027
1.41932e-008,0.4721
1.42299e-008,0.4629
1.42666e-008,0.4652
1.43033e-008,0.4691
1.43399e-008,0.4685
1.43766e-008,0.4627
1.44133e-008,0.4547
1.44499e-008,0.4480
1.44866e-008,0.4452
1.45233e-008,0.4464
1.45600e-008,0.4490
1.45967e-008,0.4488
1.46333e-008,0.4424
1.46700e-008,0.4286
1.47067e-008,0.4084
1.47433e-008,0.3865
1.47800e-008,0.3718
1.48167e-008,0.3771
1.48534e-008,0.4138
1.48901e-008,0.4866
1.49267e-008,0.5882
1.49634e-008,0.7018
1.50001e-008,0.8070
1.50368e-008,0.8863
1.50734e-008,0.9317
1.51101e-008,0.9472
1.51468e-008,0.9445
1.51834e-008,0.9365
1.52201e-008,0.9334
1.52568e-008,0.9400
1.52935e-008,0.9540
1.53301e-008,0.9690
1.53668e-008,0.9790
1.54035e-008,0.9811
1.54402e-008,0.9767
1.54769e-008,0.9702
1.55135e-008,0.9678
1.55502e-008,0.9739
1.55869e-008,0.9895
1.56236e-008,1.0123
1.56602e-008,1.0381
1.56969e-008,1.0621
1.57336e-008,1.0796
1.57703e-008,1.0878
1.58069e-008,1.0869
1.58436e-008,1.0800
1.58803e-008,1.0721
1.59169e-008,1.0682
1.59536e-008,1.0709
1.59903e-008,1.0795
1.60270e-008,1.0904
1.60636e-008,1.0993
1.61003e-008,1.1031
1.61370e-008,1.1012
1.61737e-008,1.0957
1.62104e-008,1.0898
1.62470e-008,1.0866
1.62837e-008,1.0877
1.63204e-008,1.0927
1.63571e-008,1.0992
1.63937e-008,1.1047
1.64304e-008,1.1072
1.64671e-008,1.1062
1.65037e-008,1.1029
1.65404e-008,1.0992
1.65771e-008,1.0969
1.66138e-008,1.0965
1.66504e-008,1.0962
1.66871e-008,1.0908
1.67238e-008,1.0716
1.67605e-008,1.0296
1.67972e-008,0.9607
1.68338e-008,0.8677
1.68705e-008,0.7608
