.HEADER
..NAMES
Time,V U2.E7
.DATA
9.4895e-009,0.9793
9.5280e-009,1.0305
9.5666e-009,1.0664
9.6052e-009,1.0923
9.6437e-009,1.1109
9.6823e-009,1.1241
9.7209e-009,1.1344
9.7595e-009,1.1450
9.7981e-009,1.1559
9.8366e-009,1.1654
9.8752e-009,1.1713
9.9138e-009,1.1724
9.9524e-009,1.1719
9.9909e-009,1.1722
1.00295e-008,1.1726
1.00681e-008,1.1745
1.01066e-008,1.1794
1.01452e-008,1.1788
1.01838e-008,1.1623
1.02224e-008,1.1113
1.02610e-008,1.0210
1.02995e-008,0.9137
1.03381e-008,0.8015
1.03767e-008,0.6875
1.04152e-008,0.5853
1.04538e-008,0.5043
1.04924e-008,0.4469
1.05310e-008,0.4045
1.05695e-008,0.3721
1.06081e-008,0.3708
1.06467e-008,0.3954
1.06853e-008,0.4518
1.07239e-008,0.5409
1.07624e-008,0.6510
1.08010e-008,0.7545
1.08396e-008,0.8493
1.08781e-008,0.9315
1.09167e-008,0.9970
1.09553e-008,1.0452
1.09939e-008,1.0801
1.10324e-008,1.1048
1.10710e-008,1.1201
1.11096e-008,1.1315
1.11482e-008,1.1423
1.11868e-008,1.1520
1.12253e-008,1.1608
1.12639e-008,1.1687
1.13025e-008,1.1730
1.13410e-008,1.1737
1.13796e-008,1.1738
1.14182e-008,1.1739
1.14568e-008,1.1735
1.14953e-008,1.1731
1.15339e-008,1.1733
1.15725e-008,1.1736
1.16111e-008,1.1739
1.16497e-008,1.1747
1.16882e-008,1.1757
1.17268e-008,1.1764
1.17654e-008,1.1770
1.18039e-008,1.1772
1.18425e-008,1.1767
1.18811e-008,1.1765
1.19197e-008,1.1766
1.19583e-008,1.1768
1.19968e-008,1.1769
1.20354e-008,1.1770
1.20740e-008,1.1771
1.21126e-008,1.1771
1.21511e-008,1.1772
1.21897e-008,1.1772
1.22283e-008,1.1773
1.22668e-008,1.1772
1.23054e-008,1.1772
1.23440e-008,1.1771
1.23826e-008,1.1771
1.24212e-008,1.1772
1.24597e-008,1.1772
1.24983e-008,1.1772
1.25369e-008,1.1772
1.25755e-008,1.1773
1.26140e-008,1.1773
1.26526e-008,1.1772
1.26912e-008,1.1773
1.27297e-008,1.1773
1.27683e-008,1.1773
1.28069e-008,1.1773
1.28455e-008,1.1773
1.28841e-008,1.1773
1.29226e-008,1.1773
1.29612e-008,1.1773
1.29998e-008,1.1773
1.30383e-008,1.1773
1.30769e-008,1.1773
1.31155e-008,1.1773
1.31541e-008,1.1773
1.31926e-008,1.1773
1.32312e-008,1.1773
1.32698e-008,1.1773
1.33084e-008,1.1773
1.33470e-008,1.1783
1.33855e-008,1.1818
1.34241e-008,1.1821
1.34627e-008,1.1677
1.35012e-008,1.1209
1.35398e-008,1.0336
1.35784e-008,0.9264
1.36170e-008,0.8145
1.36555e-008,0.7003
1.36941e-008,0.5967
1.37327e-008,0.5135
1.37713e-008,0.4535
1.38099e-008,0.4097
1.38484e-008,0.3748
1.38870e-008,0.3699
1.39256e-008,0.3916
1.39641e-008,0.4445
1.40027e-008,0.5302
1.40413e-008,0.6394
1.40799e-008,0.7440
1.41185e-008,0.8397
1.41570e-008,0.9236
1.41956e-008,0.9911
1.42342e-008,1.0410
1.42728e-008,1.0770
1.43113e-008,1.1027
1.43499e-008,1.1188
1.43885e-008,1.1304
1.44270e-008,1.1414
1.44656e-008,1.1511
1.45042e-008,1.1600
1.45428e-008,1.1681
1.45814e-008,1.1729
1.46199e-008,1.1738
1.46585e-008,1.1739
1.46971e-008,1.1741
1.47357e-008,1.1741
1.47742e-008,1.1775
1.48128e-008,1.1809
1.48514e-008,1.1750
1.48899e-008,1.1460
1.49285e-008,1.0774
1.49671e-008,0.9768
1.50057e-008,0.8672
