.HEADER
..NAMES
Time,V U3.K1
.DATA
0.0e+000,0.3307
3.67e-011,0.3307
7.33e-011,0.3307
1.100e-010,0.3307
1.467e-010,0.3307
1.834e-010,0.3307
2.201e-010,0.3307
2.567e-010,0.3307
2.934e-010,0.3307
3.301e-010,0.3307
3.667e-010,0.3307
4.034e-010,0.3307
4.401e-010,0.3307
4.768e-010,0.3307
5.135e-010,0.3307
5.501e-010,0.3307
5.868e-010,0.3307
6.235e-010,0.3307
6.601e-010,0.3307
6.968e-010,0.3308
7.335e-010,0.3315
7.702e-010,0.3342
8.068e-010,0.3421
8.435e-010,0.3596
8.802e-010,0.3905
9.169e-010,0.4367
9.536e-010,0.4974
9.902e-010,0.5707
1.0269e-009,0.6537
1.0636e-009,0.7410
1.1003e-009,0.8237
1.1369e-009,0.8932
1.1736e-009,0.9450
1.2103e-009,0.9772
1.2469e-009,0.9900
1.2836e-009,0.9880
1.3203e-009,0.9788
1.3570e-009,0.9705
1.3936e-009,0.9695
1.4303e-009,0.9792
1.4670e-009,0.9995
1.5037e-009,1.0269
1.5403e-009,1.0563
1.5770e-009,1.0827
1.6137e-009,1.1012
1.6504e-009,1.1093
1.6871e-009,1.1072
1.7237e-009,1.0966
1.7604e-009,1.0795
1.7971e-009,1.0564
1.8338e-009,1.0257
1.8704e-009,0.9865
1.9071e-009,0.9387
1.9438e-009,0.8799
1.9805e-009,0.8061
2.0171e-009,0.7196
2.0538e-009,0.6296
2.0905e-009,0.5454
2.1272e-009,0.4743
2.1638e-009,0.4244
2.2005e-009,0.4002
2.2372e-009,0.3997
2.2738e-009,0.4163
2.3105e-009,0.4404
2.3472e-009,0.4606
2.3839e-009,0.4682
2.4205e-009,0.4593
2.4572e-009,0.4345
2.4939e-009,0.3982
2.5306e-009,0.3585
2.5672e-009,0.3243
2.6039e-009,0.3021
2.6406e-009,0.2960
2.6773e-009,0.3063
2.7139e-009,0.3280
2.7506e-009,0.3525
2.7873e-009,0.3719
2.8240e-009,0.3808
2.8606e-009,0.3770
2.8973e-009,0.3624
2.9340e-009,0.3424
2.9707e-009,0.3227
3.0073e-009,0.3085
3.0440e-009,0.3027
3.0807e-009,0.3059
3.1174e-009,0.3159
3.1540e-009,0.3289
3.1907e-009,0.3408
3.2274e-009,0.3474
3.2641e-009,0.3469
3.3007e-009,0.3396
3.3374e-009,0.3279
3.3741e-009,0.3153
