.HEADER
..NAMES
Time,V U3.K3
.DATA
9.0220e-009,1.0435
9.0587e-009,1.0497
9.0954e-009,1.0491
9.1321e-009,1.0460
9.1688e-009,1.0449
9.2054e-009,1.0487
9.2421e-009,1.0575
9.2788e-009,1.0684
9.3154e-009,1.0758
9.3521e-009,1.0708
9.3888e-009,1.0442
9.4255e-009,0.9897
9.4622e-009,0.9075
9.4988e-009,0.8050
9.5355e-009,0.6962
9.5722e-009,0.5970
9.6088e-009,0.5205
9.6455e-009,0.4733
9.6822e-009,0.4548
9.7189e-009,0.4568
9.7556e-009,0.4671
9.7922e-009,0.4743
9.8289e-009,0.4713
9.8656e-009,0.4566
9.9022e-009,0.4340
9.9389e-009,0.4097
9.9756e-009,0.3896
1.00123e-008,0.3766
1.00490e-008,0.3708
1.00856e-008,0.3700
1.01223e-008,0.3704
1.01590e-008,0.3691
1.01956e-008,0.3647
1.02323e-008,0.3572
1.02690e-008,0.3478
1.03057e-008,0.3385
1.03424e-008,0.3315
1.03790e-008,0.3283
1.04157e-008,0.3291
1.04524e-008,0.3326
1.04890e-008,0.3367
1.05257e-008,0.3392
1.05624e-008,0.3391
1.05991e-008,0.3362
1.06358e-008,0.3315
1.06724e-008,0.3265
1.07091e-008,0.3230
1.07458e-008,0.3217
1.07824e-008,0.3226
1.08191e-008,0.3246
1.08558e-008,0.3264
1.08925e-008,0.3268
1.09292e-008,0.3256
1.09658e-008,0.3235
1.10025e-008,0.3215
1.10392e-008,0.3203
1.10758e-008,0.3205
1.11125e-008,0.3218
1.11492e-008,0.3237
1.11859e-008,0.3256
1.12226e-008,0.3272
1.12592e-008,0.3286
1.12959e-008,0.3300
1.13326e-008,0.3314
1.13693e-008,0.3328
1.14059e-008,0.3338
1.14426e-008,0.3342
1.14793e-008,0.3339
1.15159e-008,0.3329
1.15526e-008,0.3315
1.15893e-008,0.3301
1.16260e-008,0.3292
1.16627e-008,0.3290
1.16993e-008,0.3294
1.17360e-008,0.3301
1.17727e-008,0.3309
1.18093e-008,0.3316
1.18460e-008,0.3319
1.18827e-008,0.3319
1.19194e-008,0.3316
1.19561e-008,0.3311
1.19927e-008,0.3309
1.20294e-008,0.3321
1.20661e-008,0.3369
1.21027e-008,0.3495
1.21394e-008,0.3753
1.21761e-008,0.4192
1.22128e-008,0.4833
1.22495e-008,0.5648
1.22861e-008,0.6562
1.23228e-008,0.7469
1.23595e-008,0.8259
1.23961e-008,0.8853
1.24328e-008,0.9225
1.24695e-008,0.9402
1.25062e-008,0.9454
1.25429e-008,0.9467
1.25795e-008,0.9514
1.26162e-008,0.9632
1.26529e-008,0.9817
1.26895e-008,1.0038
1.27262e-008,1.0249
1.27629e-008,1.0413
1.27996e-008,1.0514
1.28363e-008,1.0560
1.28729e-008,1.0574
1.29096e-008,1.0582
1.29463e-008,1.0608
1.29829e-008,1.0660
1.30196e-008,1.0730
1.30563e-008,1.0806
1.30930e-008,1.0868
1.31297e-008,1.0902
1.31663e-008,1.0903
1.32030e-008,1.0879
1.32397e-008,1.0848
1.32763e-008,1.0828
1.33130e-008,1.0832
1.33497e-008,1.0861
1.33864e-008,1.0907
1.34231e-008,1.0955
1.34597e-008,1.0991
1.34964e-008,1.1006
1.35331e-008,1.1000
1.35697e-008,1.0981
1.36064e-008,1.0963
1.36431e-008,1.0956
1.36798e-008,1.0964
1.37165e-008,1.0983
1.37531e-008,1.1005
1.37898e-008,1.1022
1.38265e-008,1.1025
1.38631e-008,1.1016
1.38998e-008,1.0998
1.39365e-008,1.0977
1.39732e-008,1.0958
1.40099e-008,1.0944
1.40465e-008,1.0933
1.40832e-008,1.0925
1.41199e-008,1.0916
1.41565e-008,1.0907
1.41932e-008,1.0899
1.42299e-008,1.0894
1.42666e-008,1.0892
1.43033e-008,1.0896
1.43399e-008,1.0903
1.43766e-008,1.0912
1.44133e-008,1.0919
1.44499e-008,1.0923
1.44866e-008,1.0921
1.45233e-008,1.0916
1.45600e-008,1.0909
1.45967e-008,1.0902
1.46333e-008,1.0898
1.46700e-008,1.0897
1.47067e-008,1.0901
1.47433e-008,1.0907
1.47800e-008,1.0913
1.48167e-008,1.0921
1.48534e-008,1.0930
1.48901e-008,1.0934
1.49267e-008,1.0914
1.49634e-008,1.0823
1.50001e-008,1.0595
1.50368e-008,1.0167
1.50734e-008,0.9506
1.51101e-008,0.8630
1.51468e-008,0.7621
1.51834e-008,0.6603
1.52201e-008,0.5712
1.52568e-008,0.5051
1.52935e-008,0.4667
1.53301e-008,0.4532
1.53668e-008,0.4559
1.54035e-008,0.4638
1.54402e-008,0.4672
1.54769e-008,0.4604
1.55135e-008,0.4429
1.55502e-008,0.4188
1.55869e-008,0.3943
1.56236e-008,0.3746
1.56602e-008,0.3627
1.56969e-008,0.3585
1.57336e-008,0.3591
1.57703e-008,0.3615
1.58069e-008,0.3643
1.58436e-008,0.3696
1.58803e-008,0.3835
1.59169e-008,0.4144
1.59536e-008,0.4691
1.59903e-008,0.5485
1.60270e-008,0.6460
1.60636e-008,0.7489
1.61003e-008,0.8415
1.61370e-008,0.9108
1.61737e-008,0.9506
1.62104e-008,0.9629
1.62470e-008,0.9566
1.62837e-008,0.9444
1.63204e-008,0.9382
1.63571e-008,0.9448
1.63937e-008,0.9643
1.64304e-008,0.9916
1.64671e-008,1.0192
1.65037e-008,1.0400
1.65404e-008,1.0508
1.65771e-008,1.0524
1.66138e-008,1.0489
1.66504e-008,1.0450
1.66871e-008,1.0450
1.67238e-008,1.0504
1.67605e-008,1.0602
1.67972e-008,1.0717
1.68338e-008,1.0820
1.68705e-008,1.0886
1.69072e-008,1.0904
1.69439e-008,1.0884
1.69805e-008,1.0849
1.70172e-008,1.0824
1.70539e-008,1.0827
1.70905e-008,1.0861
1.71272e-008,1.0915
1.71639e-008,1.0970
1.72006e-008,1.1008
1.72372e-008,1.1018
1.72739e-008,1.1003
1.73106e-008,1.0972
1.73473e-008,1.0946
1.73840e-008,1.0937
1.74206e-008,1.0951
1.74573e-008,1.0983
1.74940e-008,1.1018
1.75307e-008,1.1043
1.75673e-008,1.1047
1.76040e-008,1.1031
1.76407e-008,1.1002
1.76773e-008,1.0971
1.77140e-008,1.0949
1.77507e-008,1.0938
1.77874e-008,1.0935
1.78240e-008,1.0933
1.78607e-008,1.0928
1.78974e-008,1.0916
1.79341e-008,1.0901
1.79708e-008,1.0888
1.80074e-008,1.0881
1.80441e-008,1.0884
1.80808e-008,1.0897
1.81175e-008,1.0914
1.81541e-008,1.0930
1.81908e-008,1.0938
1.82275e-008,1.0936
1.82641e-008,1.0925
1.83008e-008,1.0911
1.83375e-008,1.0899
1.83742e-008,1.0891
1.84108e-008,1.0892
1.84475e-008,1.0898
1.84842e-008,1.0909
1.85209e-008,1.0919
1.85576e-008,1.0927
1.85942e-008,1.0934
1.86309e-008,1.0936
1.86676e-008,1.0922
1.87043e-008,1.0855
1.87409e-008,1.0675
1.87776e-008,1.0314
1.88143e-008,0.9727
1.88509e-008,0.8913
1.88876e-008,0.7934
1.89243e-008,0.6903
1.89610e-008,0.5959
1.89976e-008,0.5218
1.90343e-008,0.4748
1.90710e-008,0.4544
1.91077e-008,0.4536
1.91444e-008,0.4614
1.91810e-008,0.4672
1.92177e-008,0.4639
1.92544e-008,0.4493
1.92911e-008,0.4264
1.93277e-008,0.4012
1.93644e-008,0.3794
1.94011e-008,0.3650
1.94377e-008,0.3587
1.94744e-008,0.3584
1.95111e-008,0.3607
1.95478e-008,0.3634
1.95844e-008,0.3675
1.96211e-008,0.3778
1.96578e-008,0.4024
1.96945e-008,0.4493
1.97312e-008,0.5214
1.97678e-008,0.6144
1.98045e-008,0.7173
1.98412e-008,0.8147
1.98779e-008,0.8923
1.99145e-008,0.9413
1.99512e-008,0.9614
1.99879e-008,0.9595
2.00245e-008,0.9477
2.00612e-008,0.9387
2.00979e-008,0.9411
2.01346e-008,0.9570
2.01712e-008,0.9827
2.02079e-008,1.0111
2.02446e-008,1.0345
2.02813e-008,1.0485
2.03179e-008,1.0526
2.03546e-008,1.0501
2.03913e-008,1.0459
2.04280e-008,1.0446
2.04647e-008,1.0490
2.05013e-008,1.0588
2.05380e-008,1.0705
2.05747e-008,1.0775
2.06114e-008,1.0704
2.06480e-008,1.0402
2.06847e-008,0.9820
2.07214e-008,0.8970
2.07580e-008,0.7937
2.07947e-008,0.6864
2.08314e-008,0.5904
2.08681e-008,0.5176
2.09047e-008,0.4738
2.09414e-008,0.4572
2.09781e-008,0.4592
2.10148e-008,0.4680
2.10515e-008,0.4732
2.10881e-008,0.4687
2.11248e-008,0.4535
2.11615e-008,0.4313
2.11982e-008,0.4082
2.12348e-008,0.3893
2.12715e-008,0.3771
2.13082e-008,0.3716
2.13448e-008,0.3703
2.13815e-008,0.3699
2.14182e-008,0.3678
2.14549e-008,0.3629
2.14915e-008,0.3553
2.15282e-008,0.3460
2.15649e-008,0.3373
2.16016e-008,0.3310
2.16383e-008,0.3284
2.16749e-008,0.3295
2.17116e-008,0.3329
2.17483e-008,0.3367
2.17850e-008,0.3389
2.18216e-008,0.3385
2.18583e-008,0.3355
2.18950e-008,0.3309
2.19316e-008,0.3262
2.19683e-008,0.3229
2.20050e-008,0.3218
2.20417e-008,0.3226
2.20783e-008,0.3244
2.21150e-008,0.3259
2.21517e-008,0.3261
2.21884e-008,0.3250
2.22251e-008,0.3231
2.22617e-008,0.3213
2.22984e-008,0.3206
2.23351e-008,0.3221
2.23718e-008,0.3277
2.24084e-008,0.3411
2.24451e-008,0.3679
2.24818e-008,0.4137
2.25184e-008,0.4809
2.25551e-008,0.5669
2.25918e-008,0.6630
2.26285e-008,0.7572
2.26651e-008,0.8374
