.HEADER
..NAMES
Time,V U5.D7
.DATA
0.0e+000,1.1766
3.86e-011,1.1766
7.72e-011,1.1766
1.157e-010,1.1766
1.543e-010,1.1766
1.929e-010,1.1766
2.314e-010,1.1766
2.700e-010,1.1766
3.086e-010,1.1766
3.472e-010,1.1766
3.857e-010,1.1766
4.243e-010,1.1766
4.629e-010,1.1766
5.015e-010,1.1766
5.401e-010,1.1766
5.786e-010,1.1766
6.172e-010,1.1766
6.558e-010,1.1766
6.944e-010,1.1766
7.329e-010,1.1766
7.715e-010,1.1785
8.101e-010,1.1815
8.486e-010,1.1791
8.872e-010,1.1568
9.258e-010,1.0975
9.644e-010,1.0015
1.0029e-009,0.8898
1.0415e-009,0.7778
1.0801e-009,0.6687
1.1187e-009,0.5689
1.1572e-009,0.4906
1.1958e-009,0.4381
1.2344e-009,0.4031
1.2730e-009,0.3777
1.3115e-009,0.3615
1.3501e-009,0.3528
1.3887e-009,0.3450
1.4273e-009,0.3352
1.4658e-009,0.3264
1.5044e-009,0.3212
1.5430e-009,0.3194
1.5816e-009,0.3197
1.6202e-009,0.3211
1.6587e-009,0.3232
1.6973e-009,0.3265
1.7359e-009,0.3339
1.7745e-009,0.3524
1.8130e-009,0.3938
1.8516e-009,0.4679
1.8902e-009,0.5735
1.9288e-009,0.6895
1.9673e-009,0.7925
2.0059e-009,0.8769
2.0445e-009,0.9504
2.0830e-009,1.0116
2.1216e-009,1.0538
2.1602e-009,1.0909
2.1988e-009,1.1269
2.2374e-009,1.1540
2.2759e-009,1.1521
2.3145e-009,1.1215
2.3531e-009,1.0553
2.3916e-009,0.9502
2.4302e-009,0.8294
2.4688e-009,0.7130
2.5074e-009,0.6070
2.5459e-009,0.5165
2.5845e-009,0.4505
2.6231e-009,0.4070
2.6617e-009,0.3770
2.7003e-009,0.3632
2.7388e-009,0.3820
2.7774e-009,0.4341
2.8160e-009,0.5161
2.8545e-009,0.6253
2.8931e-009,0.7397
2.9317e-009,0.8389
2.9703e-009,0.9197
3.0089e-009,0.9896
3.0474e-009,1.0453
3.0860e-009,1.0832
3.1246e-009,1.1195
3.1631e-009,1.1503
3.2017e-009,1.1590
3.2403e-009,1.1391
3.2789e-009,1.0832
3.3175e-009,0.9895
3.3560e-009,0.8734
3.3946e-009,0.7527
3.4332e-009,0.6421
3.4717e-009,0.5462
3.5103e-009,0.4703
3.5489e-009,0.4198
3.5875e-009,0.3844
3.6260e-009,0.3647
3.6646e-009,0.3720
3.7032e-009,0.4134
3.7418e-009,0.4870
3.7803e-009,0.5899
3.8189e-009,0.7042
3.8575e-009,0.8095
3.8961e-009,0.8956
3.9346e-009,0.9688
3.9732e-009,1.0295
