.HEADER
..NAMES
Time,V U3.A7
.DATA
9.4895e-009,1.1041
9.5280e-009,1.1186
9.5666e-009,1.1316
9.6052e-009,1.1450
9.6437e-009,1.1582
9.6823e-009,1.1679
9.7209e-009,1.1699
9.7595e-009,1.1679
9.7981e-009,1.1683
9.8366e-009,1.1707
9.8752e-009,1.1723
9.9138e-009,1.1730
9.9524e-009,1.1782
9.9909e-009,1.1825
1.00295e-008,1.1745
1.00681e-008,1.1382
1.01066e-008,1.0545
1.01452e-008,0.9377
1.01838e-008,0.8222
1.02224e-008,0.7121
1.02610e-008,0.6102
1.02995e-008,0.5257
1.03381e-008,0.4632
1.03767e-008,0.4200
1.04152e-008,0.3830
1.04538e-008,0.3658
1.04924e-008,0.3834
1.05310e-008,0.4299
1.05695e-008,0.5098
1.06081e-008,0.6213
1.06467e-008,0.7412
1.06853e-008,0.8355
1.07239e-008,0.9139
1.07624e-008,0.9803
1.08010e-008,1.0343
1.08396e-008,1.0728
1.08781e-008,1.0973
1.09167e-008,1.1140
1.09553e-008,1.1285
1.09939e-008,1.1408
1.10324e-008,1.1511
1.10710e-008,1.1620
1.11096e-008,1.1704
1.11482e-008,1.1715
1.11868e-008,1.1701
1.12253e-008,1.1706
1.12639e-008,1.1722
1.13025e-008,1.1730
1.13410e-008,1.1750
1.13796e-008,1.1812
1.14182e-008,1.1807
1.14568e-008,1.1607
1.14953e-008,1.0999
1.15339e-008,0.9942
1.15725e-008,0.8764
1.16111e-008,0.7649
1.16497e-008,0.6571
1.16882e-008,0.5629
1.17268e-008,0.4898
1.17654e-008,0.4387
1.18039e-008,0.4039
1.18425e-008,0.3803
1.18811e-008,0.3644
1.19197e-008,0.3532
1.19583e-008,0.3422
1.19968e-008,0.3293
1.20354e-008,0.3210
1.20740e-008,0.3190
1.21126e-008,0.3186
1.21511e-008,0.3184
1.21897e-008,0.3195
1.22283e-008,0.3218
1.22668e-008,0.3235
1.23054e-008,0.3241
1.23440e-008,0.3240
1.23826e-008,0.3237
1.24212e-008,0.3228
1.24597e-008,0.3212
1.24983e-008,0.3206
1.25369e-008,0.3213
1.25755e-008,0.3216
1.26140e-008,0.3211
1.26526e-008,0.3210
1.26912e-008,0.3211
1.27297e-008,0.3212
1.27683e-008,0.3245
1.28069e-008,0.3378
1.28455e-008,0.3743
1.28841e-008,0.4478
1.29226e-008,0.5556
1.29612e-008,0.6806
1.29998e-008,0.7878
1.30383e-008,0.8674
1.30769e-008,0.9371
1.31155e-008,0.9975
1.31541e-008,1.0447
1.31926e-008,1.0788
1.32312e-008,1.1250
1.32698e-008,1.1548
1.33084e-008,1.1536
1.33470e-008,1.1368
1.33855e-008,1.0763
1.34241e-008,0.9705
1.34627e-008,0.8475
1.35012e-008,0.7282
1.35398e-008,0.6202
1.35784e-008,0.5336
1.36170e-008,0.4684
1.36555e-008,0.4223
1.36941e-008,0.3872
1.37327e-008,0.3667
1.37713e-008,0.3772
1.38099e-008,0.4196
1.38484e-008,0.4985
1.38870e-008,0.6072
1.39256e-008,0.7253
1.39641e-008,0.8213
1.40027e-008,0.9028
1.40413e-008,0.9728
1.40799e-008,1.0291
1.41185e-008,1.0696
1.41570e-008,1.1105
1.41956e-008,1.1509
1.42342e-008,1.1567
1.42728e-008,1.1477
1.43113e-008,1.1015
1.43499e-008,1.0080
1.43885e-008,0.8898
1.44270e-008,0.7706
1.44656e-008,0.6567
1.45042e-008,0.5609
1.45428e-008,0.4881
1.45814e-008,0.4358
1.46199e-008,0.3981
1.46585e-008,0.3695
1.46971e-008,0.3708
1.47357e-008,0.4022
1.47742e-008,0.4699
1.48128e-008,0.5700
1.48514e-008,0.6900
1.48899e-008,0.7940
1.49285e-008,0.8781
1.49671e-008,0.9515
1.50057e-008,1.0125
1.50443e-008,1.0582
1.50828e-008,1.0938
1.51214e-008,1.1399
1.51600e-008,1.1574
1.51985e-008,1.1530
1.52371e-008,1.1212
1.52757e-008,1.0414
1.53143e-008,0.9280
1.53528e-008,0.8081
1.53914e-008,0.6913
1.54300e-008,0.5885
1.54686e-008,0.5087
1.55071e-008,0.4505
1.55457e-008,0.4092
1.55843e-008,0.3756
1.56229e-008,0.3673
1.56615e-008,0.3888
1.57000e-008,0.4445
1.57386e-008,0.5349
1.57772e-008,0.6521
1.58158e-008,0.7641
1.58543e-008,0.8525
1.58929e-008,0.9295
1.59315e-008,0.9947
1.59701e-008,1.0456
1.60086e-008,1.0800
1.60472e-008,1.1024
1.60858e-008,1.1181
1.61243e-008,1.1315
1.61629e-008,1.1432
1.62015e-008,1.1543
1.62401e-008,1.1650
1.62786e-008,1.1709
1.63172e-008,1.1706
1.63558e-008,1.1701
1.63944e-008,1.1714
1.64329e-008,1.1728
1.64715e-008,1.1729
1.65101e-008,1.1727
1.65487e-008,1.1730
1.65873e-008,1.1739
1.66258e-008,1.1750
1.66644e-008,1.1761
1.67030e-008,1.1771
1.67416e-008,1.1774
1.67801e-008,1.1768
1.68187e-008,1.1765
1.68573e-008,1.1769
1.68959e-008,1.1775
1.69344e-008,1.1776
1.69730e-008,1.1775
1.70116e-008,1.1775
1.70501e-008,1.1777
1.70887e-008,1.1778
1.71273e-008,1.1778
1.71659e-008,1.1779
1.72044e-008,1.1778
1.72430e-008,1.1776
1.72816e-008,1.1775
1.73202e-008,1.1777
1.73588e-008,1.1778
1.73973e-008,1.1778
1.74359e-008,1.1777
1.74745e-008,1.1777
1.75131e-008,1.1778
1.75516e-008,1.1778
1.75902e-008,1.1778
1.76288e-008,1.1778
1.76674e-008,1.1778
1.77059e-008,1.1777
1.77445e-008,1.1777
1.77831e-008,1.1778
1.78216e-008,1.1778
1.78602e-008,1.1778
1.78988e-008,1.1786
1.79374e-008,1.1827
1.79759e-008,1.1842
1.80145e-008,1.1694
1.80531e-008,1.1182
1.80917e-008,1.0195
1.81302e-008,0.9010
1.81688e-008,0.7896
1.82074e-008,0.6813
1.82460e-008,0.5831
1.82846e-008,0.5041
1.83231e-008,0.4483
1.83617e-008,0.4088
1.84003e-008,0.3740
1.84389e-008,0.3683
1.84774e-008,0.3947
1.85160e-008,0.4514
1.85546e-008,0.5412
1.85932e-008,0.6602
1.86317e-008,0.7740
1.86703e-008,0.8615
1.87089e-008,0.9358
1.87474e-008,0.9983
1.87860e-008,1.0480
1.88246e-008,1.0818
1.88632e-008,1.1031
1.89017e-008,1.1186
1.89403e-008,1.1328
1.89789e-008,1.1441
1.90175e-008,1.1544
1.90560e-008,1.1652
1.90946e-008,1.1716
