.HEADER
..NAMES
Time,V U2.B8
.DATA
0.0e+000,1.1782
3.86e-011,1.1782
7.72e-011,1.1782
1.157e-010,1.1782
1.543e-010,1.1782
1.929e-010,1.1782
2.314e-010,1.1782
2.700e-010,1.1782
3.086e-010,1.1782
3.472e-010,1.1782
3.857e-010,1.1782
4.243e-010,1.1782
4.629e-010,1.1782
5.015e-010,1.1782
5.401e-010,1.1782
5.786e-010,1.1782
6.172e-010,1.1782
6.558e-010,1.1782
6.944e-010,1.1782
7.329e-010,1.1782
7.715e-010,1.1782
8.101e-010,1.1782
8.486e-010,1.1782
8.872e-010,1.1782
9.258e-010,1.1782
9.644e-010,1.1782
1.0029e-009,1.1782
1.0415e-009,1.1782
1.0801e-009,1.1782
1.1187e-009,1.1782
1.1572e-009,1.1788
1.1958e-009,1.1815
1.2344e-009,1.1842
1.2730e-009,1.1761
1.3115e-009,1.1380
1.3501e-009,1.0531
1.3887e-009,0.9306
1.4273e-009,0.8012
1.4658e-009,0.6851
1.5044e-009,0.5892
1.5430e-009,0.5153
1.5816e-009,0.4616
1.6202e-009,0.4225
1.6587e-009,0.3907
1.6973e-009,0.3710
1.7359e-009,0.3792
1.7745e-009,0.4299
1.8130e-009,0.5257
1.8516e-009,0.6508
1.8902e-009,0.7700
1.9288e-009,0.8618
1.9673e-009,0.9297
2.0059e-009,0.9823
2.0445e-009,1.0258
2.0830e-009,1.0641
2.1216e-009,1.0955
2.1602e-009,1.1186
2.1988e-009,1.1357
2.2374e-009,1.1457
2.2759e-009,1.1502
2.3145e-009,1.1558
2.3531e-009,1.1644
2.3916e-009,1.1721
2.4302e-009,1.1756
2.4688e-009,1.1747
2.5074e-009,1.1718
2.5459e-009,1.1709
2.5845e-009,1.1747
2.6231e-009,1.1808
2.6617e-009,1.1813
2.7003e-009,1.1611
2.7388e-009,1.0990
2.7774e-009,0.9893
2.8160e-009,0.8583
2.8545e-009,0.7351
2.8931e-009,0.6307
2.9317e-009,0.5478
2.9703e-009,0.4854
3.0089e-009,0.4396
3.0474e-009,0.4085
3.0860e-009,0.3851
3.1246e-009,0.3631
3.1631e-009,0.3462
3.2017e-009,0.3378
3.2403e-009,0.3332
3.2789e-009,0.3275
3.3175e-009,0.3210
3.3560e-009,0.3165
3.3946e-009,0.3164
3.4332e-009,0.3195
3.4717e-009,0.3217
3.5103e-009,0.3232
3.5489e-009,0.3290
3.5875e-009,0.3470
3.6260e-009,0.3897
3.6646e-009,0.4693
3.7032e-009,0.5858
3.7418e-009,0.7167
3.7803e-009,0.8277
3.8189e-009,0.9038
3.8575e-009,0.9564
3.8961e-009,0.9999
3.9346e-009,1.0401
3.9732e-009,1.0819
4.0118e-009,1.1287
4.0504e-009,1.1625
4.0890e-009,1.1676
4.1275e-009,1.1326
4.1661e-009,1.0465
4.2047e-009,0.9240
4.2433e-009,0.8001
4.2818e-009,0.6859
4.3204e-009,0.5865
4.3590e-009,0.5110
4.3975e-009,0.4568
4.4361e-009,0.4157
4.4747e-009,0.3853
4.5133e-009,0.3693
4.5519e-009,0.3804
4.5904e-009,0.4329
4.6290e-009,0.5278
4.6676e-009,0.6496
4.7062e-009,0.7680
4.7447e-009,0.8623
4.7833e-009,0.9319
4.8219e-009,0.9848
4.8604e-009,1.0280
4.8990e-009,1.0680
4.9376e-009,1.1143
4.9762e-009,1.1546
5.0147e-009,1.1700
5.0533e-009,1.1497
5.0919e-009,1.0825
5.1305e-009,0.9699
5.1691e-009,0.8433
5.2076e-009,0.7234
5.2462e-009,0.6168
5.2848e-009,0.5334
5.3234e-009,0.4738
5.3619e-009,0.4295
5.4005e-009,0.3951
5.4391e-009,0.3727
5.4776e-009,0.3730
5.5162e-009,0.4113
5.5548e-009,0.4932
5.5934e-009,0.6098
5.6320e-009,0.7333
5.6705e-009,0.8362
5.7091e-009,0.9121
5.7477e-009,0.9690
5.7863e-009,1.0145
5.8248e-009,1.0540
5.8634e-009,1.0873
5.9020e-009,1.1125
5.9405e-009,1.1310
5.9791e-009,1.1435
6.0177e-009,1.1497
6.0563e-009,1.1547
6.0948e-009,1.1619
6.1334e-009,1.1696
6.1720e-009,1.1747
6.2106e-009,1.1754
6.2492e-009,1.1729
6.2877e-009,1.1710
6.3263e-009,1.1731
6.3649e-009,1.1790
6.4035e-009,1.1823
6.4420e-009,1.1695
6.4806e-009,1.1202
6.5192e-009,1.0221
