.HEADER
..NAMES
Time,V U3.J7&K7
.DATA
0.0e+000,0.2871
3.67e-011,0.2871
7.33e-011,0.2871
1.100e-010,0.2871
1.467e-010,0.2871
1.834e-010,0.2871
2.201e-010,0.2871
2.567e-010,0.2871
2.934e-010,0.2871
3.301e-010,0.2871
3.667e-010,0.2871
4.034e-010,0.2871
4.401e-010,0.2871
4.768e-010,0.2871
5.135e-010,0.2871
5.501e-010,0.2871
5.868e-010,0.2871
6.235e-010,0.2871
6.601e-010,0.2871
6.968e-010,0.2871
7.335e-010,0.2871
7.702e-010,0.2871
8.068e-010,0.2871
8.435e-010,0.2871
8.802e-010,0.2871
9.169e-010,0.2871
9.536e-010,0.2871
9.902e-010,0.2871
1.0269e-009,0.2871
1.0636e-009,0.2871
1.1003e-009,0.2871
1.1369e-009,0.2871
1.1736e-009,0.2873
1.2103e-009,0.2884
1.2469e-009,0.2921
1.2836e-009,0.3018
1.3203e-009,0.3223
1.3570e-009,0.3583
1.3936e-009,0.4130
1.4303e-009,0.4861
1.4670e-009,0.5731
1.5037e-009,0.6659
1.5403e-009,0.7549
1.5770e-009,0.8309
1.6137e-009,0.8866
1.6504e-009,0.9197
1.6871e-009,0.9339
1.7237e-009,0.9347
1.7604e-009,0.9271
1.7971e-009,0.9139
1.8338e-009,0.8951
1.8704e-009,0.8674
1.9071e-009,0.8260
1.9438e-009,0.7686
1.9805e-009,0.6969
2.0171e-009,0.6170
2.0538e-009,0.5390
2.0905e-009,0.4732
2.1272e-009,0.4275
2.1638e-009,0.4061
2.2005e-009,0.4076
2.2372e-009,0.4256
2.2738e-009,0.4541
2.3105e-009,0.4891
2.3472e-009,0.5285
2.3839e-009,0.5722
2.4205e-009,0.6219
2.4572e-009,0.6795
2.4939e-009,0.7444
2.5306e-009,0.8113
2.5672e-009,0.8723
2.6039e-009,0.9212
2.6406e-009,0.9538
2.6773e-009,0.9675
2.7139e-009,0.9622
2.7506e-009,0.9404
2.7873e-009,0.9051
2.8240e-009,0.8581
2.8606e-009,0.8003
2.8973e-009,0.7341
2.9340e-009,0.6629
2.9707e-009,0.5916
3.0073e-009,0.5267
3.0440e-009,0.4735
3.0807e-009,0.4371
3.1174e-009,0.4204
3.1540e-009,0.4219
3.1907e-009,0.4382
3.2274e-009,0.4667
3.2641e-009,0.5057
3.3007e-009,0.5533
3.3374e-009,0.6079
3.3741e-009,0.6681
3.4108e-009,0.7323
3.4475e-009,0.7964
3.4841e-009,0.8541
3.5208e-009,0.9001
3.5575e-009,0.9318
3.5942e-009,0.9484
3.6308e-009,0.9509
3.6675e-009,0.9415
3.7042e-009,0.9228
3.7408e-009,0.8958
3.7775e-009,0.8586
3.8142e-009,0.8094
3.8509e-009,0.7478
3.8875e-009,0.6762
3.9242e-009,0.6004
3.9609e-009,0.5283
3.9976e-009,0.4681
4.0342e-009,0.4276
4.0709e-009,0.4108
4.1076e-009,0.4162
4.1443e-009,0.4404
4.1809e-009,0.4796
4.2176e-009,0.5294
4.2543e-009,0.5854
4.2910e-009,0.6447
4.3276e-009,0.7057
4.3643e-009,0.7665
4.4010e-009,0.8237
4.4377e-009,0.8724
4.4743e-009,0.9101
4.5110e-009,0.9354
4.5477e-009,0.9479
4.5844e-009,0.9479
4.6211e-009,0.9367
4.6577e-009,0.9156
4.6944e-009,0.8840
4.7311e-009,0.8403
4.7678e-009,0.7837
4.8044e-009,0.7159
4.8411e-009,0.6414
4.8778e-009,0.5673
4.9145e-009,0.5011
4.9511e-009,0.4504
4.9878e-009,0.4213
5.0245e-009,0.4145
5.0612e-009,0.4276
5.0978e-009,0.4573
5.1345e-009,0.5001
5.1712e-009,0.5520
5.2079e-009,0.6094
5.2445e-009,0.6700
5.2812e-009,0.7323
5.3179e-009,0.7933
5.3546e-009,0.8483
5.3912e-009,0.8929
5.4279e-009,0.9250
5.4646e-009,0.9440
5.5013e-009,0.9499
5.5379e-009,0.9438
5.5746e-009,0.9277
5.6113e-009,0.9022
5.6480e-009,0.8661
5.6846e-009,0.8177
5.7213e-009,0.7572
5.7580e-009,0.6869
5.7947e-009,0.6123
