.HEADER
..NAMES
Time,V U5.F8
.DATA
9.4895e-009,0.3315
9.5280e-009,0.3234
9.5666e-009,0.3185
9.6052e-009,0.3172
9.6437e-009,0.3169
9.6823e-009,0.3175
9.7209e-009,0.3196
9.7595e-009,0.3223
9.7981e-009,0.3245
9.8366e-009,0.3250
9.8752e-009,0.3238
9.9138e-009,0.3238
9.9524e-009,0.3244
9.9909e-009,0.3232
1.00295e-008,0.3222
1.00681e-008,0.3218
1.01066e-008,0.3213
1.01452e-008,0.3212
1.01838e-008,0.3217
1.02224e-008,0.3220
1.02610e-008,0.3220
1.02995e-008,0.3221
1.03381e-008,0.3221
1.03767e-008,0.3221
1.04152e-008,0.3218
1.04538e-008,0.3213
1.04924e-008,0.3213
1.05310e-008,0.3216
1.05695e-008,0.3215
1.06081e-008,0.3218
1.06467e-008,0.3268
1.06853e-008,0.3436
1.07239e-008,0.3860
1.07624e-008,0.4656
1.08010e-008,0.5758
1.08396e-008,0.6972
1.08781e-008,0.7955
1.09167e-008,0.8743
1.09553e-008,0.9440
1.09939e-008,1.0022
1.10324e-008,1.0450
1.10710e-008,1.0741
1.11096e-008,1.0961
1.11482e-008,1.1125
1.11868e-008,1.1246
1.12253e-008,1.1333
1.12639e-008,1.1400
1.13025e-008,1.1478
1.13410e-008,1.1573
1.13796e-008,1.1668
1.14182e-008,1.1737
1.14568e-008,1.1741
1.14953e-008,1.1714
1.15339e-008,1.1713
1.15725e-008,1.1773
1.16111e-008,1.1814
1.16497e-008,1.1726
1.16882e-008,1.1378
1.17268e-008,1.0583
1.17654e-008,0.9470
1.18039e-008,0.8359
1.18425e-008,0.7269
1.18811e-008,0.6238
1.19197e-008,0.5370
1.19583e-008,0.4736
1.19968e-008,0.4308
1.20354e-008,0.3996
1.20740e-008,0.3763
1.21126e-008,0.3608
1.21511e-008,0.3532
1.21897e-008,0.3487
1.22283e-008,0.3440
1.22668e-008,0.3388
1.23054e-008,0.3304
1.23440e-008,0.3215
1.23826e-008,0.3180
1.24212e-008,0.3180
1.24597e-008,0.3180
1.24983e-008,0.3185
1.25369e-008,0.3209
1.25755e-008,0.3237
1.26140e-008,0.3249
1.26526e-008,0.3245
1.26912e-008,0.3238
1.27297e-008,0.3241
1.27683e-008,0.3242
1.28069e-008,0.3232
1.28455e-008,0.3225
1.28841e-008,0.3218
1.29226e-008,0.3210
1.29612e-008,0.3223
1.29998e-008,0.3299
1.30383e-008,0.3509
1.30769e-008,0.4004
1.31155e-008,0.4871
1.31541e-008,0.6018
1.31926e-008,0.7206
1.32312e-008,0.8125
1.32698e-008,0.8893
1.33084e-008,0.9572
1.33470e-008,1.0128
1.33855e-008,1.0522
1.34241e-008,1.0882
1.34627e-008,1.1360
1.35012e-008,1.1476
1.35398e-008,1.1435
1.35784e-008,1.1091
1.36170e-008,1.0304
1.36555e-008,0.9247
1.36941e-008,0.8173
1.37327e-008,0.7096
1.37713e-008,0.6080
1.38099e-008,0.5221
1.38484e-008,0.4604
1.38870e-008,0.4200
1.39256e-008,0.3925
1.39641e-008,0.3702
1.40027e-008,0.3566
1.40413e-008,0.3532
1.40799e-008,0.3472
1.41185e-008,0.3405
1.41570e-008,0.3353
1.41956e-008,0.3277
1.42342e-008,0.3203
1.42728e-008,0.3174
1.43113e-008,0.3173
1.43499e-008,0.3171
1.43885e-008,0.3178
1.44270e-008,0.3203
1.44656e-008,0.3232
1.45042e-008,0.3249
1.45428e-008,0.3242
1.45814e-008,0.3234
1.46199e-008,0.3242
1.46585e-008,0.3239
1.46971e-008,0.3223
1.47357e-008,0.3218
1.47742e-008,0.3215
1.48128e-008,0.3211
1.48514e-008,0.3238
1.48899e-008,0.3350
1.49285e-008,0.3647
1.49671e-008,0.4280
1.50057e-008,0.5267
1.50443e-008,0.6471
1.50828e-008,0.7580
1.51214e-008,0.8417
1.51600e-008,0.9152
1.51985e-008,0.9792
1.52371e-008,1.0291
1.52757e-008,1.0634
1.53143e-008,1.1048
1.53528e-008,1.1442
1.53914e-008,1.1476
1.54300e-008,1.1354
1.54686e-008,1.0846
1.55071e-008,0.9928
1.55457e-008,0.8852
1.55843e-008,0.7776
1.56229e-008,0.6711
1.56615e-008,0.5739
1.57000e-008,0.4965
1.57386e-008,0.4434
1.57772e-008,0.4029
1.58158e-008,0.3738
1.58543e-008,0.3757
1.58929e-008,0.4104
1.59315e-008,0.4835
1.59701e-008,0.5815
1.60086e-008,0.6938
1.60472e-008,0.7864
1.60858e-008,0.8638
1.61243e-008,0.9346
1.61629e-008,0.9958
1.62015e-008,1.0408
1.62401e-008,1.0792
1.62786e-008,1.1277
1.63172e-008,1.1446
1.63558e-008,1.1437
1.63944e-008,1.1091
1.64329e-008,1.0305
1.64715e-008,0.9255
1.65101e-008,0.8169
1.65487e-008,0.7066
1.65873e-008,0.6054
1.66258e-008,0.5215
1.66644e-008,0.4606
1.67030e-008,0.4201
1.67416e-008,0.3927
1.67801e-008,0.3710
1.68187e-008,0.3571
1.68573e-008,0.3530
1.68959e-008,0.3474
1.69344e-008,0.3412
1.69730e-008,0.3355
1.70116e-008,0.3276
1.70501e-008,0.3204
1.70887e-008,0.3176
1.71273e-008,0.3170
1.71659e-008,0.3170
1.72044e-008,0.3183
1.72430e-008,0.3208
1.72816e-008,0.3234
1.73202e-008,0.3250
1.73588e-008,0.3244
1.73973e-008,0.3236
1.74359e-008,0.3242
1.74745e-008,0.3239
1.75131e-008,0.3225
1.75516e-008,0.3220
1.75902e-008,0.3215
1.76288e-008,0.3211
1.76674e-008,0.3214
1.77059e-008,0.3219
1.77445e-008,0.3220
1.77831e-008,0.3220
1.78216e-008,0.3221
1.78602e-008,0.3221
1.78988e-008,0.3220
1.79374e-008,0.3216
1.79759e-008,0.3212
1.80145e-008,0.3215
1.80531e-008,0.3216
1.80917e-008,0.3214
1.81302e-008,0.3213
1.81688e-008,0.3214
1.82074e-008,0.3214
1.82460e-008,0.3214
1.82846e-008,0.3215
1.83231e-008,0.3215
1.83617e-008,0.3214
1.84003e-008,0.3214
1.84389e-008,0.3214
1.84774e-008,0.3213
1.85160e-008,0.3213
1.85546e-008,0.3212
1.85932e-008,0.3213
1.86317e-008,0.3213
1.86703e-008,0.3213
1.87089e-008,0.3212
1.87474e-008,0.3212
1.87860e-008,0.3212
1.88246e-008,0.3212
1.88632e-008,0.3212
1.89017e-008,0.3212
1.89403e-008,0.3212
1.89789e-008,0.3212
1.90175e-008,0.3212
1.90560e-008,0.3212
1.90946e-008,0.3211
1.91332e-008,0.3211
1.91718e-008,0.3211
1.92104e-008,0.3212
1.92489e-008,0.3211
1.92875e-008,0.3211
1.93261e-008,0.3211
1.93647e-008,0.3211
1.94032e-008,0.3211
1.94418e-008,0.3211
1.94804e-008,0.3211
1.95190e-008,0.3211
1.95575e-008,0.3211
1.95961e-008,0.3211
1.96347e-008,0.3211
1.96732e-008,0.3211
1.97118e-008,0.3211
1.97504e-008,0.3211
1.97890e-008,0.3211
1.98275e-008,0.3211
1.98661e-008,0.3211
1.99047e-008,0.3211
1.99433e-008,0.3211
1.99819e-008,0.3210
2.00204e-008,0.3210
2.00590e-008,0.3210
2.00976e-008,0.3210
2.01362e-008,0.3210
2.01747e-008,0.3210
2.02133e-008,0.3210
2.02519e-008,0.3210
2.02905e-008,0.3210
2.03290e-008,0.3210
2.03676e-008,0.3210
2.04062e-008,0.3210
2.04447e-008,0.3210
2.04833e-008,0.3210
2.05219e-008,0.3210
2.05605e-008,0.3210
2.05990e-008,0.3210
2.06376e-008,0.3210
2.06762e-008,0.3210
2.07148e-008,0.3210
2.07533e-008,0.3210
2.07919e-008,0.3210
2.08305e-008,0.3210
2.08691e-008,0.3210
2.09077e-008,0.3210
2.09462e-008,0.3231
2.09848e-008,0.3329
2.10234e-008,0.3610
2.10620e-008,0.4225
2.11005e-008,0.5197
2.11391e-008,0.6397
2.11777e-008,0.7524
2.12163e-008,0.8376
2.12548e-008,0.9118
2.12934e-008,0.9758
2.13320e-008,1.0264
2.13705e-008,1.0612
2.14091e-008,1.0860
2.14477e-008,1.1049
2.14863e-008,1.1190
2.15248e-008,1.1293
2.15634e-008,1.1365
2.16020e-008,1.1435
2.16406e-008,1.1524
2.16791e-008,1.1620
2.17177e-008,1.1707
2.17563e-008,1.1745
2.17949e-008,1.1723
2.18335e-008,1.1705
2.18720e-008,1.1733
2.19106e-008,1.1803
2.19492e-008,1.1786
2.19878e-008,1.1589
2.20263e-008,1.1020
2.20649e-008,1.0018
2.21035e-008,0.8883
2.21420e-008,0.7791
2.21806e-008,0.6716
2.22192e-008,0.5759
2.22578e-008,0.5008
2.22963e-008,0.4492
