.HEADER
..NAMES
Time,V U5.L2
.DATA
0.0e+000,1.0905
3.67e-011,1.0905
7.33e-011,1.0905
1.100e-010,1.0905
1.467e-010,1.0905
1.834e-010,1.0905
2.201e-010,1.0905
2.567e-010,1.0905
2.934e-010,1.0905
3.301e-010,1.0905
3.667e-010,1.0905
4.034e-010,1.0905
4.401e-010,1.0905
4.768e-010,1.0907
5.135e-010,1.0913
5.501e-010,1.0927
5.868e-010,1.0949
6.235e-010,1.0947
6.601e-010,1.0849
6.968e-010,1.0537
7.335e-010,0.9911
7.702e-010,0.8966
8.068e-010,0.7789
8.435e-010,0.6543
8.802e-010,0.5448
9.169e-010,0.4690
9.536e-010,0.4331
9.902e-010,0.4306
1.0269e-009,0.4476
1.0636e-009,0.4676
1.1003e-009,0.4782
1.1369e-009,0.4752
1.1736e-009,0.4607
1.2103e-009,0.4409
1.2469e-009,0.4227
1.2836e-009,0.4110
1.3203e-009,0.4072
1.3570e-009,0.4103
1.3936e-009,0.4175
1.4303e-009,0.4248
1.4670e-009,0.4289
1.5037e-009,0.4300
1.5403e-009,0.4331
1.5770e-009,0.4498
1.6137e-009,0.4943
1.6504e-009,0.5742
1.6871e-009,0.6833
1.7237e-009,0.8016
1.7604e-009,0.9053
1.7971e-009,0.9740
1.8338e-009,0.9970
1.8704e-009,0.9809
1.9071e-009,0.9459
1.9438e-009,0.9139
1.9805e-009,0.8998
2.0171e-009,0.9085
2.0538e-009,0.9354
2.0905e-009,0.9700
2.1272e-009,1.0010
2.1638e-009,1.0201
2.2005e-009,1.0232
2.2372e-009,1.0123
2.2738e-009,0.9933
2.3105e-009,0.9739
2.3472e-009,0.9616
2.3839e-009,0.9621
2.4205e-009,0.9764
2.4572e-009,1.0013
2.4939e-009,1.0306
2.5306e-009,1.0569
2.5672e-009,1.0745
2.6039e-009,1.0813
2.6406e-009,1.0795
2.6773e-009,1.0746
2.7139e-009,1.0725
2.7506e-009,1.0769
2.7873e-009,1.0880
2.8240e-009,1.1023
2.8606e-009,1.1140
2.8973e-009,1.1185
2.9340e-009,1.1137
2.9707e-009,1.1016
3.0073e-009,1.0871
3.0440e-009,1.0759
3.0807e-009,1.0724
3.1174e-009,1.0778
3.1540e-009,1.0901
3.1907e-009,1.1045
3.2274e-009,1.1159
3.2641e-009,1.1207
3.3007e-009,1.1177
3.3374e-009,1.1085
3.3741e-009,1.0967
3.4108e-009,1.0848
3.4475e-009,1.0713
3.4841e-009,1.0489
3.5208e-009,1.0061
3.5575e-009,0.9354
3.5942e-009,0.8386
3.6308e-009,0.7244
3.6675e-009,0.6095
3.7042e-009,0.5140
3.7408e-009,0.4521
3.7775e-009,0.4257
3.8142e-009,0.4274
3.8509e-009,0.4447
3.8875e-009,0.4632
3.9242e-009,0.4731
3.9609e-009,0.4704
3.9976e-009,0.4565
4.0342e-009,0.4367
4.0709e-009,0.4177
4.1076e-009,0.4046
4.1443e-009,0.4001
4.1809e-009,0.4040
4.2176e-009,0.4135
4.2543e-009,0.4234
4.2910e-009,0.4287
4.3276e-009,0.4264
4.3643e-009,0.4160
4.4010e-009,0.4002
4.4377e-009,0.3839
4.4743e-009,0.3713
4.5110e-009,0.3641
4.5477e-009,0.3612
4.5844e-009,0.3595
4.6211e-009,0.3552
4.6577e-009,0.3465
4.6944e-009,0.3338
4.7311e-009,0.3203
4.7678e-009,0.3093
4.8044e-009,0.3039
4.8411e-009,0.3052
4.8778e-009,0.3126
4.9145e-009,0.3236
4.9511e-009,0.3343
4.9878e-009,0.3411
5.0245e-009,0.3415
5.0612e-009,0.3352
5.0978e-009,0.3245
5.1345e-009,0.3129
5.1712e-009,0.3048
5.2079e-009,0.3036
5.2445e-009,0.3120
5.2812e-009,0.3326
5.3179e-009,0.3700
5.3546e-009,0.4295
5.3912e-009,0.5121
5.4279e-009,0.6125
5.4646e-009,0.7177
5.5013e-009,0.8119
5.5379e-009,0.8828
5.5746e-009,0.9242
5.6113e-009,0.9385
5.6480e-009,0.9368
5.6846e-009,0.9320
5.7213e-009,0.9328
5.7580e-009,0.9418
5.7947e-009,0.9568
5.8313e-009,0.9729
5.8680e-009,0.9858
5.9047e-009,0.9934
5.9414e-009,0.9960
