.HEADER
..NAMES
Time,V U5.F3&G3
.DATA
0.0e+000,0.3220
3.86e-011,0.3220
7.72e-011,0.3220
1.157e-010,0.3220
1.543e-010,0.3220
1.929e-010,0.3220
2.314e-010,0.3220
2.700e-010,0.3220
3.086e-010,0.3220
3.472e-010,0.3220
3.857e-010,0.3220
4.243e-010,0.3220
4.629e-010,0.3220
5.015e-010,0.3220
5.401e-010,0.3220
5.786e-010,0.3220
6.172e-010,0.3220
6.558e-010,0.3220
6.944e-010,0.3220
7.329e-010,0.3220
7.715e-010,0.3220
8.101e-010,0.3220
8.486e-010,0.3220
8.872e-010,0.3220
9.258e-010,0.3220
9.644e-010,0.3221
1.0029e-009,0.3243
1.0415e-009,0.3332
1.0801e-009,0.3578
1.1187e-009,0.4095
1.1572e-009,0.4922
1.1958e-009,0.5987
1.2344e-009,0.7089
1.2730e-009,0.8092
1.3115e-009,0.8984
1.3501e-009,0.9746
1.3887e-009,1.0339
1.4273e-009,1.0751
1.4658e-009,1.1133
1.5044e-009,1.1438
1.5430e-009,1.1557
1.5816e-009,1.1480
1.6202e-009,1.1077
1.6587e-009,1.0298
1.6973e-009,0.9241
1.7359e-009,0.8026
1.7745e-009,0.6833
1.8130e-009,0.5751
1.8516e-009,0.4873
1.8902e-009,0.4265
1.9288e-009,0.3825
1.9673e-009,0.3584
2.0059e-009,0.3622
2.0445e-009,0.3951
2.0830e-009,0.4601
2.1216e-009,0.5532
2.1602e-009,0.6622
2.1988e-009,0.7687
2.2374e-009,0.8636
2.2759e-009,0.9473
2.3145e-009,1.0162
2.3531e-009,1.0660
2.3916e-009,1.1048
2.4302e-009,1.1397
2.4688e-009,1.1579
2.5074e-009,1.1581
2.5459e-009,1.1298
2.5845e-009,1.0623
2.6231e-009,0.9635
2.6617e-009,0.8448
2.7003e-009,0.7235
2.7388e-009,0.6105
2.7774e-009,0.5140
2.8160e-009,0.4440
2.8545e-009,0.3962
2.8931e-009,0.3640
2.9317e-009,0.3583
2.9703e-009,0.3811
3.0089e-009,0.4359
3.0474e-009,0.5213
3.0860e-009,0.6271
3.1246e-009,0.7358
3.1631e-009,0.8346
3.2017e-009,0.9220
3.2403e-009,0.9963
3.2789e-009,1.0522
3.3175e-009,1.0926
3.3560e-009,1.1305
3.3946e-009,1.1540
3.4332e-009,1.1604
3.4717e-009,1.1429
3.5103e-009,1.0877
3.5489e-009,0.9975
3.5875e-009,0.8836
3.6260e-009,0.7613
3.6646e-009,0.6449
3.7032e-009,0.5420
3.7418e-009,0.4632
3.7803e-009,0.4098
3.8189e-009,0.3715
3.8575e-009,0.3571
3.8961e-009,0.3706
3.9346e-009,0.4149
3.9732e-009,0.4913
4.0118e-009,0.5923
4.0504e-009,0.7021
4.0890e-009,0.8046
4.1275e-009,0.8955
4.1661e-009,0.9746
4.2047e-009,1.0367
4.2433e-009,1.0805
4.2818e-009,1.1196
4.3204e-009,1.1485
4.3590e-009,1.1605
4.3975e-009,1.1521
4.4361e-009,1.1096
4.4747e-009,1.0291
4.5133e-009,0.9214
4.5519e-009,0.7997
4.5904e-009,0.6806
4.6290e-009,0.5725
4.6676e-009,0.4851
4.7062e-009,0.4247
4.7447e-009,0.3817
4.7833e-009,0.3585
4.8219e-009,0.3632
4.8604e-009,0.3973
4.8990e-009,0.4639
4.9376e-009,0.5585
4.9762e-009,0.6676
5.0147e-009,0.7735
5.0533e-009,0.8679
5.0919e-009,0.9511
5.1305e-009,1.0192
5.1691e-009,1.0679
5.2076e-009,1.1060
5.2462e-009,1.1405
5.2848e-009,1.1581
5.3234e-009,1.1573
5.3619e-009,1.1271
5.4005e-009,1.0576
5.4391e-009,0.9578
5.4776e-009,0.8388
5.5162e-009,0.7174
5.5548e-009,0.6050
5.5934e-009,0.5098
5.6320e-009,0.4412
5.6705e-009,0.3938
5.7091e-009,0.3626
5.7477e-009,0.3586
5.7863e-009,0.3830
5.8248e-009,0.4395
5.8634e-009,0.5262
5.9020e-009,0.6327
5.9405e-009,0.7411
5.9791e-009,0.8392
6.0177e-009,0.9261
6.0563e-009,0.9996
6.0948e-009,1.0545
6.1334e-009,1.0940
6.1720e-009,1.1314
6.2106e-009,1.1545
6.2492e-009,1.1601
6.2877e-009,1.1409
6.3263e-009,1.0836
6.3649e-009,0.9920
6.4035e-009,0.8775
6.4420e-009,0.7551
6.4806e-009,0.6392
6.5192e-009,0.5373
6.5577e-009,0.4599
6.5963e-009,0.4073
6.6349e-009,0.3697
6.6735e-009,0.3569
6.7121e-009,0.3719
6.7506e-009,0.4180
6.7892e-009,0.4959
6.8278e-009,0.5978
6.8664e-009,0.7076
6.9049e-009,0.8095
6.9435e-009,0.8998
6.9821e-009,0.9782
7.0206e-009,1.0393
7.0592e-009,1.0821
7.0978e-009,1.1206
7.1364e-009,1.1492
7.1749e-009,1.1604
7.2135e-009,1.1507
7.2521e-009,1.1061
7.2907e-009,1.0239
7.3293e-009,0.9154
7.3678e-009,0.7935
7.4064e-009,0.6747
7.4450e-009,0.5673
7.4835e-009,0.4812
7.5221e-009,0.4221
7.5607e-009,0.3794
7.5993e-009,0.3578
7.6379e-009,0.3640
7.6764e-009,0.3997
7.7150e-009,0.4680
7.7536e-009,0.5637
7.7922e-009,0.6732
7.8307e-009,0.7786
7.8693e-009,0.8724
7.9079e-009,0.9550
7.9464e-009,1.0221
7.9850e-009,1.0700
8.0236e-009,1.1087
8.0622e-009,1.1423
8.1008e-009,1.1588
8.1393e-009,1.1568
8.1779e-009,1.1247
8.2165e-009,1.0533
8.2550e-009,0.9520
8.2936e-009,0.8323
8.3322e-009,0.7114
8.3708e-009,0.5996
8.4093e-009,0.5055
8.4479e-009,0.4384
8.4865e-009,0.3921
8.5251e-009,0.3621
8.5637e-009,0.3593
8.6022e-009,0.3852
8.6408e-009,0.4433
8.6794e-009,0.5313
8.7179e-009,0.6383
8.7565e-009,0.7463
8.7951e-009,0.8439
8.8337e-009,0.9302
8.8722e-009,1.0029
8.9108e-009,1.0568
8.9494e-009,1.0965
8.9880e-009,1.1337
9.0266e-009,1.1555
9.0651e-009,1.1600
9.1037e-009,1.1391
9.1423e-009,1.0798
9.1808e-009,0.9867
9.2194e-009,0.8710
9.2580e-009,0.7489
9.2966e-009,0.6336
9.3352e-009,0.5327
9.3737e-009,0.4567
9.4123e-009,0.4053
9.4509e-009,0.3688
9.4895e-009,0.3572
9.5280e-009,0.3737
9.5666e-009,0.4213
9.6052e-009,0.5007
9.6437e-009,0.6034
9.6823e-009,0.7130
9.7209e-009,0.8144
9.7595e-009,0.9042
9.7981e-009,0.9817
9.8366e-009,1.0419
9.8752e-009,1.0844
9.9138e-009,1.1233
9.9524e-009,1.1505
9.9909e-009,1.1607
1.00295e-008,1.1495
1.00681e-008,1.1029
1.01066e-008,1.0191
1.01452e-008,0.9092
1.01838e-008,0.7872
1.02224e-008,0.6689
1.02610e-008,0.5623
1.02995e-008,0.4776
1.03381e-008,0.4197
1.03767e-008,0.3781
1.04152e-008,0.3577
1.04538e-008,0.3652
1.04924e-008,0.4026
1.05310e-008,0.4725
1.05695e-008,0.5692
1.06081e-008,0.6788
1.06467e-008,0.7837
1.06853e-008,0.8769
1.07239e-008,0.9588
1.07624e-008,1.0250
1.08010e-008,1.0719
1.08396e-008,1.1099
1.08781e-008,1.1431
1.09167e-008,1.1590
1.09553e-008,1.1559
1.09939e-008,1.1217
1.10324e-008,1.0485
1.10710e-008,0.9463
1.11096e-008,0.8261
1.11482e-008,0.7053
1.11868e-008,0.5942
1.12253e-008,0.5015
1.12639e-008,0.4357
1.13025e-008,0.3896
1.13410e-008,0.3609
1.13796e-008,0.3598
1.14182e-008,0.3872
1.14568e-008,0.4470
1.14953e-008,0.5364
1.15339e-008,0.6439
1.15725e-008,0.7516
1.16111e-008,0.8486
1.16497e-008,0.9343
1.16882e-008,1.0061
1.17268e-008,1.0590
1.17654e-008,1.0979
1.18039e-008,1.1346
1.18425e-008,1.1559
1.18811e-008,1.1595
1.19197e-008,1.1369
1.19583e-008,1.0755
1.19968e-008,0.9811
1.20354e-008,0.8649
1.20740e-008,0.7428
1.21126e-008,0.6279
1.21511e-008,0.5281
1.21897e-008,0.4536
1.22283e-008,0.4028
1.22668e-008,0.3671
1.23054e-008,0.3571
1.23440e-008,0.3751
1.23826e-008,0.4245
1.24212e-008,0.5054
1.24597e-008,0.6090
1.24983e-008,0.7185
1.25369e-008,0.8192
1.25755e-008,0.9084
1.26140e-008,0.9853
1.26526e-008,1.0444
1.26912e-008,1.0860
1.27297e-008,1.1243
1.27683e-008,1.1511
1.28069e-008,1.1606
1.28455e-008,1.1479
1.28841e-008,1.0992
1.29226e-008,1.0138
1.29612e-008,0.9032
1.29998e-008,0.7810
1.30383e-008,0.6631
1.30769e-008,0.5573
1.31155e-008,0.4740
1.31541e-008,0.4172
1.31926e-008,0.3759
1.32312e-008,0.3572
1.32698e-008,0.3662
1.33084e-008,0.4052
1.33470e-008,0.4767
1.33855e-008,0.5746
1.34241e-008,0.6844
1.34627e-008,0.7887
1.35012e-008,0.8814
1.35398e-008,0.9627
1.35784e-008,1.0279
1.36170e-008,1.0740
1.36555e-008,1.1126
1.36941e-008,1.1447
1.37327e-008,1.1596
1.37713e-008,1.1552
1.38099e-008,1.1191
1.38484e-008,1.0441
1.38870e-008,0.9403
1.39256e-008,0.8197
1.39641e-008,0.6994
1.40027e-008,0.5889
1.40413e-008,0.4973
1.40799e-008,0.4330
1.41185e-008,0.3881
1.41570e-008,0.3605
1.41956e-008,0.3606
1.42342e-008,0.3896
1.42728e-008,0.4511
1.43113e-008,0.5416
1.43499e-008,0.6495
1.43885e-008,0.7568
1.44270e-008,0.8532
1.44656e-008,0.9383
1.45042e-008,1.0093
1.45428e-008,1.0612
1.45814e-008,1.1005
1.46199e-008,1.1368
1.46585e-008,1.1568
1.46971e-008,1.1593
1.47357e-008,1.1349
1.47742e-008,1.0716
1.48128e-008,0.9757
1.48514e-008,0.8585
1.48899e-008,0.7366
1.49285e-008,0.6224
1.49671e-008,0.5236
1.50057e-008,0.4505
1.50443e-008,0.4009
1.50828e-008,0.3663
1.51214e-008,0.3576
1.51600e-008,0.3770
1.51985e-008,0.4281
1.52371e-008,0.5103
1.52757e-008,0.6146
1.53143e-008,0.7238
1.53528e-008,0.8240
1.53914e-008,0.9127
1.54300e-008,0.9888
1.54686e-008,1.0469
1.55071e-008,1.0884
1.55457e-008,1.1269
1.55843e-008,1.1523
1.56229e-008,1.1607
1.56615e-008,1.1466
1.57000e-008,1.0958
1.57386e-008,1.0089
1.57772e-008,0.8969
1.58158e-008,0.7747
1.58543e-008,0.6573
1.58929e-008,0.5524
1.59315e-008,0.4705
1.59701e-008,0.4149
1.60086e-008,0.3748
1.60472e-008,0.3573
1.60858e-008,0.3676
1.61243e-008,0.4083
1.61629e-008,0.4813
1.62015e-008,0.5801
1.62401e-008,0.6899
1.62786e-008,0.7937
1.63172e-008,0.8858
1.63558e-008,0.9664
1.63944e-008,1.0307
1.64329e-008,1.0762
1.64715e-008,1.1155
1.65101e-008,1.1463
1.65487e-008,1.1601
1.65873e-008,1.1545
1.66258e-008,1.1163
1.66644e-008,1.0396
1.67030e-008,0.9343
1.67416e-008,0.8133
1.67801e-008,0.6934
1.68187e-008,0.5836
1.68573e-008,0.4934
1.68959e-008,0.4303
1.69344e-008,0.3857
1.69730e-008,0.3597
1.70116e-008,0.3612
1.70501e-008,0.3918
1.70887e-008,0.4549
1.71273e-008,0.5467
1.71659e-008,0.6552
1.72044e-008,0.7621
1.72430e-008,0.8578
1.72816e-008,0.9424
