.HEADER
..NAMES
Time,V U2.H8
.DATA
9.4895e-009,0.3212
9.5280e-009,0.3212
9.5666e-009,0.3211
9.6052e-009,0.3211
9.6437e-009,0.3211
9.6823e-009,0.3211
9.7209e-009,0.3211
9.7595e-009,0.3211
9.7981e-009,0.3211
9.8366e-009,0.3211
9.8752e-009,0.3211
9.9138e-009,0.3211
9.9524e-009,0.3211
9.9909e-009,0.3211
1.00295e-008,0.3211
1.00681e-008,0.3211
1.01066e-008,0.3211
1.01452e-008,0.3210
1.01838e-008,0.3210
1.02224e-008,0.3211
1.02610e-008,0.3211
1.02995e-008,0.3210
1.03381e-008,0.3210
1.03767e-008,0.3210
1.04152e-008,0.3210
1.04538e-008,0.3210
1.04924e-008,0.3210
1.05310e-008,0.3214
1.05695e-008,0.3258
1.06081e-008,0.3409
1.06467e-008,0.3801
1.06853e-008,0.4554
1.07239e-008,0.5625
1.07624e-008,0.6840
1.08010e-008,0.7863
1.08396e-008,0.8682
1.08781e-008,0.9405
1.09167e-008,1.0008
1.09553e-008,1.0456
1.09939e-008,1.0789
1.10324e-008,1.1246
1.10710e-008,1.1490
1.11096e-008,1.1482
1.11482e-008,1.1256
1.11868e-008,1.0619
1.12253e-008,0.9637
1.12639e-008,0.8549
1.13025e-008,0.7423
1.13410e-008,0.6331
1.13796e-008,0.5390
1.14182e-008,0.4708
1.14568e-008,0.4259
1.14953e-008,0.3857
1.15339e-008,0.3661
1.15725e-008,0.3826
1.16111e-008,0.4290
1.16497e-008,0.5062
1.16882e-008,0.6140
1.17268e-008,0.7234
1.17654e-008,0.8121
1.18039e-008,0.8921
1.18425e-008,0.9630
1.18811e-008,1.0193
1.19197e-008,1.0583
1.19583e-008,1.0870
1.19968e-008,1.1103
1.20354e-008,1.1246
1.20740e-008,1.1328
1.21126e-008,1.1425
1.21511e-008,1.1526
1.21897e-008,1.1608
1.22283e-008,1.1686
1.22668e-008,1.1741
1.23054e-008,1.1742
1.23440e-008,1.1730
1.23826e-008,1.1735
1.24212e-008,1.1744
1.24597e-008,1.1740
1.24983e-008,1.1731
1.25369e-008,1.1737
1.25755e-008,1.1743
1.26140e-008,1.1740
1.26526e-008,1.1744
1.26912e-008,1.1757
1.27297e-008,1.1766
1.27683e-008,1.1767
1.28069e-008,1.1768
1.28455e-008,1.1763
1.28841e-008,1.1758
1.29226e-008,1.1759
1.29612e-008,1.1764
1.29998e-008,1.1765
1.30383e-008,1.1763
1.30769e-008,1.1764
1.31155e-008,1.1767
1.31541e-008,1.1766
1.31926e-008,1.1765
1.32312e-008,1.1767
1.32698e-008,1.1768
1.33084e-008,1.1767
1.33470e-008,1.1772
1.33855e-008,1.1809
1.34241e-008,1.1827
1.34627e-008,1.1702
1.35012e-008,1.1251
1.35398e-008,1.0347
1.35784e-008,0.9218
1.36170e-008,0.8114
1.36555e-008,0.7015
1.36941e-008,0.6002
1.37327e-008,0.5171
1.37713e-008,0.4580
